timestamp,legacy_ac971,legacy_ac972,legacy_ac979,legacy_ac977,legacy_ac973,legacy_ac970,legacy_ac976,legacy_ac978,legacy_ac975,legacy_ac974,max,min,avg
0,0.5219,0.418,0.459,0.459,0.4262,0.4645,0.5191,0.4699,0.4536,0.3907,0.5219,0.3907,0.4582
1,0.5219,0.418,0.459,0.459,0.3907,0.4645,0.5191,0.4672,0.4536,0.3907,0.5219,0.3907,0.4544
2,0.5219,0.418,0.459,0.459,0.3907,0.4645,0.5191,0.4672,0.4536,0.3907,0.5219,0.3907,0.4544
3,0.5219,0.418,0.459,0.4536,0.3907,0.4645,0.5191,0.4672,0.4536,0.3907,0.5219,0.3907,0.4538
4,0.5219,0.418,0.4372,0.4536,0.3907,0.4645,0.5191,0.4563,0.4536,0.3907,0.5219,0.3907,0.4506
5,0.5219,0.4126,0.4372,0.4536,0.3907,0.4645,0.5191,0.4563,0.4344,0.377,0.5219,0.377,0.4467
6,0.5219,0.4126,0.4563,0.4454,0.3907,0.4617,0.5191,0.4563,0.4344,0.377,0.5219,0.377,0.4475
7,0.5164,0.3825,0.4563,0.4454,0.3907,0.4372,0.5191,0.4536,0.4344,0.377,0.5191,0.377,0.4413
8,0.4809,0.3798,0.4372,0.4454,0.3907,0.4153,0.5191,0.4563,0.4344,0.377,0.5191,0.377,0.4336
9,0.4809,0.3798,0.4536,0.4454,0.3907,0.4126,0.5191,0.4563,0.4317,0.377,0.5191,0.377,0.4347
10,0.4672,0.1503,0.4344,0.4399,0.3907,0.4098,0.5191,0.4563,0.4317,0.3716,0.5191,0.1503,0.4071
11,0.3907,0.4098,0.4344,0.4399,0.3907,0.4098,0.5191,0.4563,0.429,0.3716,0.5191,0.3716,0.4251
12,0.377,0.2514,0.429,0.4399,0.3852,0.4098,0.5191,0.4098,0.429,0.3716,0.5191,0.2514,0.4022
13,0.377,0.2842,0.4481,0.4399,0.3852,0.3716,0.5191,0.4098,0.429,0.3716,0.5191,0.2842,0.4035
14,0.1913,0.418,0.429,0.4372,0.3443,0.4262,0.5191,0.3907,0.0,0.4016,0.5191,0.1913,0.3557
15,0.3989,0.3798,0.429,0.4372,0.2623,0.4235,0.5191,0.388,0.429,0.4016,0.5191,0.2623,0.4068
16,0.3388,0.3552,0.429,0.4071,0.2623,0.4016,0.5191,0.388,0.429,0.4016,0.5191,0.2623,0.3932
17,0.3388,0.1749,0.4153,0.4071,0.2377,0.4016,0.5191,0.388,0.4208,0.4016,0.5191,0.1749,0.3705
18,0.3361,0.1694,0.4344,0.4016,0.4208,0.4016,0.5191,0.388,0.3852,0.4016,0.5191,0.1694,0.3858
19,0.4809,0.1694,0.4126,0.3634,0.418,0.377,0.5191,0.388,0.3333,0.4016,0.5191,0.1694,0.3863
20,0.4809,0.2678,0.4126,0.2732,0.418,0.3443,0.5137,0.388,0.0,0.3989,0.5137,0.2678,0.3497
21,0.4809,0.1612,0.4262,0.4508,0.418,0.4208,0.4945,0.388,0.4235,0.3962,0.4945,0.1612,0.406
22,0.4454,0.1612,0.4262,0.4508,0.418,0.4126,0.4945,0.3798,0.4208,0.3361,0.4945,0.1612,0.3945
23,0.4454,0.4454,0.4016,0.4454,0.418,0.3415,0.4945,0.3852,0.4153,0.3306,0.4945,0.3306,0.4123
24,0.4672,0.4454,0.4153,0.4454,0.3825,0.3415,0.4945,0.3852,0.3087,0.2842,0.4945,0.2842,0.397
25,0.2022,0.4454,0.377,0.4399,0.418,0.2432,0.4918,0.3333,0.4563,0.2022,0.4918,0.2022,0.3609
26,0.2022,0.4126,0.377,0.4399,0.4126,0.123,0.4918,0.2268,0.4563,0.3388,0.4918,0.123,0.3481
27,0.5219,0.4126,0.3689,0.429,0.0,0.0902,0.4153,0.4563,0.4563,0.3279,0.5219,0.0902,0.3478
28,0.4617,0.4126,0.3689,0.429,0.3852,0.0902,0.4153,0.4508,0.4563,0.2049,0.4617,0.0902,0.3675
29,0.4617,0.3798,0.1503,0.3579,0.3169,0.1448,0.3852,0.4508,0.4536,0.0,0.4617,0.1448,0.3101
