timestamp,legacy_cs4231a4,legacy_cs4231a5,legacy_cs4231a9,legacy_cs4231a8,legacy_cs4231a0,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a3,legacy_cs4231a6,max,min,avg
0,0.4275,0.4203,0.3696,0.4928,0.3768,0.2826,0.2899,0.5,0.4783,0.5,0.2826,0.4042
1,0.4275,0.4203,0.3696,0.4928,0.3768,0.2826,0.2899,0.5,0.4783,0.5,0.2826,0.4042
2,0.4275,0.4203,0.3696,0.4928,0.3768,0.2826,0.2899,0.5,0.4783,0.5,0.2826,0.4042
3,0.4275,0.4203,0.3696,0.4928,0.3768,0.2826,0.2754,0.5,0.4783,0.5,0.2754,0.4026
4,0.4275,0.4203,0.3696,0.4928,0.3768,0.2826,0.2754,0.5,0.4638,0.5,0.2754,0.401
5,0.4275,0.4203,0.3551,0.4928,0.3768,0.2826,0.2754,0.5,0.4638,0.5,0.2754,0.3994
6,0.4275,0.4203,0.3551,0.4928,0.3768,0.2826,0.2754,0.5,0.4638,0.5,0.2754,0.3994
7,0.4275,0.4203,0.3551,0.4928,0.3768,0.2826,0.2754,0.5,0.4638,0.5,0.2754,0.3994
8,0.4275,0.4203,0.3551,0.4928,0.3768,0.2826,0.2754,0.5,0.4638,0.5,0.2754,0.3994
9,0.4275,0.4203,0.3406,0.4928,0.3768,0.2826,0.2754,0.5,0.4638,0.5,0.2754,0.3978
10,0.4275,0.4203,0.3406,0.4928,0.3768,0.2826,0.2754,0.4928,0.4638,0.4928,0.2754,0.397
11,0.4275,0.4203,0.3406,0.4928,0.3768,0.2826,0.2754,0.4928,0.4638,0.4928,0.2754,0.397
12,0.4275,0.4203,0.3406,0.4928,0.3768,0.2826,0.2754,0.4493,0.4638,0.4928,0.2754,0.3921
13,0.4275,0.4203,0.3406,0.4928,0.3768,0.2826,0.2754,0.4493,0.4565,0.4928,0.2754,0.3913
14,0.4275,0.4203,0.3406,0.4928,0.3768,0.2826,0.2754,0.4348,0.4565,0.4928,0.2754,0.3897
15,0.4275,0.4203,0.3261,0.4928,0.3768,0.2826,0.2754,0.3986,0.4565,0.4928,0.2754,0.3841
16,0.4275,0.0,0.3261,0.4855,0.3768,0.2609,0.2754,0.3986,0.4565,0.4855,0.2609,0.3341
17,0.4275,0.4203,0.3261,0.4855,0.3768,0.2609,0.2754,0.3986,0.4565,0.4855,0.2609,0.3808
18,0.4275,0.4203,0.3261,0.442,0.3551,0.2609,0.2609,0.3986,0.4565,0.4565,0.2609,0.372
19,0.3986,0.4203,0.3261,0.442,0.3551,0.2609,0.2609,0.3986,0.4565,0.4565,0.2609,0.3688
20,0.3986,0.3913,0.3261,0.442,0.3406,0.2464,0.2609,0.3986,0.4565,0.4565,0.2464,0.3623
21,0.3986,0.3913,0.3261,0.442,0.3406,0.2464,0.2609,0.3986,0.4493,0.4493,0.2464,0.3615
22,0.3986,0.2609,0.2971,0.442,0.3406,0.2464,0.2609,0.3986,0.4493,0.4493,0.2464,0.3438
23,0.0,0.2609,0.2971,0.442,0.3406,0.2101,0.2464,0.3986,0.4203,0.442,0.2101,0.2907
24,0.2101,0.2609,0.2971,0.3986,0.4203,0.3116,0.2464,0.3986,0.4783,0.4783,0.2101,0.3358
25,0.4275,0.2609,0.2971,0.3986,0.4203,0.3116,0.2464,0.3986,0.4783,0.4783,0.2464,0.3599
26,0.4275,0.2609,0.2971,0.3913,0.2899,0.3116,0.2464,0.3986,0.4783,0.4783,0.2464,0.3446
27,0.413,0.4203,0.2971,0.3406,0.2899,0.3116,0.2609,0.0,0.4783,0.4783,0.2609,0.3124
28,0.0,0.4203,0.2971,0.442,0.2464,0.3116,0.2609,0.0,0.4638,0.4638,0.2464,0.2713
29,0.029,0.4203,0.0,0.0,0.4493,0.3116,0.2899,0.0,0.4783,0.4783,0.029,0.2198
30,0.029,0.4058,0.2899,0.3913,0.4493,0.2971,0.2899,0.3913,0.4783,0.4783,0.029,0.3358
31,0.2971,0.4203,0.2899,0.442,0.4493,0.2971,0.2899,0.4493,0.4783,0.4783,0.2899,0.3792
32,0.2971,0.4203,0.2754,0.442,0.4493,0.2971,0.2899,0.4493,0.4783,0.4783,0.2754,0.3776
33,0.4348,0.4203,0.3261,0.442,0.4493,0.2971,0.2899,0.4493,0.0,0.4493,0.2899,0.3454
34,0.4348,0.4203,0.3261,0.442,0.3188,0.2971,0.2899,0.4493,0.3043,0.4493,0.2899,0.3647
35,0.4348,0.2899,0.3406,0.3986,0.3116,0.2971,0.2899,0.4493,0.1667,0.4493,0.1667,0.3309
36,0.4348,0.2754,0.3406,0.4638,0.3551,0.2971,0.2899,0.4783,0.2174,0.4783,0.2174,0.3503
37,0.4348,0.2681,0.3406,0.3406,0.3478,0.0,0.2899,0.442,0.3188,0.442,0.2681,0.3092
38,0.4203,0.2826,0.3188,0.3406,0.2464,0.2826,0.2899,0.442,0.3188,0.442,0.2464,0.3269
39,0.4348,0.2826,0.3188,0.442,0.2826,0.2464,0.2899,0.442,0.3188,0.442,0.2464,0.3398
40,0.4348,0.1739,0.3696,0.2971,0.2826,0.3116,0.2899,0.442,0.3188,0.442,0.1739,0.3245
41,0.4348,0.3261,0.3696,0.1522,0.2971,0.3116,0.2899,0.4203,0.3188,0.4348,0.1522,0.3245
42,0.4348,0.3841,0.3696,0.1522,0.4348,0.3116,0.2754,0.4203,0.3188,0.4348,0.1522,0.3446
43,0.4348,0.4058,0.3696,0.442,0.2971,0.3116,0.0,0.3986,0.3188,0.442,0.2971,0.3309
44,0.4348,0.4203,0.3696,0.3986,0.2681,0.3116,0.1884,0.4058,0.3188,0.4348,0.1884,0.3462
