timestamp,legacy_ee100pro8,legacy_ee100pro5,legacy_ee100pro4,legacy_ee100pro9,legacy_ee100pro0,legacy_ee100pro1,legacy_ee100pro6,legacy_ee100pro2,legacy_ee100pro7,legacy_ee100pro3,max,min,avg
0,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
2,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
4,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
5,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
6,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
7,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
8,0.0116,0.0116,0.0116,0.0116,0.0116,0.4167,0.0116,0.0116,0.0116,0.0116,0.4167,0.0116,0.0521
9,0.0116,0.0116,0.0116,0.0116,0.0116,0.4167,0.0116,0.0116,0.0116,0.0116,0.4167,0.0116,0.0521
10,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
11,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
12,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
13,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
14,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
15,0.0116,0.3102,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3102,0.0116,0.0415
16,0.0116,0.3102,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3102,0.0116,0.0415
17,0.0116,0.3102,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3102,0.0116,0.0415
18,0.0116,0.3102,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3102,0.0116,0.0415
19,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
20,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
21,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
22,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
23,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
24,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
25,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
26,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
27,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
28,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
29,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
30,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
31,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
32,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
33,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
34,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3588,0.0116,0.0116,0.0116,0.3588,0.0116,0.0463
35,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.3588,0.0116,0.0116,0.0116,0.4306,0.0116,0.0882
36,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3588,0.0116,0.0116,0.0116,0.3588,0.0116,0.0463
38,0.0116,0.0116,0.0116,0.0116,0.0116,0.3079,0.3588,0.0116,0.0116,0.0116,0.3588,0.0116,0.076
39,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.4306,0.0116,0.0535
40,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.4306,0.0116,0.0535
41,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.4306,0.0116,0.0535
42,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.4306,0.0116,0.0535
43,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.4306,0.0116,0.0535
44,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.4306,0.0116,0.0535
45,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
46,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
47,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
48,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3333,0.3333,0.0116,0.0438
49,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3333,0.3333,0.0116,0.0438
50,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
51,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
52,0.0116,0.3009,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0813
53,0.0116,0.3009,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0813
54,0.0116,0.3009,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0813
55,0.0116,0.0116,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0523
56,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
57,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
58,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
59,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
60,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
61,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
62,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
63,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
64,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.0516
65,0.0116,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.0116,0.0116,0.0116,0.412,0.0116,0.0516
66,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.2731,0.2731,0.0116,0.0377
67,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3333,0.3333,0.0116,0.0438
68,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
69,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
70,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
71,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
72,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0523
73,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0116,0.0116,0.0116,0.0116,0.419,0.0116,0.0523
74,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
75,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0375
76,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0375
77,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0375
78,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.2708,0.0116,0.0375
