timestamp,legacy_floppy7,legacy_floppy2,legacy_floppy0,legacy_floppy5,legacy_floppy8,legacy_floppy1,legacy_floppy4,legacy_floppy6,legacy_floppy3,max,min,avg
0,0.4433,0.4534,0.4433,0.4433,0.4413,0.4393,0.4433,0.4534,0.4555,0.4555,0.4393,0.4462
1,0.4433,0.4534,0.4433,0.4433,0.4413,0.4393,0.4433,0.4534,0.4575,0.4575,0.4393,0.4465
2,0.4433,0.4534,0.4433,0.4433,0.4413,0.4393,0.4433,0.4534,0.4575,0.4575,0.4393,0.4465
3,0.4433,0.4534,0.4433,0.4433,0.4291,0.4393,0.4413,0.4534,0.4575,0.4575,0.4291,0.4449
4,0.4433,0.4534,0.4433,0.4393,0.4291,0.4393,0.4291,0.4474,0.4575,0.4575,0.4291,0.4424
5,0.4393,0.4514,0.4433,0.4372,0.4291,0.4393,0.4291,0.4453,0.4555,0.4555,0.4291,0.4411
6,0.4393,0.4514,0.4433,0.4372,0.4291,0.4393,0.4291,0.0,0.4555,0.4555,0.4291,0.4405
7,0.4393,0.4474,0.4413,0.4291,0.4291,0.4352,0.4271,0.4453,0.4534,0.4534,0.4271,0.4386
8,0.4393,0.4413,0.4413,0.4291,0.4433,0.4231,0.4271,0.4433,0.4514,0.4514,0.4231,0.4377
9,0.4312,0.4413,0.4393,0.4433,0.4433,0.4393,0.4251,0.4453,0.0,0.4453,0.4251,0.4385
10,0.4372,0.4413,0.4393,0.4433,0.4433,0.4393,0.4231,0.4433,0.4534,0.4534,0.4231,0.4404
11,0.4372,0.0,0.4393,0.4433,0.0,0.4271,0.4049,0.4291,0.0,0.4433,0.4049,0.4302
12,0.4352,0.0,0.4393,0.4433,0.4271,0.4332,0.4413,0.4514,0.4413,0.4514,0.4271,0.439
13,0.4352,0.4312,0.4393,0.4312,0.4251,0.417,0.4413,0.4453,0.4393,0.4453,0.417,0.4339
14,0.4211,0.419,0.4312,0.4433,0.4433,0.4393,0.4413,0.0,0.4393,0.4433,0.419,0.4347
15,0.4413,0.419,0.4393,0.4413,0.4433,0.4372,0.4312,0.0,0.4352,0.4433,0.419,0.436
16,0.4413,0.419,0.4312,0.4413,0.4433,0.4372,0.4291,0.0,0.4291,0.4433,0.419,0.4339
17,0.4413,0.4453,0.4433,0.4413,0.4433,0.4372,0.417,0.4372,0.4291,0.4453,0.417,0.4372
18,0.4231,0.4453,0.4433,0.4413,0.4352,0.4433,0.4433,0.4372,0.4271,0.4453,0.4231,0.4377
19,0.0,0.4453,0.4433,0.4352,0.4352,0.4291,0.4433,0.4251,0.4271,0.4453,0.4251,0.4355
20,0.4393,0.4332,0.4413,0.4028,0.4332,0.4089,0.4413,0.4372,0.4291,0.4413,0.4028,0.4296
21,0.4372,0.4332,0.4372,0.4271,0.4413,0.4049,0.4332,0.4474,0.4312,0.4474,0.4049,0.4325
22,0.4069,0.4251,0.4372,0.4231,0.4413,0.4271,0.4211,0.4453,0.4312,0.4453,0.4069,0.4287
23,0.413,0.415,0.417,0.415,0.4494,0.417,0.4069,0.4393,0.4312,0.4494,0.4069,0.4226
24,0.0,0.4413,0.415,0.4049,0.4494,0.4251,0.4069,0.4393,0.415,0.4494,0.4049,0.4246
25,0.415,0.4413,0.4494,0.4372,0.4413,0.4251,0.4069,0.4474,0.4069,0.4494,0.4069,0.4301
26,0.4211,0.4231,0.4372,0.4393,0.4413,0.4251,0.4049,0.4474,0.4028,0.4474,0.4028,0.4269
27,0.419,0.4231,0.4372,0.4291,0.4413,0.4251,0.4413,0.4433,0.4271,0.4433,0.419,0.4318
28,0.4453,0.4231,0.4028,0.4231,0.4312,0.4251,0.4271,0.4028,0.4332,0.4453,0.4028,0.4237
29,0.4453,0.4028,0.4028,0.417,0.4312,0.4251,0.4028,0.4028,0.4211,0.4453,0.4028,0.4168
30,0.4453,0.4211,0.4028,0.4069,0.4312,0.4251,0.4211,0.4251,0.4211,0.4453,0.4028,0.4222
31,0.4433,0.4271,0.4028,0.4393,0.4312,0.4251,0.4211,0.4251,0.4211,0.4433,0.4028,0.4262
32,0.4453,0.4312,0.4028,0.4352,0.4312,0.4251,0.4575,0.4251,0.4211,0.4575,0.4028,0.4305
33,0.4453,0.4312,0.4028,0.0,0.4291,0.4251,0.4514,0.4251,0.4211,0.4514,0.4028,0.4289
34,0.4453,0.4312,0.4028,0.4413,0.4291,0.4656,0.4514,0.4251,0.4211,0.4656,0.4028,0.4348
35,0.4494,0.4251,0.4656,0.4312,0.419,0.4656,0.4514,0.4251,0.4372,0.4656,0.419,0.4411
36,0.4494,0.4089,0.4069,0.4514,0.4433,0.4656,0.4514,0.4251,0.4372,0.4656,0.4069,0.4377
