timestamp,legacy_intel_hda5,legacy_intel_hda1,legacy_intel_hda0,legacy_intel_hda9,legacy_intel_hda2,legacy_intel_hda3,legacy_intel_hda8,legacy_intel_hda4,legacy_intel_hda7,legacy_intel_hda6,max,min,avg
0,0.413,0.1957,0.213,0.387,0.2913,0.1826,0.2565,0.2696,0.187,0.3,0.413,0.1826,0.2696
3,0.413,0.1957,0.213,0.387,0.2913,0.1826,0.2565,0.2696,0.187,0.3,0.413,0.1826,0.2696
5,0.413,0.1957,0.213,0.387,0.2913,0.1826,0.2565,0.2696,0.187,0.2957,0.413,0.1826,0.2691
6,0.413,0.1739,0.213,0.387,0.2913,0.1826,0.2565,0.2696,0.187,0.2957,0.413,0.1739,0.267
8,0.413,0.1739,0.213,0.387,0.2913,0.1826,0.2565,0.2696,0.187,0.2957,0.413,0.1739,0.267
9,0.1652,0.1696,0.213,0.387,0.2913,0.2609,0.2565,0.2696,0.187,0.2957,0.387,0.1652,0.2496
10,0.1652,0.1696,0.213,0.2217,0.2913,0.2609,0.2565,0.2957,0.187,0.2957,0.2957,0.1652,0.2357
11,0.1652,0.1696,0.213,0.2217,0.2913,0.2609,0.2565,0.2957,0.2609,0.2957,0.2957,0.1652,0.243
12,0.1652,0.1696,0.213,0.2217,0.3,0.2609,0.2565,0.2957,0.2609,0.2957,0.3,0.1652,0.2439
13,0.1652,0.1696,0.213,0.2217,0.3,0.2609,0.2565,0.2957,0.2609,0.2957,0.3,0.1652,0.2439
15,0.1652,0.1696,0.213,0.2217,0.3,0.2609,0.2565,0.2957,0.2609,0.2957,0.3,0.1652,0.2439
16,0.1652,0.1696,0.213,0.2217,0.3,0.2609,0.2565,0.2957,0.2609,0.2957,0.3,0.1652,0.2439
17,0.1652,0.1696,0.213,0.2217,0.3,0.2609,0.2565,0.2957,0.2609,0.2957,0.3,0.1652,0.2439
18,0.1652,0.1696,0.213,0.2217,0.3,0.2609,0.2565,0.2957,0.2609,0.2957,0.3,0.1652,0.2439
19,0.1652,0.1696,0.213,0.2217,0.3,0.2609,0.2565,0.2957,0.2609,0.2957,0.3,0.1652,0.2439
20,0.1652,0.1304,0.213,0.2217,0.3,0.2609,0.2565,0.1826,0.2609,0.2957,0.3,0.1304,0.2287
21,0.1652,0.1304,0.213,0.2217,0.3,0.2609,0.2565,0.1826,0.2609,0.2957,0.3,0.1304,0.2287
22,0.1652,0.1304,0.213,0.2435,0.3,0.2609,0.2565,0.1826,0.2609,0.1913,0.3,0.1304,0.2204
23,0.1652,0.1304,0.213,0.2435,0.3,0.3739,0.2565,0.1826,0.2609,0.1913,0.3739,0.1304,0.2317
24,0.1652,0.1304,0.213,0.2217,0.3,0.3739,0.2565,0.1826,0.2609,0.1304,0.3739,0.1304,0.2235
25,0.1652,0.1957,0.213,0.2217,0.3,0.3739,0.2565,0.1826,0.2609,0.1304,0.3739,0.1304,0.23
26,0.1652,0.1957,0.213,0.2217,0.3,0.3739,0.2565,0.1826,0.2609,0.1217,0.3739,0.1217,0.2291
27,0.1652,0.1957,0.213,0.2217,0.3,0.3739,0.2565,0.1826,0.2609,0.1174,0.3739,0.1174,0.2287
28,0.1652,0.1957,0.213,0.2217,0.3,0.3739,0.2565,0.1826,0.2609,0.1304,0.3739,0.1304,0.23
29,0.1652,0.1957,0.213,0.2217,0.3,0.3739,0.2565,0.1826,0.2609,0.1217,0.3739,0.1217,0.2291
30,0.1652,0.1957,0.213,0.2217,0.3,0.3739,0.2565,0.1826,0.2609,0.1913,0.3739,0.1652,0.2361
31,0.1652,0.1957,0.213,0.2391,0.3,0.3739,0.2565,0.1826,0.2609,0.1913,0.3739,0.1652,0.2378
32,0.1652,0.1957,0.213,0.2391,0.3,0.3739,0.2565,0.1826,0.2609,0.1913,0.3739,0.1652,0.2378
33,0.1652,0.1565,0.213,0.2391,0.3,0.3739,0.2565,0.1826,0.2609,0.2957,0.3739,0.1565,0.2443
34,0.1652,0.1565,0.213,0.2391,0.3,0.3739,0.2565,0.1826,0.2609,0.2957,0.3739,0.1565,0.2443
35,0.1652,0.1565,0.213,0.2174,0.3,0.3739,0.2565,0.1826,0.2609,0.2957,0.3739,0.1565,0.2422
36,0.1652,0.1565,0.213,0.2174,0.3,0.3739,0.2565,0.1826,0.2609,0.2957,0.3739,0.1565,0.2422
37,0.1652,0.1522,0.213,0.2174,0.3,0.3739,0.2565,0.1826,0.2609,0.2957,0.3739,0.1522,0.2417
38,0.1652,0.1522,0.213,0.2174,0.3,0.3739,0.2565,0.1826,0.2609,0.2739,0.3739,0.1522,0.2396
39,0.1652,0.1783,0.213,0.2304,0.3,0.3739,0.2565,0.1826,0.2609,0.2739,0.3739,0.1652,0.2435
40,0.1652,0.1783,0.213,0.2304,0.3,0.3739,0.2565,0.1826,0.2609,0.2739,0.3739,0.1652,0.2435
41,0.1652,0.1783,0.213,0.2304,0.3,0.3739,0.2565,0.1826,0.1565,0.2739,0.3739,0.1565,0.233
42,0.1652,0.1783,0.213,0.2304,0.3,0.3739,0.2565,0.1826,0.1565,0.2739,0.3739,0.1565,0.233
43,0.1652,0.1478,0.213,0.2304,0.3,0.3739,0.2565,0.1826,0.1565,0.2739,0.3739,0.1478,0.23
44,0.1652,0.1174,0.213,0.2304,0.3,0.3739,0.2565,0.1826,0.1565,0.2739,0.3739,0.1174,0.2269
45,0.1652,0.1174,0.213,0.2304,0.2826,0.3739,0.2565,0.1826,0.1217,0.3,0.3739,0.1174,0.2243
47,0.1652,0.1174,0.213,0.2478,0.2826,0.3739,0.2565,0.1826,0.1217,0.3,0.3739,0.1174,0.2261
48,0.1478,0.1174,0.213,0.2478,0.2826,0.3739,0.2565,0.1826,0.1217,0.3,0.3739,0.1174,0.2243
49,0.1478,0.1174,0.213,0.2261,0.2826,0.3739,0.2565,0.1826,0.1217,0.3,0.3739,0.1174,0.2222
50,0.1478,0.1174,0.213,0.2261,0.2826,0.3739,0.2565,0.1826,0.1217,0.3,0.3739,0.1174,0.2222
