timestamp,legacy_pcnet3,legacy_pcnet7,legacy_pcnet0,legacy_pcnet4,legacy_pcnet8,legacy_pcnet5,legacy_pcnet1,legacy_pcnet2,legacy_pcnet6,max,min,avg
0,0.3047,0.1004,0.2646,0.2482,0.2993,0.3139,0.2044,0.2555,0.188,0.3139,0.1004,0.2421
1,0.3047,0.1004,0.2646,0.2482,0.2993,0.3139,0.2044,0.2555,0.188,0.3139,0.1004,0.2421
2,0.3047,0.1004,0.2646,0.2482,0.2993,0.3139,0.2044,0.2555,0.188,0.3139,0.1004,0.2421
3,0.3047,0.1004,0.2646,0.2482,0.2993,0.2719,0.2044,0.2555,0.0858,0.3047,0.0858,0.2261
4,0.3011,0.0894,0.2646,0.2482,0.2993,0.2719,0.2044,0.2555,0.2026,0.3011,0.0894,0.2374
5,0.3011,0.0894,0.2646,0.2482,0.2993,0.3029,0.2409,0.2555,0.2007,0.3029,0.0894,0.2447
6,0.2974,0.0894,0.2646,0.2427,0.2993,0.25,0.2409,0.2555,0.1788,0.2993,0.0894,0.2354
7,0.2974,0.0894,0.2646,0.2409,0.2993,0.2482,0.2409,0.2555,0.1788,0.2993,0.0894,0.235
8,0.2153,0.0894,0.2646,0.2409,0.2993,0.2464,0.2409,0.2555,0.1788,0.2993,0.0894,0.2257
9,0.2974,0.2646,0.2646,0.2409,0.2993,0.2354,0.2409,0.2555,0.0639,0.2993,0.0639,0.2403
10,0.2974,0.2646,0.2646,0.2409,0.2993,0.2354,0.2409,0.2427,0.0858,0.2993,0.0858,0.2413
11,0.1989,0.2646,0.2646,0.2409,0.2993,0.2354,0.2409,0.2299,0.0858,0.2993,0.0858,0.2289
12,0.2974,0.2646,0.2646,0.2391,0.2445,0.2354,0.2409,0.2299,0.0858,0.2974,0.0858,0.2336
13,0.2974,0.2646,0.2609,0.2391,0.2445,0.2354,0.2409,0.2299,0.0858,0.2974,0.0858,0.2332
14,0.2974,0.2646,0.2609,0.2391,0.2445,0.2354,0.2409,0.2299,0.1788,0.2974,0.1788,0.2435
15,0.2883,0.2646,0.2518,0.2372,0.2445,0.0858,0.2409,0.2299,0.1296,0.2883,0.0858,0.2192
16,0.2883,0.2646,0.2518,0.2372,0.2427,0.2026,0.2409,0.2299,0.0821,0.2883,0.0821,0.2267
17,0.2883,0.2646,0.2518,0.2901,0.0456,0.3102,0.2391,0.2263,0.1971,0.3102,0.0456,0.2348
18,0.2883,0.2646,0.2518,0.2737,0.0292,0.281,0.2354,0.2172,0.1843,0.2883,0.0292,0.2251
19,0.2883,0.2609,0.2518,0.2591,0.2372,0.2792,0.2354,0.2555,0.0821,0.2883,0.0821,0.2388
20,0.2901,0.2464,0.0584,0.2555,0.2318,0.2354,0.2354,0.2555,0.1734,0.2901,0.0584,0.2202
21,0.2755,0.2464,0.0201,0.0292,0.2865,0.2318,0.2135,0.2555,0.0839,0.2865,0.0201,0.1825
22,0.2755,0.2464,0.2646,0.2336,0.2865,0.1661,0.2099,0.2555,0.0839,0.2865,0.0839,0.2247
23,0.2755,0.2464,0.2646,0.2336,0.2865,0.2719,0.2135,0.2555,0.2007,0.2865,0.2007,0.2498
24,0.3047,0.25,0.2646,0.1916,0.2865,0.2719,0.2318,0.2536,0.1971,0.3047,0.1916,0.2502
25,0.3047,0.2464,0.2609,0.1734,0.2828,0.2682,0.2318,0.1843,0.1934,0.3047,0.1734,0.2384
26,0.3047,0.2464,0.2609,0.0474,0.2591,0.2701,0.2245,0.2536,0.1934,0.3047,0.0474,0.2289
27,0.3047,0.2464,0.2609,0.0474,0.2865,0.2682,0.2245,0.2536,0.1971,0.3047,0.0474,0.2321
28,0.2993,0.2464,0.25,0.2281,0.2755,0.2354,0.2245,0.2354,0.0438,0.2993,0.0438,0.2265
29,0.3175,0.2208,0.0639,0.2281,0.2245,0.2682,0.2135,0.1843,0.0438,0.3175,0.0438,0.1961
30,0.2993,0.2208,0.0675,0.2847,0.2135,0.2318,0.2044,0.1843,0.0438,0.2993,0.0438,0.1945
31,0.2956,0.2135,0.0675,0.2792,0.2026,0.2664,0.2044,0.1843,0.0438,0.2956,0.0438,0.1953
32,0.0693,0.2135,0.0675,0.2628,0.0201,0.2628,0.2044,0.2482,0.0438,0.2628,0.0201,0.1547
33,0.2883,0.1898,0.2044,0.2263,0.031,0.2628,0.2044,0.2518,0.0438,0.2883,0.031,0.1892
34,0.2883,0.1898,0.0547,0.219,0.2609,0.0785,0.1898,0.0201,0.0438,0.2883,0.0201,0.1494
35,0.2755,0.0292,0.0237,0.2172,0.0201,0.1898,0.2226,0.1752,0.1423,0.2755,0.0201,0.144
36,0.2755,0.0894,0.1788,0.2792,0.0201,0.1642,0.1843,0.1752,0.1423,0.2792,0.0201,0.1677
37,0.2591,0.0894,0.1807,0.1898,0.1861,0.0201,0.1843,0.1752,0.1898,0.2591,0.0201,0.1638
38,0.0511,0.0894,0.2464,0.1898,0.0328,0.073,0.1843,0.2774,0.2153,0.2774,0.0328,0.1511
39,0.0511,0.0894,0.2464,0.2299,0.1971,0.073,0.1843,0.1825,0.2153,0.2464,0.0511,0.1632
