timestamp,legacy_ac970,legacy_ac971,legacy_ac975,legacy_ac976,legacy_ac973,legacy_ac972,max,min,avg
0,0.918,0.9141,0.9239,0.9034,0.8985,0.9298,0.9298,0.8985,0.9146
1,0.918,0.9141,0.9239,0.9034,0.8985,0.9298,0.9298,0.8985,0.9146
2,0.918,0.8517,0.9239,0.9288,0.8985,0.9298,0.9298,0.8517,0.9085
3,0.8644,0.9063,0.8605,0.9288,0.8985,0.9034,0.9288,0.8605,0.8937
4,0.9141,0.9063,0.9239,0.9034,0.8985,0.9298,0.9298,0.8985,0.9127
5,0.918,0.9093,0.9239,0.9034,0.8985,0.9298,0.9298,0.8985,0.9138
6,0.918,0.9141,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.918
7,0.9141,0.9141,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9138
8,0.918,0.9063,0.8839,0.879,0.8985,0.9298,0.9298,0.879,0.9026
9,0.9141,0.9141,0.8839,0.9288,0.8985,0.9298,0.9298,0.8839,0.9115
10,0.918,0.9141,0.8868,0.9288,0.8985,0.8546,0.9288,0.8546,0.9001
11,0.918,0.9093,0.9239,0.8683,0.8985,0.9298,0.9298,0.8683,0.908
12,0.918,0.9093,0.9239,0.8683,0.8771,0.9298,0.9298,0.8683,0.9044
13,0.918,0.9093,0.919,0.9288,0.8771,0.8546,0.9288,0.8546,0.9011
14,0.918,0.9141,0.8868,0.9288,0.8985,0.8546,0.9288,0.8546,0.9001
15,0.8517,0.9141,0.9239,0.9034,0.8771,0.8546,0.9239,0.8517,0.8875
16,0.918,0.9141,0.9239,0.9034,0.8771,0.9034,0.9239,0.8771,0.9066
17,0.918,0.9063,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9125
18,0.8673,0.9063,0.919,0.9034,0.8771,0.9298,0.9298,0.8673,0.9005
19,0.8517,0.9141,0.8868,0.9288,0.8771,0.9298,0.9298,0.8517,0.8981
20,0.8673,0.9093,0.8839,0.9034,0.8771,0.9298,0.9298,0.8673,0.8951
21,0.918,0.9141,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9189
22,0.8322,0.9141,0.9239,0.8946,0.8985,0.8546,0.9239,0.8322,0.8863
23,0.918,0.9141,0.8868,0.8946,0.8985,0.9298,0.9298,0.8868,0.907
24,0.918,0.9141,0.878,0.9034,0.8985,0.9034,0.918,0.878,0.9026
25,0.918,0.9063,0.9239,0.9288,0.8771,0.9298,0.9298,0.8771,0.914
26,0.918,0.9141,0.9239,0.9034,0.8985,0.9298,0.9298,0.8985,0.9146
27,0.918,0.9141,0.9239,0.9288,0.8771,0.9298,0.9298,0.8771,0.9153
28,0.918,0.9063,0.9239,0.9229,0.8985,0.9298,0.9298,0.8985,0.9166
29,0.918,0.9063,0.9239,0.9229,0.8985,0.8429,0.9239,0.8429,0.9021
30,0.918,0.9093,0.8741,0.9288,0.8771,0.8985,0.9288,0.8741,0.901
