timestamp,legacy_cs4231a9,legacy_cs4231a6,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a5,legacy_cs4231a3,legacy_cs4231a7,legacy_cs4231a4,legacy_cs4231a0,legacy_cs4231a8,max,min,avg
0,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4682,0.3553,0.5365,0.3553,0.4063
1,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4682,0.3553,0.5365,0.3553,0.4063
2,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4682,0.3553,0.5365,0.3553,0.4063
3,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4682,0.3553,0.5365,0.3553,0.4063
4,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4682,0.3553,0.5365,0.3553,0.4063
5,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4682,0.3553,0.5365,0.3553,0.4063
6,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4682,0.3553,0.5365,0.3553,0.4063
7,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4682,0.3553,0.5365,0.3553,0.4063
8,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
9,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
10,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
11,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
12,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
13,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
14,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
15,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
16,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
17,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
18,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
19,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5365,0.4235,0.4824,0.3553,0.5365,0.3553,0.4078
20,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
21,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
22,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
23,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
24,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
25,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
26,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
27,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
28,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
29,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
30,0.3882,0.3976,0.3812,0.3553,0.3859,0.3718,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4087
31,0.3882,0.3976,0.3812,0.3553,0.3859,0.4047,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.412
32,0.3882,0.3976,0.3812,0.3553,0.3859,0.4047,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.412
33,0.3882,0.3976,0.3812,0.3553,0.3859,0.4047,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.412
34,0.3882,0.3976,0.3812,0.3553,0.3859,0.5412,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4256
35,0.3882,0.3976,0.3812,0.3553,0.3859,0.5412,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4256
36,0.3976,0.3976,0.3812,0.3553,0.3859,0.5412,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4266
37,0.3976,0.3976,0.3812,0.3553,0.3859,0.5412,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4266
38,0.3976,0.3976,0.3812,0.3553,0.3859,0.5412,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4266
39,0.4141,0.3976,0.3812,0.3553,0.3859,0.5412,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4282
40,0.4141,0.3976,0.3812,0.3647,0.3859,0.5412,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4292
41,0.4141,0.3976,0.3812,0.3647,0.3859,0.5412,0.5459,0.4235,0.4824,0.3553,0.5459,0.3553,0.4292
42,0.5529,0.3976,0.3812,0.3647,0.4282,0.5412,0.5859,0.4235,0.4824,0.3553,0.5859,0.3553,0.4513
43,0.5529,0.3976,0.3812,0.3647,0.4282,0.5412,0.5859,0.4235,0.5341,0.3553,0.5859,0.3553,0.4565
44,0.5529,0.3976,0.3812,0.3647,0.4282,0.5412,0.5859,0.4235,0.5341,0.3553,0.5859,0.3553,0.4565
45,0.5529,0.3976,0.3812,0.3647,0.4282,0.5412,0.5859,0.4235,0.5341,0.3718,0.5859,0.3647,0.4581
