timestamp,legacy_e10004,legacy_e10009,legacy_e10006,legacy_e10008,legacy_e10002,legacy_e10000,legacy_e10007,legacy_e10005,legacy_e10003,max,min,avg
0,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
1,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
2,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
3,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
4,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
5,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
6,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
7,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
8,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
9,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
10,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
11,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
12,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
13,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
14,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
15,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
16,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
17,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
18,0.2202,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.2503
19,0.2268,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.251
20,0.2268,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.251
21,0.2268,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.251
22,0.2268,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.251
23,0.2268,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.251
24,0.2268,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.251
25,0.2268,0.2183,0.2391,0.225,0.3195,0.3214,0.2183,0.2467,0.2439,0.3214,0.2183,0.251
26,0.2268,0.2183,0.2391,0.225,0.3195,0.3242,0.2183,0.2467,0.2439,0.3242,0.2183,0.2513
27,0.2268,0.2183,0.2391,0.225,0.3195,0.3242,0.2183,0.2467,0.2439,0.3242,0.2183,0.2513
28,0.2268,0.2183,0.2391,0.225,0.3195,0.3242,0.2183,0.2467,0.2439,0.3242,0.2183,0.2513
29,0.2268,0.2183,0.2391,0.225,0.3195,0.3242,0.2183,0.2467,0.2439,0.3242,0.2183,0.2513
30,0.2268,0.2183,0.2448,0.225,0.3195,0.3242,0.2183,0.2467,0.2439,0.3242,0.2183,0.2519
31,0.2268,0.2183,0.2448,0.2268,0.3195,0.3242,0.2183,0.2467,0.2439,0.3242,0.2183,0.2521
32,0.2268,0.2183,0.2448,0.2268,0.3195,0.3242,0.2183,0.2467,0.2439,0.3242,0.2183,0.2521
33,0.2268,0.2183,0.2448,0.2268,0.3195,0.3242,0.2183,0.2467,0.2439,0.3242,0.2183,0.2521
34,0.2268,0.2183,0.3261,0.2268,0.3223,0.3242,0.2183,0.2467,0.2439,0.3261,0.2183,0.2615
35,0.2268,0.2183,0.3261,0.2268,0.3223,0.3242,0.2183,0.2467,0.2439,0.3261,0.2183,0.2615
36,0.2268,0.2183,0.3299,0.2268,0.3223,0.327,0.2183,0.2467,0.2439,0.3299,0.2183,0.2622
37,0.2268,0.2183,0.3327,0.2268,0.3223,0.327,0.2183,0.2467,0.2439,0.3327,0.2183,0.2625
38,0.2268,0.2183,0.3327,0.2628,0.3242,0.327,0.2183,0.2467,0.2439,0.3327,0.2183,0.2667
39,0.2268,0.2212,0.3327,0.2628,0.3478,0.327,0.2183,0.2467,0.2561,0.3478,0.2183,0.271
