timestamp,legacy_ee100pro4,legacy_ee100pro3,legacy_ee100pro6,legacy_ee100pro7,legacy_ee100pro0,legacy_ee100pro9,legacy_ee100pro2,legacy_ee100pro5,max,min,avg
0,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.3344,0.4432,0.3328,0.3794
3,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.3344,0.4432,0.3328,0.3794
4,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.3344,0.4432,0.3328,0.3794
5,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.3344,0.4432,0.3328,0.3794
6,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.4083,0.4432,0.3328,0.3886
8,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.4083,0.4432,0.3328,0.3886
9,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.4083,0.4432,0.3328,0.3886
10,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.4083,0.4432,0.3328,0.3886
11,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.4083,0.4432,0.3328,0.3886
12,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.4083,0.4432,0.3328,0.3886
13,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.4083,0.4432,0.3328,0.3886
14,0.3577,0.3328,0.4382,0.4398,0.3461,0.4432,0.3427,0.4083,0.4432,0.3328,0.3886
15,0.3577,0.3328,0.4382,0.4398,0.3461,0.473,0.3427,0.4083,0.473,0.3328,0.3923
16,0.3577,0.3328,0.4382,0.4398,0.3461,0.473,0.3427,0.4083,0.473,0.3328,0.3923
17,0.3577,0.3328,0.4382,0.4398,0.3461,0.473,0.3427,0.4083,0.473,0.3328,0.3923
18,0.3577,0.3328,0.4382,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3985
19,0.3577,0.3328,0.4382,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3985
20,0.3577,0.3328,0.4382,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3985
22,0.3577,0.3328,0.4382,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3985
23,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
24,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
25,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
27,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
28,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
29,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
30,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
31,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
33,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
34,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
35,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
36,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
37,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
38,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
39,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
40,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
41,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
42,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
43,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
44,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
45,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
46,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
47,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
48,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
49,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
50,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
51,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
52,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
53,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
54,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
55,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
56,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
57,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
58,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
59,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
60,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
61,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
62,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
63,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
64,0.3577,0.3328,0.4465,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.3996
65,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
66,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
68,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
69,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
70,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
71,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
72,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
73,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
