timestamp,legacy_es13704,legacy_es13707,legacy_es13708,legacy_es13705,legacy_es13706,legacy_es13703,legacy_es13702,legacy_es13700,legacy_es13709,legacy_es13701,max,min,avg
0,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
1,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
2,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
3,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
4,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
5,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
6,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
7,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
8,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
9,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
10,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
11,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
12,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
13,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
14,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
15,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
16,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
17,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
18,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
19,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
20,0.4506,0.4506,0.4321,0.4753,0.3333,0.3951,0.4506,0.4383,0.3519,0.4938,0.4938,0.3333,0.4272
