timestamp,legacy_intelhda4,legacy_intelhda5,legacy_intelhda8,legacy_intelhda0,legacy_intelhda6,legacy_intelhda7,legacy_intelhda1,legacy_intelhda3,legacy_intelhda9,legacy_intelhda2,max,min,avg
0,0.413,0.3478,0.2435,0.3043,0.1783,0.2783,0.4,0.2217,0.1739,0.3043,0.413,0.1739,0.2865
4,0.413,0.3478,0.2435,0.3043,0.1783,0.2783,0.4,0.2217,0.2826,0.3043,0.413,0.1783,0.2974
5,0.4957,0.3478,0.2435,0.3043,0.1783,0.2783,0.4,0.2217,0.2826,0.3043,0.4957,0.1783,0.3056
6,0.4957,0.3478,0.2522,0.3087,0.1783,0.2783,0.4348,0.4087,0.2826,0.3043,0.4957,0.1783,0.3291
7,0.4957,0.3478,0.2522,0.3087,0.1783,0.2783,0.4348,0.4087,0.2826,0.3043,0.4957,0.1783,0.3291
9,0.4957,0.3478,0.2522,0.3087,0.1783,0.2783,0.4348,0.4087,0.2826,0.3043,0.4957,0.1783,0.3291
10,0.4957,0.4261,0.2522,0.3087,0.1783,0.2783,0.4348,0.4087,0.2826,0.3043,0.4957,0.1783,0.337
11,0.4957,0.4261,0.2522,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3043,0.4957,0.2348,0.3513
12,0.4957,0.4261,0.2522,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3043,0.4957,0.2348,0.3513
13,0.4957,0.4261,0.3478,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3043,0.4957,0.2348,0.3609
14,0.4957,0.4261,0.3478,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3043,0.4957,0.2348,0.3609
15,0.4957,0.4261,0.3478,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.367
16,0.4957,0.4261,0.3478,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.367
17,0.4957,0.4261,0.3478,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.367
18,0.4957,0.4261,0.3478,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.367
19,0.4957,0.4261,0.3957,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.3718
20,0.4957,0.4261,0.3957,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.3718
21,0.4957,0.4261,0.3957,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.3718
22,0.4957,0.4261,0.3957,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.3718
23,0.4957,0.4261,0.3957,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.3718
24,0.4957,0.4261,0.3957,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.3718
25,0.4957,0.4261,0.3957,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.3718
26,0.4957,0.4261,0.3957,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.3718
27,0.4957,0.4261,0.3957,0.313,0.2348,0.2783,0.4348,0.4913,0.2826,0.3652,0.4957,0.2348,0.3718
