timestamp,legacy_pcnet1,legacy_pcnet8,legacy_pcnet5,legacy_pcnet2,legacy_pcnet6,legacy_pcnet3,legacy_pcnet0,legacy_pcnet9,legacy_pcnet7,max,min,avg
0,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2391,0.323,0.0347,0.1634
1,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2391,0.323,0.0347,0.1634
2,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2391,0.323,0.0347,0.1634
3,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2391,0.323,0.0347,0.1634
4,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2391,0.323,0.0347,0.1634
5,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2391,0.323,0.0347,0.1634
6,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2391,0.323,0.0347,0.1634
7,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2391,0.323,0.0347,0.1634
8,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2445,0.323,0.0347,0.164
9,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2099,0.2445,0.323,0.0347,0.164
10,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2153,0.2445,0.323,0.0347,0.1646
11,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2153,0.2445,0.323,0.0347,0.1646
12,0.0347,0.0456,0.1825,0.1095,0.0967,0.323,0.2299,0.2153,0.2445,0.323,0.0347,0.1646
13,0.0347,0.0456,0.1825,0.1095,0.0967,0.3285,0.2299,0.2153,0.2445,0.3285,0.0347,0.1652
14,0.0347,0.0456,0.1825,0.1095,0.0967,0.3285,0.2336,0.2153,0.2445,0.3285,0.0347,0.1657
