timestamp,legacy_xhci2,legacy_xhci6,legacy_xhci5,legacy_xhci1,legacy_xhci7,legacy_xhci0,legacy_xhci9,legacy_xhci8,legacy_xhci4,max,min,avg
0,0.4783,0.4804,0.475,0.4739,0.4728,0.4859,0.4739,0.4902,0.4815,0.4902,0.4728,0.4791
3,0.4783,0.4804,0.475,0.4739,0.4728,0.4859,0.4739,0.4902,0.4815,0.4902,0.4728,0.4791
5,0.4783,0.4804,0.475,0.4739,0.4728,0.4859,0.4739,0.4902,0.4837,0.4902,0.4728,0.4793
6,0.4783,0.4804,0.475,0.4739,0.4728,0.4859,0.4739,0.4902,0.4837,0.4902,0.4728,0.4793
7,0.4783,0.4804,0.475,0.4739,0.4728,0.4859,0.4739,0.4902,0.4837,0.4902,0.4728,0.4793
9,0.4783,0.4804,0.475,0.4804,0.4728,0.4859,0.4739,0.4902,0.4837,0.4902,0.4728,0.4801
10,0.4783,0.4804,0.4804,0.4804,0.4728,0.4859,0.4739,0.4902,0.4837,0.4902,0.4728,0.4807
11,0.4783,0.4804,0.4804,0.4804,0.4739,0.4859,0.4739,0.4913,0.4837,0.4913,0.4739,0.4809
12,0.4783,0.4804,0.4804,0.4804,0.4739,0.4859,0.4739,0.4913,0.4837,0.4913,0.4739,0.4809
13,0.4783,0.4804,0.4804,0.4804,0.4739,0.4859,0.4739,0.4913,0.4837,0.4913,0.4739,0.4809
14,0.4783,0.4804,0.4804,0.4804,0.4739,0.4859,0.4761,0.4913,0.4837,0.4913,0.4739,0.4812
15,0.4783,0.4815,0.4804,0.4804,0.4739,0.4859,0.4761,0.4913,0.4837,0.4913,0.4739,0.4813
16,0.4783,0.4815,0.4804,0.4815,0.4739,0.487,0.4761,0.4913,0.4837,0.4913,0.4739,0.4815
17,0.4783,0.4815,0.4804,0.4815,0.4739,0.487,0.4761,0.4913,0.4837,0.4913,0.4739,0.4815
18,0.4793,0.4815,0.4804,0.4815,0.4739,0.487,0.4761,0.4913,0.4837,0.4913,0.4739,0.4816
19,0.4793,0.4815,0.4804,0.4815,0.4739,0.487,0.4761,0.4913,0.4837,0.4913,0.4739,0.4816
20,0.4793,0.4815,0.4804,0.4815,0.4739,0.487,0.4761,0.4913,0.4848,0.4913,0.4739,0.4818
21,0.4793,0.4815,0.4804,0.4815,0.4739,0.487,0.4761,0.4913,0.4848,0.4913,0.4739,0.4818
23,0.4793,0.4815,0.4804,0.4815,0.4739,0.487,0.4761,0.4913,0.4848,0.4913,0.4739,0.4818
24,0.4793,0.4815,0.4804,0.4826,0.4739,0.487,0.4761,0.4913,0.4848,0.4913,0.4739,0.4819
25,0.4793,0.4815,0.4804,0.4826,0.4739,0.487,0.4761,0.4913,0.4848,0.4913,0.4739,0.4819
26,0.4793,0.4815,0.4804,0.4826,0.4739,0.487,0.4761,0.4913,0.4848,0.4913,0.4739,0.4819
