timestamp,qemu_xhci9,qemu_xhci4,qemu_xhci2,qemu_xhci3,qemu_xhci1,qemu_xhci5,qemu_xhci7,qemu_xhci6,qemu_xhci8,qemu_xhci0,max,min,avg
0,0.1674,0.1641,0.1598,0.1576,0.1674,0.162,0.163,0.1641,0.162,0.1761,0.1761,0.1576,0.1643
1,0.162,0.163,0.1522,0.1522,0.1587,0.0,0.1522,0.15,0.1609,0.1522,0.163,0.0,0.1403
2,0.1522,0.1522,0.1902,0.0,0.1533,0.0,0.1685,0.15,0.15,0.1511,0.1902,0.0,0.1268
3,0.1511,0.15,0.1902,0.2011,0.1891,0.1728,0.2033,0.2141,0.1576,0.1543,0.2141,0.15,0.1784
4,0.1913,0.2348,0.187,0.2,0.1837,0.163,0.1946,0.2141,0.1511,0.15,0.2348,0.15,0.187
5,0.1891,0.2348,0.187,0.1957,0.1728,0.1793,0.1978,0.2141,0.1543,0.1859,0.2348,0.1543,0.1911
6,0.1891,0.2348,0.1848,0.1783,0.1761,0.188,0.1978,0.213,0.1826,0.1652,0.2348,0.1652,0.191
7,0.1848,0.2348,0.1848,0.1935,0.1685,0.188,0.1913,0.213,0.1641,0.1891,0.2348,0.1641,0.1912
8,0.1793,0.2337,0.1826,0.1924,0.175,0.1826,0.1826,0.212,0.1859,0.1848,0.2337,0.175,0.1911
9,0.1793,0.2315,0.1793,0.1924,0.1565,0.1772,0.1826,0.2109,0.1815,0.1848,0.2315,0.1565,0.1876
10,0.1761,0.2293,0.1891,0.1859,0.187,0.1728,0.1826,0.2109,0.1717,0.15,0.2293,0.15,0.1855
11,0.1609,0.2283,0.1804,0.1859,0.0,0.1728,0.0,0.2109,0.1989,0.1685,0.2283,0.0,0.1507
12,0.1848,0.2283,0.1783,0.1641,0.1522,0.1728,0.175,0.2109,0.1989,0.1902,0.2283,0.1522,0.1856
13,0.1848,0.1978,0.1859,0.2011,0.1533,0.1826,0.1739,0.1859,0.1913,0.1935,0.2011,0.1533,0.185
14,0.1848,0.1978,0.1848,0.1989,0.1957,0.1826,0.1902,0.1826,0.0,0.1957,0.1989,0.0,0.1713
