timestamp,legacy_rtl81398,legacy_rtl81399,legacy_rtl81397,legacy_rtl81391,legacy_rtl81394,legacy_rtl81393,legacy_rtl81396,legacy_rtl81395,legacy_rtl81392,legacy_rtl81390,max,min,avg
0,0.3109,0.3291,0.34,0.3582,0.3855,0.3309,0.3309,0.3782,0.3364,0.3382,0.3855,0.3109,0.3438
1,0.3109,0.3291,0.3382,0.3582,0.3855,0.3309,0.3309,0.3782,0.3364,0.3382,0.3855,0.3109,0.3437
2,0.3109,0.3291,0.3382,0.3582,0.3855,0.2673,0.3091,0.3727,0.3364,0.3382,0.3855,0.2673,0.3346
3,0.3109,0.3291,0.3382,0.3582,0.3345,0.3291,0.3091,0.3727,0.3364,0.3291,0.3727,0.3091,0.3347
4,0.3109,0.3291,0.3382,0.3564,0.3255,0.3291,0.3091,0.3727,0.3364,0.3291,0.3727,0.3091,0.3336
5,0.3109,0.3291,0.3382,0.3564,0.3255,0.3291,0.3091,0.3727,0.3364,0.3291,0.3727,0.3091,0.3336
6,0.3109,0.3291,0.3382,0.3564,0.3255,0.3291,0.3018,0.3727,0.3345,0.3291,0.3727,0.3018,0.3327
7,0.3109,0.3291,0.3382,0.3564,0.3255,0.3291,0.3018,0.3727,0.3345,0.3273,0.3727,0.3018,0.3326
8,0.3109,0.3291,0.3382,0.3473,0.3255,0.3291,0.3018,0.3727,0.3309,0.3273,0.3727,0.3018,0.3313
9,0.3109,0.3291,0.3382,0.3473,0.3255,0.3291,0.3,0.3727,0.3309,0.3273,0.3727,0.3,0.3311
10,0.3109,0.3291,0.3382,0.3473,0.3218,0.3291,0.3,0.3727,0.3309,0.3273,0.3727,0.3,0.3307
11,0.3109,0.3291,0.3382,0.3473,0.3182,0.3291,0.3,0.3727,0.3309,0.3273,0.3727,0.3,0.3304
12,0.3109,0.3291,0.3382,0.3473,0.3182,0.3291,0.2782,0.3727,0.3309,0.3273,0.3727,0.2782,0.3282
13,0.3109,0.3182,0.3327,0.3473,0.3182,0.3291,0.2782,0.3727,0.3309,0.3273,0.3727,0.2782,0.3266
14,0.3109,0.3182,0.3236,0.3473,0.3182,0.3218,0.2782,0.3727,0.3309,0.3273,0.3727,0.2782,0.3249
15,0.3109,0.3145,0.3018,0.3473,0.3182,0.3218,0.2727,0.3782,0.3309,0.3255,0.3782,0.2727,0.3222
16,0.3091,0.3145,0.2745,0.3418,0.3182,0.3218,0.2727,0.3782,0.3018,0.3255,0.3782,0.2727,0.3158
17,0.3091,0.3145,0.2382,0.3418,0.3182,0.3218,0.2709,0.3782,0.3255,0.3255,0.3782,0.2382,0.3144
18,0.3091,0.3145,0.2745,0.34,0.3182,0.3182,0.2709,0.3782,0.28,0.3255,0.3782,0.2709,0.3129
19,0.3091,0.3127,0.2527,0.34,0.2945,0.3145,0.2491,0.3782,0.3291,0.3127,0.3782,0.2491,0.3093
20,0.2582,0.3127,0.2527,0.3309,0.3182,0.3145,0.3,0.3782,0.3364,0.3091,0.3782,0.2527,0.3111
21,0.2236,0.3127,0.2491,0.3036,0.3145,0.2927,0.3,0.3764,0.3364,0.2873,0.3764,0.2236,0.2996
22,0.3091,0.3127,0.2218,0.2491,0.3109,0.2055,0.3,0.3764,0.2945,0.2818,0.3764,0.2055,0.2862
23,0.1927,0.3127,0.16,0.3255,0.3109,0.1036,0.3,0.3727,0.2836,0.2509,0.3727,0.1036,0.2613
24,0.3091,0.3109,0.3018,0.2582,0.2909,0.2491,0.3,0.3727,0.2818,0.1927,0.3727,0.1927,0.2867
25,0.2564,0.3109,0.3018,0.2255,0.2255,0.2127,0.3,0.3727,0.1527,0.2291,0.3727,0.1527,0.2587
26,0.2564,0.3109,0.2782,0.3473,0.3182,0.2527,0.2255,0.3618,0.3127,0.1836,0.3618,0.1836,0.2847
27,0.2891,0.3109,0.2109,0.3273,0.2982,0.2927,0.2582,0.3618,0.2473,0.2709,0.3618,0.2109,0.2867
28,0.2891,0.3109,0.2764,0.2345,0.2418,0.3291,0.3,0.3618,0.3145,0.3091,0.3618,0.2345,0.2967
29,0.2891,0.2745,0.1273,0.2182,0.2291,0.3291,0.3,0.34,0.2945,0.2927,0.34,0.1273,0.2694
30,0.18,0.2745,0.2436,0.2182,0.3055,0.3273,0.2982,0.2982,0.0873,0.12,0.3273,0.0873,0.2353
31,0.18,0.2618,0.2382,0.3236,0.2236,0.3273,0.2982,0.2455,0.1855,0.2036,0.3273,0.18,0.2487
32,0.3109,0.2618,0.3236,0.3236,0.1127,0.2291,0.2964,0.2927,0.1855,0.3273,0.3273,0.1127,0.2664
33,0.3073,0.2309,0.3218,0.3236,0.3345,0.1927,0.2727,0.3727,0.1855,0.3145,0.3727,0.1855,0.2856
34,0.3073,0.2309,0.3218,0.3236,0.3345,0.2927,0.26,0.3727,0.1855,0.3145,0.3727,0.1855,0.2944
35,0.3,0.2782,0.3218,0.3236,0.3255,0.2673,0.26,0.3564,0.1855,0.2964,0.3564,0.1855,0.2915
36,0.3,0.2691,0.3218,0.3236,0.32,0.2673,0.3309,0.3564,0.1855,0.2745,0.3564,0.1855,0.2949
37,0.2782,0.2691,0.2455,0.2727,0.32,0.2673,0.3236,0.3564,0.3127,0.2745,0.3564,0.2455,0.292
38,0.2764,0.3127,0.2455,0.2018,0.32,0.2655,0.3236,0.2636,0.0527,0.2618,0.3236,0.0527,0.2524
39,0.2764,0.3127,0.2455,0.3055,0.32,0.2618,0.3218,0.3745,0.0527,0.26,0.3745,0.0527,0.2731
40,0.2764,0.3127,0.2455,0.3055,0.3182,0.2618,0.3218,0.3745,0.0527,0.26,0.3745,0.0527,0.2729
41,0.3036,0.3127,0.3327,0.3036,0.3036,0.2618,0.3218,0.3745,0.0527,0.26,0.3745,0.0527,0.2827
42,0.2164,0.3109,0.3327,0.3036,0.3036,0.2036,0.3218,0.3745,0.0527,0.28,0.3745,0.0527,0.27
43,0.2164,0.3109,0.2927,0.3036,0.2964,0.2618,0.3218,0.3673,0.0527,0.2673,0.3673,0.0527,0.2691
44,0.3109,0.2327,0.2927,0.3564,0.2964,0.2436,0.3091,0.3673,0.3655,0.3127,0.3673,0.2327,0.3087
45,0.3109,0.1945,0.2582,0.3564,0.2964,0.2436,0.2145,0.3673,0.0527,0.28,0.3673,0.0527,0.2575
46,0.2873,0.1964,0.2582,0.3564,0.2964,0.0618,0.1836,0.2255,0.0527,0.28,0.3564,0.0527,0.2198
47,0.2873,0.1964,0.3382,0.3564,0.2964,0.1709,0.0455,0.2109,0.0527,0.2127,0.3564,0.0455,0.2167
48,0.2873,0.32,0.3382,0.34,0.2855,0.2127,0.0927,0.2109,0.0527,0.2982,0.34,0.0527,0.2438
49,0.2018,0.32,0.3382,0.34,0.2855,0.2127,0.0745,0.1509,0.0527,0.2982,0.34,0.0527,0.2274
50,0.0836,0.32,0.3382,0.3309,0.2855,0.2127,0.1673,0.1509,0.0527,0.2964,0.3382,0.0527,0.2238
51,0.0836,0.32,0.3382,0.24,0.1855,0.2127,0.0836,0.3582,0.0527,0.2964,0.3582,0.0527,0.2171
52,0.1418,0.32,0.3382,0.1327,0.2855,0.2127,0.1709,0.3509,0.4873,0.2964,0.4873,0.1327,0.2736
53,0.1418,0.32,0.2218,0.1327,0.1818,0.2127,0.1582,0.3509,0.4873,0.1418,0.4873,0.1327,0.2349
54,0.1418,0.32,0.0673,0.1055,0.2964,0.1927,0.2182,0.3509,0.2382,0.1309,0.3509,0.0673,0.2062
55,0.1418,0.3182,0.0673,0.1182,0.2964,0.0582,0.12,0.3291,0.2673,0.0545,0.3291,0.0545,0.1771
56,0.1418,0.3182,0.0673,0.1582,0.2964,0.0582,0.12,0.3273,0.2509,0.0545,0.3273,0.0545,0.1793
57,0.1418,0.3182,0.34,0.1582,0.2927,0.3,0.12,0.3236,0.1509,0.1418,0.34,0.12,0.2287
58,0.5491,0.3182,0.34,0.1582,0.2927,0.3,0.12,0.3236,0.1673,0.0509,0.5491,0.0509,0.262
59,0.1582,0.3182,0.34,0.1582,0.2927,0.3,0.12,0.2855,0.2273,0.0509,0.34,0.0509,0.2251
60,0.2418,0.3182,0.34,0.1582,0.3164,0.3,0.12,0.2564,0.2273,0.2436,0.34,0.12,0.2522
61,0.2418,0.3182,0.2945,0.1582,0.3164,0.2945,0.3345,0.2364,0.2273,0.2436,0.3345,0.1582,0.2665
62,0.3218,0.2709,0.2945,0.3382,0.3,0.2945,0.2291,0.1727,0.3273,0.2436,0.3382,0.1727,0.2793
63,0.3255,0.2709,0.2545,0.3382,0.2473,0.2945,0.3527,0.1727,0.32,0.2436,0.3527,0.1727,0.282
64,0.3255,0.2709,0.2545,0.0927,0.2473,0.1927,0.3527,0.1727,0.32,0.2436,0.3527,0.0927,0.2473
65,0.3255,0.2709,0.3382,0.2236,0.0764,0.2364,0.2745,0.3582,0.32,0.2436,0.3582,0.0764,0.2667
66,0.3255,0.2709,0.3382,0.2473,0.1327,0.2364,0.2745,0.3582,0.3473,0.2818,0.3582,0.1327,0.2813
67,0.32,0.2927,0.3382,0.12,0.1145,0.2364,0.2764,0.3582,0.3455,0.2818,0.3582,0.1145,0.2684
68,0.3218,0.2927,0.2873,0.2473,0.2545,0.2364,0.34,0.3491,0.3455,0.2818,0.3491,0.2364,0.2956
69,0.3218,0.2927,0.2382,0.2473,0.2636,0.2364,0.34,0.34,0.3455,0.2818,0.3455,0.2364,0.2907
70,0.2855,0.2927,0.2382,0.2473,0.2545,0.1764,0.2709,0.3127,0.3455,0.2818,0.3455,0.1764,0.2705
71,0.1873,0.28,0.2382,0.1527,0.2545,0.2473,0.1527,0.3145,0.3455,0.2818,0.3455,0.1527,0.2455
72,0.1418,0.28,0.3327,0.1727,0.2545,0.2473,0.1527,0.0545,0.3455,0.4382,0.4382,0.0545,0.242
73,0.1418,0.28,0.3327,0.0818,0.2545,0.2327,0.38,0.0545,0.3455,0.2655,0.38,0.0545,0.2369
74,0.1418,0.2709,0.3327,0.0818,0.2545,0.2309,0.38,0.1382,0.3455,0.2327,0.38,0.0818,0.2409
75,0.2982,0.2709,0.3327,0.0818,0.2545,0.2291,0.38,0.1382,0.3,0.3127,0.38,0.0818,0.2598
76,0.2745,0.2709,0.3236,0.0818,0.5218,0.2109,0.38,0.1382,0.3,0.3127,0.5218,0.0818,0.2814
77,0.2745,0.2709,0.3218,0.0818,0.5218,0.2109,0.3691,0.1291,0.3091,0.0909,0.5218,0.0818,0.258
78,0.0436,0.2018,0.3218,0.0818,0.5218,0.0855,0.3691,0.1291,0.2364,0.1055,0.5218,0.0436,0.2096
79,0.0436,0.2018,0.3073,0.34,0.5218,0.0855,0.3636,0.1291,0.2364,0.1055,0.5218,0.0436,0.2335
80,0.2218,0.2018,0.3073,0.0436,0.5218,0.0855,0.3582,0.1291,0.3436,0.1273,0.5218,0.0436,0.234
