timestamp,legacy_sb160,legacy_sb167,legacy_sb166,legacy_sb163,legacy_sb165,legacy_sb168,legacy_sb169,legacy_sb162,legacy_sb161,max,min,avg
0,0.2488,0.2488,0.3415,0.3098,0.3951,0.2561,0.3244,0.4073,0.2463,0.4073,0.2463,0.3087
1,0.2488,0.2488,0.3415,0.3098,0.3951,0.2561,0.3244,0.3341,0.2463,0.3951,0.2463,0.3005
2,0.2488,0.2488,0.3415,0.3098,0.3951,0.2561,0.3244,0.3341,0.2463,0.3951,0.2463,0.3005
3,0.2488,0.2488,0.339,0.3098,0.3951,0.2561,0.3244,0.3341,0.2463,0.3951,0.2463,0.3003
4,0.2488,0.2488,0.339,0.3098,0.3341,0.2561,0.3244,0.3341,0.2463,0.339,0.2463,0.2935
5,0.2488,0.2488,0.339,0.3098,0.3341,0.2537,0.3244,0.3341,0.2463,0.339,0.2463,0.2932
6,0.2488,0.2488,0.2683,0.3098,0.3341,0.2537,0.3244,0.3341,0.2463,0.3341,0.2463,0.2854
7,0.2488,0.2488,0.2683,0.3098,0.3341,0.2537,0.3268,0.3268,0.2463,0.3341,0.2463,0.2848
8,0.2488,0.2488,0.2512,0.3098,0.3341,0.2537,0.3268,0.3268,0.2463,0.3341,0.2463,0.2829
9,0.2488,0.2488,0.2512,0.3098,0.3341,0.2537,0.3268,0.3268,0.2463,0.3341,0.2463,0.2829
10,0.2488,0.2488,0.2488,0.3098,0.3317,0.2537,0.3244,0.3268,0.2512,0.3317,0.2488,0.2827
11,0.2488,0.2488,0.1,0.3098,0.3317,0.1195,0.3244,0.3268,0.2512,0.3317,0.1,0.2512
12,0.2488,0.2488,0.1,0.3098,0.3317,0.1122,0.3244,0.3268,0.2439,0.3317,0.1,0.2496
13,0.2488,0.2488,0.339,0.3098,0.3317,0.1122,0.3244,0.3268,0.2439,0.339,0.1122,0.2762
14,0.2244,0.2488,0.2951,0.3098,0.3317,0.1122,0.3195,0.3268,0.2439,0.3317,0.1122,0.268
15,0.239,0.2488,0.2024,0.3098,0.3317,0.1122,0.3195,0.3268,0.2439,0.3317,0.1122,0.2593
16,0.0585,0.2488,0.0707,0.3098,0.3317,0.1122,0.3195,0.3268,0.2439,0.3317,0.0585,0.2247
17,0.2463,0.2488,0.2561,0.3098,0.3317,0.1122,0.2415,0.3268,0.2415,0.3317,0.1122,0.2572
18,0.2293,0.2488,0.2488,0.2707,0.3317,0.1122,0.2415,0.3268,0.2415,0.3317,0.1122,0.2501
19,0.0244,0.2463,0.0585,0.2707,0.3317,0.1122,0.239,0.3268,0.2415,0.3317,0.0244,0.2057
20,0.0244,0.2463,0.2707,0.2512,0.2049,0.1122,0.239,0.3268,0.2415,0.3268,0.0244,0.213
21,0.0756,0.2463,0.161,0.0732,0.2024,0.1049,0.2317,0.3268,0.239,0.3268,0.0732,0.1845
22,0.2512,0.2463,0.0244,0.3098,0.1951,0.0927,0.1878,0.3268,0.239,0.3268,0.0244,0.2081
23,0.2488,0.239,0.0244,0.3073,0.1951,0.0927,0.3195,0.2683,0.239,0.3195,0.0244,0.2149
24,0.2488,0.2463,0.1146,0.1512,0.1878,0.0244,0.3195,0.2415,0.239,0.3195,0.0244,0.197
25,0.2463,0.2195,0.2439,0.1829,0.1878,0.1195,0.3195,0.2415,0.1024,0.3195,0.1024,0.207
26,0.2439,0.2049,0.2829,0.2585,0.1878,0.1195,0.3122,0.2341,0.0707,0.3122,0.0707,0.2127
27,0.2366,0.2463,0.2878,0.1829,0.0927,0.1195,0.2561,0.2341,0.0585,0.2878,0.0585,0.1905
28,0.2122,0.2024,0.2293,0.2073,0.161,0.1122,0.3,0.2244,0.0854,0.3,0.0854,0.1927
29,0.2537,0.2366,0.2293,0.161,0.1122,0.1122,0.3268,0.061,0.2463,0.3268,0.061,0.1932
30,0.2561,0.2366,0.261,0.0415,0.1073,0.1049,0.322,0.3268,0.2463,0.3268,0.0415,0.2114
31,0.2488,0.2488,0.2561,0.0512,0.0902,0.1,0.2659,0.3171,0.2463,0.3171,0.0512,0.2027
