timestamp,legacy_xhci5,legacy_xhci9,legacy_xhci3,legacy_xhci7,legacy_xhci0,legacy_xhci6,legacy_xhci4,legacy_xhci8,legacy_xhci1,legacy_xhci2,max,min,avg
0,0.1511,0.1511,0.1804,0.162,0.1533,0.1641,0.1663,0.1696,0.163,0.1543,0.1804,0.1511,0.1615
4,0.1511,0.1511,0.1804,0.162,0.1533,0.1641,0.1663,0.1696,0.163,0.1543,0.1804,0.1511,0.1615
5,0.1511,0.1511,0.1804,0.162,0.1533,0.1641,0.1663,0.1696,0.163,0.1543,0.1804,0.1511,0.1615
6,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.1663,0.1696,0.1522,0.1543,0.1696,0.1511,0.1566
7,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.1663,0.1696,0.1522,0.1543,0.1696,0.1511,0.1566
8,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.1663,0.1696,0.1522,0.1543,0.1696,0.1511,0.1566
9,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.1522,0.1543,0.1696,0.1511,0.1563
10,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.1522,0.1543,0.1696,0.1511,0.1563
11,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.1522,0.1543,0.1696,0.1511,0.1563
12,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.1587,0.1543,0.1696,0.1511,0.157
13,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.1587,0.1543,0.1696,0.1511,0.157
14,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.1587,0.1543,0.1696,0.1511,0.157
16,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.1587,0.1543,0.1696,0.1511,0.157
17,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.1587,0.1543,0.1696,0.1511,0.157
18,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.15,0.1543,0.1696,0.15,0.1561
19,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.15,0.1543,0.1696,0.15,0.1561
20,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.15,0.1543,0.1696,0.15,0.1561
21,0.1511,0.1511,0.1522,0.1522,0.1533,0.1641,0.163,0.1696,0.15,0.1543,0.1696,0.15,0.1561
