timestamp,virtioblk3,virtioblk0,virtioblk7,virtioblk1,virtioblk5,virtioblk4,virtioblk9,virtioblk8,virtioblk6,virtioblk2,max,min,avg
0,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042
4,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042
5,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042
6,0.1042,0.1042,0.1042,0.1042,0.1042,0.1215,0.1042,0.1042,0.1042,0.1042,0.1215,0.1042,0.1059
7,0.1215,0.1042,0.1042,0.1215,0.1215,0.1215,0.1042,0.1042,0.1215,0.1215,0.1215,0.1042,0.1146
8,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1042,0.1215,0.1215,0.1215,0.1042,0.1198
9,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215
10,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215
11,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215
12,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215
13,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215
14,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215
15,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215
16,0.1215,0.1215,0.1215,0.1424,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1424,0.1215,0.1236
17,0.1215,0.1215,0.1215,0.1424,0.1424,0.1215,0.1215,0.1215,0.1215,0.1215,0.1424,0.1215,0.1257
18,0.1215,0.1215,0.1215,0.1424,0.1424,0.1215,0.1215,0.1215,0.1215,0.1215,0.1424,0.1215,0.1257
19,0.1215,0.1215,0.1215,0.1424,0.1424,0.1215,0.1215,0.1215,0.1215,0.1215,0.1424,0.1215,0.1257
20,0.1215,0.1215,0.1215,0.1424,0.1424,0.1215,0.1215,0.1215,0.1215,0.1215,0.1424,0.1215,0.1257
21,0.1215,0.1215,0.1215,0.1424,0.1424,0.1215,0.1215,0.1215,0.1215,0.1215,0.1424,0.1215,0.1257
22,0.1215,0.1215,0.1215,0.1424,0.1424,0.1215,0.1215,0.1215,0.1215,0.1215,0.1424,0.1215,0.1257
23,0.1215,0.1215,0.1215,0.1424,0.1424,0.1215,0.1215,0.1215,0.1215,0.1215,0.1424,0.1215,0.1257
