timestamp,ac972,ac970,ac975,ac977,ac974,ac976,ac971,ac973,ac979,ac978,max,min,avg
107,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765
110,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765
111,0.1858,0.1339,0.1967,0.2158,0.2022,0.1366,0.1967,0.2404,0.1885,0.1667,0.2404,0.1339,0.1863
112,0.1885,0.1393,0.1967,0.2186,0.2022,0.194,0.2022,0.2404,0.1885,0.2158,0.2404,0.1393,0.1986
113,0.1885,0.1393,0.2158,0.2186,0.2104,0.194,0.2077,0.2432,0.2158,0.2404,0.2432,0.1393,0.2074
114,0.1967,0.1393,0.2158,0.2186,0.2104,0.2104,0.306,0.2432,0.2158,0.2404,0.306,0.1393,0.2197
115,0.1967,0.1393,0.2186,0.2186,0.2131,0.2158,0.3743,0.2459,0.2514,0.2514,0.3743,0.1393,0.2325
116,0.1967,0.1393,0.2186,0.3169,0.2158,0.224,0.3743,0.2486,0.2596,0.2514,0.3743,0.1393,0.2445
117,0.1967,0.1393,0.2186,0.3169,0.2213,0.2295,0.3743,0.3415,0.2596,0.2514,0.3743,0.1393,0.2549
118,0.1967,0.1393,0.224,0.3224,0.2268,0.2295,0.3743,0.3415,0.2678,0.2514,0.3743,0.1393,0.2574
119,0.1967,0.1913,0.224,0.3279,0.2268,0.2541,0.3743,0.347,0.2678,0.2514,0.3743,0.1913,0.2661
120,0.1967,0.1913,0.224,0.3634,0.2896,0.2541,0.3798,0.3497,0.2814,0.2514,0.3798,0.1913,0.2781
121,0.1995,0.1913,0.2295,0.3634,0.2896,0.2568,0.3798,0.3497,0.2814,0.2514,0.3798,0.1913,0.2792
122,0.1995,0.1913,0.2295,0.3634,0.2896,0.2568,0.3798,0.3497,0.2814,0.2514,0.3798,0.1913,0.2792
123,0.2077,0.194,0.2295,0.3634,0.2896,0.2568,0.3798,0.377,0.3169,0.3415,0.3798,0.194,0.2956
124,0.2077,0.194,0.2295,0.3634,0.3251,0.2568,0.3798,0.377,0.3169,0.3415,0.3798,0.194,0.2992
125,0.2104,0.194,0.2295,0.3634,0.3251,0.2568,0.3798,0.4126,0.3169,0.347,0.4126,0.194,0.3035
126,0.2486,0.194,0.2541,0.3689,0.3251,0.2568,0.3825,0.4153,0.3169,0.347,0.4153,0.194,0.3109
127,0.3443,0.194,0.2568,0.3743,0.3251,0.2896,0.3825,0.4153,0.3224,0.347,0.4153,0.194,0.3251
128,0.3443,0.1967,0.2623,0.3743,0.3251,0.377,0.3825,0.4153,0.3224,0.347,0.4153,0.1967,0.3347
129,0.347,0.1967,0.2623,0.377,0.3251,0.377,0.3825,0.4153,0.3251,0.3716,0.4153,0.1967,0.338
130,0.347,0.1967,0.265,0.3852,0.3279,0.377,0.3825,0.418,0.3251,0.3716,0.418,0.1967,0.3396
131,0.347,0.1967,0.2678,0.3852,0.3279,0.377,0.3825,0.418,0.3251,0.3716,0.418,0.1967,0.3399
