timestamp,hd1,hd9,hd2,hd0,hd5,hd6,hd4,hd8,hd3,hd7,max,min,avg
0,0.0409,0.0409,0.0409,0.0409,0.0409,0.0409,0.0409,0.0409,0.0409,0.0409,0.0409,0.0409,0.0409
3,0.0409,0.0409,0.0409,0.0455,0.0455,0.0409,0.0409,0.0409,0.0409,0.0409,0.0455,0.0409,0.0418
4,0.05,0.0841,0.0614,0.0455,0.0455,0.05,0.05,0.0591,0.0818,0.0523,0.0841,0.0455,0.058
5,0.05,0.1023,0.1205,0.05,0.0455,0.0523,0.0705,0.0591,0.0886,0.0705,0.1205,0.0455,0.0709
6,0.0523,0.1091,0.1205,0.05,0.0477,0.0545,0.0705,0.0636,0.0909,0.0705,0.1205,0.0477,0.073
7,0.0523,0.1091,0.1227,0.05,0.0477,0.0545,0.0705,0.0636,0.0909,0.0795,0.1227,0.0477,0.0741
8,0.0523,0.1091,0.1227,0.05,0.0477,0.0545,0.0705,0.0727,0.0909,0.0795,0.1227,0.0477,0.075
9,0.0795,0.1091,0.1227,0.05,0.0909,0.075,0.0705,0.0727,0.0909,0.0795,0.1227,0.05,0.0841
10,0.0818,0.1091,0.1227,0.05,0.0909,0.075,0.0705,0.075,0.0909,0.0795,0.1227,0.05,0.0845
11,0.0818,0.1091,0.125,0.05,0.0909,0.075,0.0773,0.075,0.0932,0.0795,0.125,0.05,0.0857
12,0.0818,0.1091,0.125,0.05,0.0909,0.075,0.0818,0.075,0.0932,0.1159,0.125,0.05,0.0898
13,0.0818,0.1091,0.125,0.0682,0.0909,0.0818,0.0818,0.075,0.0932,0.1227,0.125,0.0682,0.093
14,0.0818,0.1091,0.125,0.0682,0.0932,0.0818,0.0818,0.075,0.0932,0.1227,0.125,0.0682,0.0932
15,0.0818,0.1091,0.125,0.0682,0.0932,0.0818,0.0818,0.0932,0.0932,0.1227,0.125,0.0682,0.095
16,0.0818,0.1091,0.125,0.0682,0.0955,0.0818,0.0818,0.0932,0.0955,0.1227,0.125,0.0682,0.0955
17,0.0818,0.1091,0.125,0.0682,0.0955,0.0818,0.0818,0.0932,0.0955,0.1227,0.125,0.0682,0.0955
18,0.0818,0.1091,0.125,0.075,0.1136,0.0818,0.0818,0.0932,0.0955,0.1227,0.125,0.075,0.098
19,0.0841,0.1091,0.125,0.075,0.1182,0.0818,0.0818,0.0932,0.1114,0.1227,0.125,0.075,0.1002
20,0.0841,0.1159,0.125,0.075,0.1182,0.0818,0.0818,0.0932,0.1477,0.1227,0.1477,0.075,0.1045
21,0.0841,0.1159,0.1364,0.075,0.1182,0.0818,0.0932,0.0932,0.1477,0.1227,0.1477,0.075,0.1068
22,0.0841,0.1159,0.1364,0.075,0.1182,0.0818,0.0932,0.0932,0.1477,0.1227,0.1477,0.075,0.1068
23,0.0841,0.1159,0.1364,0.075,0.1182,0.0818,0.0932,0.0932,0.1477,0.1227,0.1477,0.075,0.1068
24,0.0841,0.1159,0.1364,0.075,0.1182,0.0818,0.0932,0.0932,0.1477,0.1227,0.1477,0.075,0.1068
25,0.0841,0.1159,0.1364,0.075,0.1182,0.0818,0.0932,0.0932,0.1477,0.1227,0.1477,0.075,0.1068
26,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.0932,0.1477,0.1227,0.1477,0.075,0.1071
27,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.0932,0.1477,0.1318,0.1477,0.075,0.108
28,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.0932,0.1477,0.1318,0.1477,0.075,0.108
29,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.1091,0.1477,0.1318,0.1477,0.075,0.1095
30,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.1091,0.1477,0.1318,0.1477,0.075,0.1095
31,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.1091,0.1477,0.1455,0.1477,0.075,0.1109
32,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.1114,0.1477,0.1455,0.1477,0.075,0.1111
33,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.1114,0.1477,0.1455,0.1477,0.075,0.1111
34,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.1114,0.1477,0.1455,0.1477,0.075,0.1111
35,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.1114,0.1477,0.1455,0.1477,0.075,0.1111
36,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.1114,0.15,0.1455,0.15,0.075,0.1114
37,0.0841,0.1182,0.1364,0.075,0.1182,0.0818,0.0932,0.1114,0.15,0.1455,0.15,0.075,0.1114
38,0.0841,0.1182,0.1409,0.075,0.1182,0.0818,0.0932,0.1114,0.15,0.1455,0.15,0.075,0.1118
39,0.0841,0.1182,0.1409,0.075,0.1182,0.1182,0.0932,0.1114,0.15,0.1864,0.1864,0.075,0.1196
40,0.0841,0.1182,0.1409,0.075,0.1182,0.1182,0.0932,0.1114,0.15,0.1864,0.1864,0.075,0.1196
