timestamp,vga0,vga1,vga3,vga2,vga7,vga5,vga8,vga9,vga6,vga4,max,min,avg
0,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103
4,0.0103,0.0103,0.0103,0.0283,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0283,0.0103,0.0121
5,0.1184,0.0326,0.0472,0.0746,0.036,0.0377,0.0875,0.1244,0.1115,0.0789,0.1244,0.0326,0.0749
6,0.1389,0.036,0.0918,0.0926,0.0789,0.0892,0.0883,0.1587,0.1132,0.0815,0.1587,0.036,0.0969
7,0.1398,0.0412,0.1861,0.1278,0.1106,0.1329,0.1312,0.1621,0.1141,0.0823,0.1861,0.0412,0.1228
8,0.1398,0.042,0.1861,0.1381,0.1141,0.1346,0.1321,0.1964,0.1141,0.0986,0.1964,0.042,0.1296
9,0.1501,0.042,0.1913,0.1381,0.1141,0.1732,0.1415,0.199,0.1149,0.1029,0.199,0.042,0.1367
10,0.1518,0.0437,0.1921,0.1424,0.1141,0.1741,0.1715,0.199,0.1175,0.1346,0.199,0.0437,0.1441
11,0.1527,0.0849,0.1947,0.1432,0.1415,0.1741,0.1732,0.1998,0.1569,0.1372,0.1998,0.0849,0.1558
38,0.0103,0.0849,0.1947,0.1432,0.1415,0.1741,0.1732,0.1998,0.1569,0.1372,0.1998,0.0103,0.1416
39,0.0103,0.0103,0.1947,0.1432,0.1415,0.1741,0.1732,0.1998,0.1569,0.1372,0.1998,0.0103,0.1341
40,0.0103,0.0103,0.1947,0.0103,0.1415,0.1741,0.1732,0.1998,0.1569,0.1372,0.1998,0.0103,0.1208
41,0.078,0.0103,0.0103,0.0103,0.1415,0.1741,0.1732,0.1998,0.1569,0.1372,0.1998,0.0103,0.1092
42,0.0875,0.0103,0.0103,0.0103,0.1415,0.1741,0.1732,0.1998,0.1569,0.0103,0.1998,0.0103,0.0974
43,0.0918,0.0652,0.0103,0.0103,0.1415,0.0103,0.1732,0.1998,0.1569,0.0103,0.1998,0.0103,0.087
44,0.1218,0.0686,0.03,0.0866,0.1415,0.0103,0.1732,0.1998,0.0103,0.0103,0.1998,0.0103,0.0852
45,0.1218,0.1106,0.0626,0.0883,0.0103,0.0103,0.1732,0.1998,0.0103,0.0103,0.1998,0.0103,0.0797
46,0.1226,0.1132,0.1115,0.1261,0.0103,0.0103,0.0103,0.1998,0.0103,0.1089,0.1998,0.0103,0.0823
47,0.1226,0.1149,0.1115,0.1424,0.0103,0.1432,0.0103,0.0103,0.0103,0.1115,0.1432,0.0103,0.0787
48,0.1226,0.1175,0.1149,0.1424,0.0103,0.1544,0.0103,0.0103,0.078,0.1304,0.1544,0.0103,0.0891
