timestamp,cs4231a8,cs4231a6,cs4231a4,cs4231a5,cs4231a3,cs4231a2,cs4231a9,cs4231a1,cs4231a7,cs4231a0,max,min,avg
1633504373,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
1633504377,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
1633504378,0.029,0.0072,0.058,0.0072,0.029,0.0435,0.058,0.0072,0.0072,0.029,0.058,0.0072,0.0275
1633504379,0.029,0.0072,0.058,0.0072,0.0652,0.0435,0.058,0.029,0.029,0.058,0.0652,0.0072,0.0384
1633504380,0.029,0.0072,0.058,0.058,0.0652,0.0435,0.058,0.029,0.029,0.058,0.0652,0.0072,0.0435
1633504381,0.029,0.0072,0.058,0.058,0.0652,0.058,0.058,0.029,0.029,0.0652,0.0652,0.0072,0.0457
1633504382,0.029,0.0072,0.058,0.058,0.0652,0.058,0.058,0.029,0.029,0.0652,0.0652,0.0072,0.0457
1633504383,0.029,0.0072,0.058,0.0652,0.0652,0.058,0.058,0.029,0.029,0.0652,0.0652,0.0072,0.0464
1633504384,0.029,0.0435,0.058,0.0652,0.0652,0.058,0.058,0.029,0.029,0.0652,0.0652,0.029,0.05
1633504385,0.0652,0.0435,0.058,0.0652,0.0652,0.058,0.058,0.029,0.029,0.0652,0.0652,0.029,0.0536
1633504386,0.0652,0.058,0.058,0.0652,0.0652,0.058,0.058,0.029,0.029,0.0652,0.0652,0.029,0.0551
1633504387,0.0652,0.058,0.058,0.0652,0.0652,0.058,0.058,0.029,0.029,0.0652,0.0652,0.029,0.0551
1633504388,0.0652,0.058,0.058,0.0652,0.0652,0.058,0.058,0.029,0.029,0.0652,0.0652,0.029,0.0551
1633504389,0.0652,0.058,0.058,0.0652,0.0652,0.058,0.058,0.0652,0.029,0.0652,0.0652,0.029,0.0587
1633504390,0.0652,0.058,0.058,0.0652,0.0652,0.058,0.058,0.1087,0.058,0.0652,0.1087,0.058,0.066
1633504391,0.0652,0.058,0.058,0.0652,0.0652,0.1159,0.058,0.1087,0.058,0.0652,0.1159,0.058,0.0717
1633504392,0.0652,0.058,0.058,0.0652,0.0652,0.1159,0.058,0.1087,0.058,0.0652,0.1159,0.058,0.0717
1633504393,0.0652,0.1014,0.058,0.0652,0.0652,0.1232,0.058,0.1087,0.0652,0.0652,0.1232,0.058,0.0775
1633504394,0.0652,0.1014,0.058,0.1087,0.0652,0.1232,0.058,0.1087,0.0652,0.0652,0.1232,0.058,0.0819
1633504395,0.0652,0.1014,0.058,0.1087,0.0652,0.1232,0.058,0.1087,0.0652,0.0652,0.1232,0.058,0.0819
1633504396,0.0652,0.1232,0.058,0.1087,0.0652,0.1232,0.058,0.1087,0.0652,0.0652,0.1232,0.058,0.0841
1633504397,0.0652,0.1232,0.058,0.1087,0.0652,0.1232,0.058,0.1087,0.0652,0.0652,0.1232,0.058,0.0841
1633504398,0.0652,0.1232,0.058,0.1087,0.0652,0.1232,0.058,0.1087,0.1087,0.0652,0.1232,0.058,0.0884
