timestamp,e10001,e10006,e10002,e10004,e10008,e10007,e10003,e10000,e10009,e10005,max,min,avg
0,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298
4,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298
5,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.043,0.0364,0.0298,0.0298,0.043,0.0298,0.0318
6,0.0298,0.0298,0.043,0.0298,0.0298,0.0298,0.043,0.0364,0.0298,0.0298,0.043,0.0298,0.0331
7,0.0298,0.0298,0.0464,0.0298,0.0298,0.0298,0.0464,0.0364,0.0298,0.0298,0.0464,0.0298,0.0338
8,0.0464,0.0464,0.0629,0.043,0.0298,0.0298,0.0464,0.0364,0.0298,0.0298,0.0629,0.0298,0.0401
9,0.0464,0.0464,0.0629,0.0596,0.0298,0.0464,0.0464,0.053,0.0298,0.0298,0.0629,0.0298,0.045
10,0.0464,0.0464,0.0629,0.0596,0.0298,0.0464,0.0464,0.053,0.0298,0.0298,0.0629,0.0298,0.045
11,0.0464,0.0464,0.0629,0.0596,0.0298,0.0464,0.0464,0.053,0.0298,0.0298,0.0629,0.0298,0.045
12,0.0596,0.0464,0.0629,0.0596,0.0298,0.0464,0.0464,0.053,0.0298,0.0298,0.0629,0.0298,0.0464
13,0.0596,0.0596,0.0629,0.0596,0.0364,0.0464,0.0464,0.053,0.0298,0.0298,0.0629,0.0298,0.0483
14,0.0596,0.0596,0.0629,0.0596,0.0364,0.0464,0.0464,0.053,0.0298,0.0298,0.0629,0.0298,0.0483
15,0.0695,0.0596,0.0629,0.0596,0.0364,0.0464,0.0464,0.053,0.0298,0.0298,0.0695,0.0298,0.0493
16,0.0695,0.0596,0.0629,0.0596,0.0364,0.0464,0.0464,0.053,0.0364,0.0298,0.0695,0.0298,0.05
17,0.0695,0.0596,0.0629,0.0596,0.0364,0.0464,0.0464,0.053,0.0364,0.0298,0.0695,0.0298,0.05
18,0.0695,0.0695,0.0629,0.0596,0.0364,0.0464,0.0464,0.053,0.0364,0.0298,0.0695,0.0298,0.051
19,0.0695,0.0695,0.0629,0.0596,0.0364,0.0464,0.0464,0.053,0.0364,0.0298,0.0695,0.0298,0.051
20,0.0695,0.0695,0.0629,0.0596,0.0364,0.0464,0.0464,0.0563,0.0364,0.0298,0.0695,0.0298,0.0513
21,0.0695,0.0695,0.0629,0.0596,0.0364,0.0464,0.0464,0.0563,0.0364,0.0298,0.0695,0.0298,0.0513
22,0.0695,0.0695,0.0629,0.0596,0.0364,0.0464,0.0464,0.0563,0.0364,0.0298,0.0695,0.0298,0.0513
23,0.0695,0.0695,0.0629,0.0596,0.0364,0.0464,0.0464,0.0563,0.0364,0.0298,0.0695,0.0298,0.0513
24,0.0695,0.0695,0.0629,0.0596,0.0629,0.0464,0.0464,0.0563,0.0364,0.0298,0.0695,0.0298,0.054
25,0.0695,0.0695,0.0629,0.0596,0.0629,0.0464,0.0464,0.0662,0.0464,0.0298,0.0695,0.0298,0.056
26,0.0695,0.0695,0.0629,0.0596,0.0629,0.0464,0.0464,0.0662,0.0629,0.0298,0.0695,0.0298,0.0576
27,0.0695,0.0695,0.0629,0.0596,0.0629,0.0464,0.0464,0.0662,0.0629,0.0298,0.0695,0.0298,0.0576
28,0.0695,0.0695,0.0629,0.0596,0.0629,0.0464,0.0464,0.0662,0.0629,0.0298,0.0695,0.0298,0.0576
29,0.0695,0.0695,0.0629,0.0629,0.0629,0.0464,0.0464,0.0662,0.0629,0.0298,0.0695,0.0298,0.0579
30,0.0695,0.0695,0.0629,0.0629,0.0629,0.0464,0.0464,0.0662,0.0629,0.0298,0.0695,0.0298,0.0579
31,0.0695,0.0695,0.0629,0.0629,0.0629,0.0464,0.0464,0.0762,0.0629,0.0298,0.0762,0.0298,0.0589
32,0.0695,0.0728,0.0629,0.0629,0.0629,0.0464,0.0464,0.0762,0.0629,0.043,0.0762,0.043,0.0606
33,0.0695,0.0728,0.0629,0.0629,0.0629,0.0464,0.0464,0.0762,0.0629,0.043,0.0762,0.043,0.0606
34,0.0695,0.0795,0.0629,0.0728,0.0629,0.0464,0.0464,0.0762,0.0629,0.043,0.0795,0.043,0.0623
35,0.0695,0.0795,0.0629,0.0728,0.0728,0.0464,0.0464,0.0762,0.0629,0.043,0.0795,0.043,0.0632
36,0.0695,0.0795,0.0728,0.0728,0.0728,0.0464,0.0464,0.0762,0.0629,0.043,0.0795,0.043,0.0642
37,0.0695,0.0795,0.0728,0.0728,0.0728,0.0464,0.0464,0.0762,0.0629,0.043,0.0795,0.043,0.0642
38,0.0695,0.0795,0.0728,0.0728,0.0728,0.0464,0.0464,0.0762,0.0629,0.043,0.0795,0.043,0.0642
39,0.0695,0.0795,0.0728,0.0728,0.0728,0.0464,0.0464,0.0762,0.0629,0.043,0.0795,0.043,0.0642
40,0.0695,0.0795,0.0728,0.0728,0.0728,0.0464,0.0464,0.0762,0.0629,0.043,0.0795,0.043,0.0642
41,0.0695,0.0795,0.0728,0.0728,0.0728,0.0464,0.0464,0.0762,0.0629,0.043,0.0795,0.043,0.0642
42,0.0695,0.0795,0.0728,0.0728,0.0728,0.0464,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0659
43,0.0728,0.0795,0.0728,0.0728,0.0728,0.0464,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0662
44,0.0728,0.0795,0.0728,0.0728,0.0728,0.0464,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0662
45,0.0728,0.0795,0.0728,0.0728,0.0728,0.0464,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0662
46,0.0728,0.0795,0.0728,0.0728,0.0728,0.0464,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0662
47,0.0728,0.0795,0.0728,0.0728,0.0728,0.0464,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0662
48,0.0728,0.0795,0.0728,0.0728,0.0728,0.0464,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0662
49,0.0728,0.0795,0.0728,0.0728,0.0728,0.0464,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0662
50,0.0728,0.0795,0.0728,0.0728,0.0728,0.0629,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0679
51,0.0728,0.0795,0.0728,0.0728,0.0728,0.0629,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0679
52,0.0728,0.0795,0.0728,0.0728,0.0728,0.0629,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0679
53,0.0728,0.0795,0.0728,0.0728,0.0728,0.0629,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0679
54,0.0728,0.0795,0.0728,0.0728,0.0728,0.0629,0.0629,0.0762,0.0629,0.043,0.0795,0.043,0.0679
55,0.0728,0.0795,0.0728,0.0828,0.0728,0.0629,0.0629,0.0762,0.0629,0.043,0.0828,0.043,0.0689
56,0.0728,0.0795,0.0728,0.0828,0.0728,0.0629,0.0629,0.0762,0.0629,0.043,0.0828,0.043,0.0689
57,0.0728,0.0795,0.0728,0.0828,0.0728,0.0629,0.0629,0.0861,0.0629,0.043,0.0861,0.043,0.0698
58,0.0728,0.0795,0.0728,0.0828,0.0728,0.0629,0.0629,0.0861,0.0629,0.043,0.0861,0.043,0.0698
59,0.0728,0.0795,0.0728,0.0828,0.0728,0.0629,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0708
60,0.0728,0.0795,0.0728,0.0828,0.0728,0.0629,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0708
61,0.0728,0.0795,0.0728,0.0828,0.0728,0.0629,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0708
62,0.0728,0.0795,0.0728,0.0828,0.0728,0.0629,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0708
63,0.0728,0.0795,0.0728,0.0828,0.0728,0.0629,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0708
64,0.0728,0.0795,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0718
65,0.0728,0.0795,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0718
66,0.0728,0.0795,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0718
67,0.0728,0.0795,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0718
68,0.0728,0.0795,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0718
69,0.0728,0.0795,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0718
70,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
71,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
72,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
73,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
74,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
75,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
76,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
77,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
78,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
79,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
80,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
81,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
82,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
83,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
84,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
85,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
86,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
87,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
88,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
89,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
90,0.0728,0.0861,0.0728,0.0828,0.0728,0.0728,0.0728,0.0861,0.0629,0.043,0.0861,0.043,0.0725
