timestamp,e1000e7,e1000e5,e1000e9,e1000e8,e1000e0,e1000e2,e1000e1,e1000e3,e1000e4,e1000e6,max,min,avg
0,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812
4,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812
5,0.4375,0.4062,0.4062,0.4062,0.4688,0.4375,0.4531,0.4375,0.4062,0.4062,0.4688,0.4062,0.4265
6,0.4375,0.4062,0.4531,0.4531,0.4688,0.4375,0.4531,0.4688,0.4062,0.4062,0.4688,0.4062,0.4391
7,0.4844,0.4062,0.4531,0.4531,0.4844,0.4375,0.4531,0.4688,0.4062,0.4375,0.4844,0.4062,0.4484
8,0.4844,0.4062,0.4531,0.4844,0.4844,0.4375,0.4531,0.5,0.4062,0.4375,0.5,0.4062,0.4547
9,0.4844,0.4062,0.4531,0.4844,0.4844,0.4375,0.4531,0.5156,0.4062,0.4375,0.5156,0.4062,0.4562
10,0.4844,0.4375,0.4531,0.4844,0.5156,0.4375,0.4531,0.5156,0.4531,0.4375,0.5156,0.4375,0.4672
11,0.4844,0.4375,0.4531,0.4844,0.5156,0.4375,0.4531,0.5156,0.4531,0.4375,0.5156,0.4375,0.4672
12,0.4844,0.4375,0.4531,0.4844,0.5156,0.4375,0.4531,0.5156,0.4531,0.4375,0.5156,0.4375,0.4672
13,0.4844,0.4375,0.4531,0.4844,0.5156,0.4375,0.4531,0.5156,0.4531,0.4375,0.5156,0.4375,0.4672
14,0.4844,0.4375,0.4531,0.4844,0.5156,0.4375,0.4531,0.5156,0.4531,0.4375,0.5156,0.4375,0.4672
15,0.4844,0.4375,0.4531,0.4844,0.5156,0.4375,0.4531,0.5156,0.4531,0.4375,0.5156,0.4375,0.4672
16,0.4844,0.4375,0.4531,0.4844,0.5156,0.4375,0.4531,0.5156,0.4531,0.4844,0.5156,0.4375,0.4719
17,0.4844,0.4375,0.4531,0.4844,0.5156,0.4375,0.4531,0.5156,0.4531,0.4844,0.5156,0.4375,0.4719
18,0.4844,0.4375,0.4531,0.4844,0.5156,0.4844,0.4531,0.5156,0.4844,0.4844,0.5156,0.4375,0.4797
19,0.4844,0.4375,0.4531,0.4844,0.5156,0.4844,0.4531,0.5156,0.4844,0.4844,0.5156,0.4375,0.4797
20,0.4844,0.4375,0.4531,0.4844,0.5156,0.4844,0.4531,0.5156,0.4844,0.4844,0.5156,0.4375,0.4797
21,0.4844,0.4375,0.4531,0.4844,0.5156,0.4844,0.4531,0.5156,0.4844,0.4844,0.5156,0.4375,0.4797
22,0.4844,0.4375,0.4531,0.4844,0.5156,0.4844,0.4531,0.5156,0.4844,0.4844,0.5156,0.4375,0.4797
23,0.4844,0.4375,0.4531,0.4844,0.5156,0.4844,0.4531,0.5156,0.4844,0.4844,0.5156,0.4375,0.4797
24,0.4844,0.4375,0.4531,0.4844,0.5156,0.4844,0.4531,0.5156,0.4844,0.4844,0.5156,0.4375,0.4797
25,0.4844,0.4375,0.4531,0.4844,0.5156,0.4844,0.4531,0.5156,0.4844,0.4844,0.5156,0.4375,0.4797
26,0.4844,0.4375,0.4531,0.4844,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4828
27,0.4844,0.4375,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4859
28,0.4844,0.4375,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4859
29,0.4844,0.4375,0.4844,0.5156,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4891
30,0.4844,0.4375,0.4844,0.5156,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4891
31,0.4844,0.4375,0.4844,0.5156,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4891
32,0.4844,0.4375,0.4844,0.5156,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4891
33,0.4844,0.4375,0.4844,0.5156,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4891
34,0.4844,0.4375,0.4844,0.5156,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4891
35,0.4844,0.4375,0.4844,0.5156,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4891
36,0.4844,0.4375,0.4844,0.5156,0.5156,0.4844,0.4844,0.5156,0.4844,0.4844,0.5156,0.4375,0.4891
