timestamp,e1000e8,e1000e0,e1000e9,e1000e1,e1000e5,e1000e2,e1000e3,e1000e6,e1000e4,e1000e7,max,min,avg
0,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345
4,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345
5,0.042,0.042,0.039,0.039,0.0345,0.0345,0.0465,0.0345,0.039,0.0345,0.0465,0.0345,0.0386
6,0.0495,0.042,0.0405,0.0556,0.0345,0.0511,0.048,0.0345,0.039,0.039,0.0556,0.0345,0.0434
7,0.0541,0.042,0.0405,0.0556,0.0345,0.0511,0.048,0.0345,0.039,0.039,0.0556,0.0345,0.0438
8,0.0541,0.042,0.0405,0.0571,0.0345,0.0511,0.048,0.0345,0.039,0.039,0.0571,0.0345,0.044
9,0.0541,0.042,0.0405,0.0571,0.0345,0.0511,0.048,0.0345,0.039,0.039,0.0571,0.0345,0.044
10,0.0541,0.0465,0.0405,0.0571,0.0345,0.0511,0.048,0.0345,0.039,0.039,0.0571,0.0345,0.0444
11,0.0541,0.0465,0.0405,0.0571,0.039,0.0556,0.048,0.0345,0.039,0.039,0.0571,0.0345,0.0453
12,0.0541,0.0465,0.045,0.0571,0.039,0.0556,0.048,0.0345,0.039,0.039,0.0571,0.0345,0.0458
13,0.0541,0.0465,0.045,0.0571,0.039,0.0556,0.048,0.0345,0.039,0.039,0.0571,0.0345,0.0458
14,0.0556,0.0465,0.045,0.0571,0.039,0.0556,0.048,0.0345,0.039,0.039,0.0571,0.0345,0.0459
15,0.0556,0.0465,0.045,0.0571,0.039,0.0556,0.048,0.0345,0.039,0.039,0.0571,0.0345,0.0459
16,0.0556,0.0465,0.045,0.0571,0.039,0.0571,0.048,0.039,0.039,0.0405,0.0571,0.039,0.0467
17,0.0556,0.0465,0.045,0.0571,0.0405,0.0571,0.048,0.039,0.039,0.0405,0.0571,0.039,0.0468
18,0.0556,0.0465,0.045,0.0646,0.0405,0.0571,0.048,0.039,0.039,0.0405,0.0646,0.039,0.0476
19,0.0571,0.0465,0.045,0.0646,0.0405,0.0571,0.048,0.039,0.039,0.0405,0.0646,0.039,0.0477
20,0.0571,0.0465,0.045,0.0646,0.0405,0.0571,0.048,0.039,0.039,0.0405,0.0646,0.039,0.0477
