timestamp,i825503,i825500,i825505,i825507,i825504,i825506,i825501,i825509,i825502,i825508,max,min,avg
0,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741
3,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741
4,0.2708,0.2477,0.2431,0.169,0.2847,0.2384,0.2361,0.2338,0.2083,0.2338,0.2847,0.169,0.2366
5,0.2731,0.2593,0.25,0.1806,0.2847,0.2431,0.25,0.2338,0.2778,0.2454,0.2847,0.1806,0.2498
6,0.2755,0.2639,0.2523,0.1806,0.2847,0.2454,0.2569,0.2338,0.3009,0.2569,0.3009,0.1806,0.2551
7,0.2755,0.2824,0.2569,0.1852,0.2917,0.2454,0.3056,0.2361,0.3056,0.2569,0.3056,0.1852,0.2641
8,0.2755,0.2824,0.2593,0.2593,0.3009,0.287,0.3056,0.2546,0.3056,0.2569,0.3056,0.2546,0.2787
9,0.2801,0.287,0.2639,0.2593,0.3125,0.2986,0.3056,0.2546,0.3079,0.2569,0.3125,0.2546,0.2826
10,0.2847,0.2917,0.2639,0.2593,0.3125,0.2986,0.3171,0.2685,0.3102,0.2569,0.3171,0.2569,0.2863
11,0.2847,0.2963,0.2639,0.2662,0.3218,0.3009,0.3287,0.2685,0.3218,0.2569,0.3287,0.2569,0.291
12,0.2847,0.3032,0.2662,0.2662,0.3264,0.3032,0.338,0.3009,0.3218,0.2593,0.338,0.2593,0.297
13,0.2847,0.3056,0.2662,0.2685,0.3264,0.3079,0.338,0.3032,0.3241,0.2593,0.338,0.2593,0.2984
14,0.2847,0.3056,0.2662,0.2755,0.331,0.3102,0.3403,0.3102,0.3495,0.2616,0.3495,0.2616,0.3035
15,0.3032,0.3194,0.2662,0.2778,0.331,0.3125,0.3403,0.3102,0.3495,0.2616,0.3495,0.2616,0.3072
16,0.3032,0.3194,0.2685,0.2778,0.331,0.3125,0.3426,0.3102,0.3519,0.2639,0.3519,0.2639,0.3081
17,0.3565,0.3194,0.2685,0.3287,0.338,0.3148,0.3426,0.3171,0.3519,0.2662,0.3565,0.2662,0.3204
18,0.3565,0.3194,0.2685,0.3287,0.338,0.3148,0.3426,0.3194,0.3588,0.2662,0.3588,0.2662,0.3213
19,0.3773,0.3194,0.2685,0.3333,0.338,0.3148,0.3426,0.3218,0.3588,0.2662,0.3773,0.2662,0.3241
20,0.3773,0.3194,0.2685,0.3333,0.3449,0.3148,0.3426,0.3218,0.3588,0.2662,0.3773,0.2662,0.3248
21,0.3773,0.3218,0.3032,0.3333,0.3449,0.3148,0.3426,0.3218,0.3588,0.2708,0.3773,0.2708,0.3289
22,0.3796,0.3218,0.3032,0.3333,0.3449,0.3148,0.3426,0.3218,0.3588,0.2731,0.3796,0.2731,0.3294
23,0.3796,0.3403,0.3032,0.3333,0.3449,0.3148,0.3449,0.3218,0.3588,0.2731,0.3796,0.2731,0.3315
