timestamp,hda2,hda9,hda1,hda3,hda0,hda7,hda5,hda6,hda8,hda4,max,min,avg
0,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043
4,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043
5,0.1043,0.1174,0.1043,0.1043,0.1174,0.1478,0.1217,0.1043,0.1043,0.1217,0.1478,0.1043,0.1147
6,0.1174,0.1217,0.1174,0.1217,0.1435,0.1478,0.1217,0.1174,0.1174,0.1435,0.1478,0.1174,0.127
7,0.1174,0.1217,0.1174,0.1217,0.1522,0.1609,0.1478,0.1174,0.1217,0.1435,0.1609,0.1174,0.1322
8,0.1174,0.1478,0.1435,0.1217,0.1522,0.1609,0.1478,0.1174,0.1217,0.1435,0.1609,0.1174,0.1374
9,0.1174,0.1609,0.1435,0.1217,0.1565,0.1609,0.1478,0.1217,0.1217,0.1435,0.1609,0.1174,0.1396
10,0.1435,0.1609,0.1435,0.1217,0.1565,0.1609,0.1478,0.1217,0.1217,0.1435,0.1609,0.1217,0.1422
11,0.1435,0.1609,0.1435,0.1435,0.1565,0.1609,0.1478,0.1217,0.1217,0.1652,0.1652,0.1217,0.1465
12,0.1435,0.1609,0.1435,0.1435,0.1565,0.1609,0.1478,0.1217,0.1217,0.1652,0.1652,0.1217,0.1465
13,0.1435,0.1609,0.1478,0.1435,0.1609,0.1609,0.1478,0.1478,0.1217,0.1652,0.1652,0.1217,0.15
14,0.1435,0.1609,0.1609,0.1435,0.1609,0.1609,0.1478,0.1478,0.1435,0.1652,0.1652,0.1435,0.1535
15,0.1435,0.1609,0.1696,0.1435,0.1609,0.1609,0.1478,0.1478,0.1435,0.1652,0.1696,0.1435,0.1544
16,0.1435,0.1609,0.1739,0.1435,0.1739,0.1609,0.1478,0.1478,0.1435,0.1696,0.1739,0.1435,0.1565
17,0.1435,0.1696,0.1739,0.1435,0.1739,0.1609,0.1478,0.1478,0.1435,0.1696,0.1739,0.1435,0.1574
18,0.1826,0.1696,0.1739,0.1435,0.1739,0.1609,0.1478,0.1478,0.1435,0.1696,0.1826,0.1435,0.1613
19,0.1826,0.1696,0.1739,0.1435,0.1739,0.1609,0.1478,0.1478,0.1435,0.1696,0.1826,0.1435,0.1613
20,0.1826,0.1696,0.1739,0.1739,0.1739,0.1609,0.1478,0.1478,0.1435,0.1696,0.1826,0.1435,0.1643
21,0.1913,0.1696,0.1739,0.1739,0.1739,0.1609,0.1478,0.1478,0.1435,0.1913,0.1913,0.1435,0.1674
22,0.1913,0.1696,0.1739,0.1739,0.1739,0.1609,0.1609,0.1478,0.1435,0.1913,0.1913,0.1435,0.1687
23,0.1913,0.1696,0.1739,0.1739,0.1739,0.1609,0.1609,0.1478,0.1435,0.1913,0.1913,0.1435,0.1687
24,0.2,0.1696,0.1739,0.1739,0.1739,0.1609,0.1609,0.1478,0.1435,0.1913,0.2,0.1435,0.1696
25,0.2,0.1696,0.1739,0.1739,0.1739,0.1609,0.1739,0.1478,0.1435,0.1913,0.2,0.1435,0.1709
26,0.2,0.1696,0.1739,0.1739,0.1739,0.1609,0.1739,0.1478,0.1435,0.1913,0.2,0.1435,0.1709
27,0.2,0.1696,0.1739,0.1739,0.1739,0.1609,0.1739,0.1478,0.1435,0.1913,0.2,0.1435,0.1709
28,0.2,0.1696,0.1739,0.1739,0.1739,0.1609,0.1739,0.1478,0.1435,0.1913,0.2,0.1435,0.1709
29,0.2,0.2,0.1739,0.1739,0.1739,0.1609,0.1739,0.1478,0.1435,0.1913,0.2,0.1435,0.1739
