timestamp,pcnet8,pcnet3,pcnet6,pcnet4,pcnet9,pcnet7,pcnet1,pcnet5,pcnet0,pcnet2,max,min,avg
0,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182
4,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182
5,0.0456,0.0328,0.031,0.0347,0.0456,0.0438,0.0347,0.0347,0.062,0.0292,0.062,0.0292,0.0394
6,0.0456,0.0456,0.031,0.0347,0.0584,0.0456,0.0347,0.0474,0.062,0.0383,0.062,0.031,0.0443
7,0.0456,0.0456,0.031,0.0474,0.0584,0.0456,0.0347,0.0474,0.0785,0.0383,0.0785,0.031,0.0473
8,0.0456,0.0456,0.031,0.0474,0.0584,0.0456,0.0493,0.062,0.0785,0.0383,0.0785,0.031,0.0502
9,0.0456,0.0456,0.031,0.0474,0.0584,0.0456,0.0493,0.062,0.0785,0.0383,0.0785,0.031,0.0502
10,0.0456,0.0456,0.0456,0.0474,0.0584,0.0584,0.062,0.062,0.0785,0.0675,0.0785,0.0456,0.0571
11,0.0602,0.0456,0.0456,0.0493,0.0584,0.0748,0.062,0.062,0.0785,0.0675,0.0785,0.0456,0.0604
12,0.0602,0.0456,0.0639,0.0493,0.0584,0.0766,0.062,0.0712,0.0785,0.0675,0.0785,0.0456,0.0633
13,0.0602,0.0456,0.0639,0.0493,0.0602,0.0766,0.062,0.0712,0.0803,0.0675,0.0803,0.0456,0.0637
14,0.0602,0.0602,0.0639,0.0493,0.0602,0.0766,0.062,0.0712,0.0821,0.0675,0.0821,0.0493,0.0653
15,0.0602,0.062,0.0639,0.0493,0.0602,0.0766,0.062,0.0712,0.0803,0.0675,0.0803,0.0493,0.0653
16,0.0602,0.062,0.0639,0.0493,0.0602,0.0766,0.062,0.0712,0.0803,0.0693,0.0803,0.0493,0.0655
17,0.0712,0.062,0.0639,0.0493,0.0602,0.0766,0.062,0.0712,0.0803,0.0693,0.0803,0.0493,0.0666
18,0.0712,0.062,0.0639,0.0493,0.0602,0.1004,0.062,0.0712,0.0803,0.0693,0.1004,0.0493,0.069
19,0.0712,0.062,0.0639,0.0493,0.0602,0.1004,0.062,0.0712,0.0821,0.0693,0.1004,0.0493,0.0692
20,0.0712,0.062,0.0639,0.073,0.0602,0.1004,0.062,0.0712,0.0821,0.0693,0.1004,0.0602,0.0715
21,0.0712,0.062,0.0639,0.2281,0.0602,0.1004,0.062,0.0712,0.0821,0.0693,0.2281,0.0602,0.087
22,0.073,0.062,0.0639,0.2281,0.0602,0.1004,0.062,0.0712,0.0821,0.0693,0.2281,0.0602,0.0872
23,0.073,0.062,0.0639,0.2281,0.0602,0.1004,0.062,0.0712,0.0821,0.0712,0.2281,0.0602,0.0874
24,0.073,0.0712,0.0639,0.2281,0.0602,0.1004,0.062,0.0712,0.0839,0.0712,0.2281,0.0602,0.0885
25,0.073,0.0712,0.0639,0.2281,0.0693,0.1004,0.062,0.0712,0.0839,0.073,0.2281,0.062,0.0896
26,0.073,0.0712,0.0639,0.2281,0.0693,0.1004,0.0639,0.0712,0.0839,0.073,0.2281,0.0639,0.0898
