timestamp,rtl81396,rtl81393,rtl81391,rtl81392,rtl81394,rtl81398,rtl81399,rtl81395,rtl81390,rtl81397,max,min,avg
0,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145
3,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0527,0.0145,0.0145,0.0527,0.0145,0.0183
4,0.2055,0.1036,0.2,0.1,0.1618,0.1218,0.1764,0.0927,0.0964,0.1309,0.2055,0.0927,0.1389
5,0.2327,0.1364,0.2418,0.1018,0.1891,0.1218,0.2,0.0964,0.1709,0.1309,0.2418,0.0964,0.1622
6,0.2455,0.2127,0.2418,0.1291,0.1891,0.1236,0.2309,0.1345,0.1782,0.1309,0.2455,0.1236,0.1816
7,0.2527,0.2127,0.2436,0.1436,0.2018,0.2327,0.2309,0.14,0.1818,0.1327,0.2527,0.1327,0.1972
8,0.2545,0.2127,0.2436,0.1436,0.2273,0.2436,0.2309,0.1436,0.1836,0.1327,0.2545,0.1327,0.2016
9,0.2545,0.2127,0.2473,0.1455,0.2273,0.2473,0.2309,0.1455,0.2145,0.1327,0.2545,0.1327,0.2058
10,0.2545,0.2164,0.2473,0.1455,0.2273,0.2491,0.2345,0.1473,0.2255,0.1327,0.2545,0.1327,0.208
11,0.2655,0.2164,0.2509,0.1836,0.2273,0.2509,0.2382,0.18,0.2473,0.1327,0.2655,0.1327,0.2193
12,0.2655,0.2164,0.2509,0.1855,0.2273,0.2509,0.24,0.1836,0.2473,0.1327,0.2655,0.1327,0.22
13,0.2655,0.2218,0.2509,0.1855,0.2273,0.2527,0.2436,0.1836,0.2473,0.1364,0.2655,0.1364,0.2215
14,0.2691,0.2218,0.2509,0.1855,0.2291,0.2527,0.2455,0.1836,0.2473,0.1364,0.2691,0.1364,0.2222
15,0.2691,0.2309,0.2509,0.1855,0.2291,0.2564,0.2455,0.1873,0.2473,0.1418,0.2691,0.1418,0.2244
16,0.2727,0.2309,0.2509,0.2145,0.2291,0.2582,0.2473,0.1873,0.2473,0.1436,0.2727,0.1436,0.2282
17,0.2727,0.2527,0.2509,0.2145,0.2291,0.2582,0.2473,0.1873,0.2527,0.1455,0.2727,0.1455,0.2311
18,0.2745,0.2527,0.2545,0.2145,0.2291,0.2582,0.2909,0.1873,0.2582,0.1455,0.2909,0.1455,0.2365
19,0.2745,0.2545,0.2582,0.2145,0.2291,0.2582,0.2909,0.1873,0.2636,0.1455,0.2909,0.1455,0.2376
20,0.2745,0.2545,0.2582,0.2145,0.2291,0.2636,0.2909,0.1891,0.2636,0.1455,0.2909,0.1455,0.2384
21,0.2764,0.2545,0.26,0.2145,0.2291,0.2636,0.2909,0.1891,0.2691,0.1491,0.2909,0.1491,0.2396
22,0.2764,0.2545,0.26,0.2145,0.2291,0.2636,0.2909,0.1891,0.2691,0.1509,0.2909,0.1509,0.2398
23,0.2764,0.2545,0.2636,0.2145,0.2291,0.2636,0.2927,0.1927,0.2691,0.1527,0.2927,0.1527,0.2409
24,0.2818,0.2545,0.2636,0.2145,0.2291,0.2909,0.3036,0.2182,0.2691,0.1527,0.3036,0.1527,0.2478
25,0.2818,0.2545,0.2636,0.2145,0.2345,0.2927,0.3036,0.22,0.2691,0.1527,0.3036,0.1527,0.2487
26,0.2818,0.2545,0.2745,0.2145,0.2345,0.2927,0.3036,0.22,0.2691,0.2182,0.3036,0.2145,0.2563
27,0.2818,0.2545,0.2964,0.2164,0.2345,0.2927,0.3036,0.22,0.2691,0.2218,0.3036,0.2164,0.2591
28,0.2818,0.26,0.2964,0.2164,0.2364,0.2927,0.3036,0.22,0.2691,0.2218,0.3036,0.2164,0.2598
29,0.2818,0.26,0.2982,0.2236,0.2364,0.2927,0.3073,0.22,0.2691,0.2218,0.3073,0.22,0.2611
30,0.2836,0.26,0.3055,0.2236,0.2364,0.2982,0.3073,0.22,0.2691,0.2218,0.3073,0.22,0.2626
31,0.2836,0.2636,0.3091,0.2236,0.2364,0.3,0.3073,0.22,0.2745,0.2273,0.3091,0.22,0.2645
32,0.2836,0.2636,0.3091,0.2309,0.2364,0.3018,0.3091,0.22,0.2745,0.2273,0.3091,0.22,0.2656
33,0.2891,0.2636,0.3109,0.2309,0.24,0.3055,0.3109,0.22,0.2745,0.2273,0.3109,0.22,0.2673
34,0.2891,0.2636,0.3109,0.2309,0.24,0.3055,0.3255,0.22,0.28,0.2436,0.3255,0.22,0.2709
