timestamp,sb166,sb162,sb165,sb164,sb169,sb160,sb163,sb167,sb161,sb168,max,min,avg
0,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244
4,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244
5,0.0268,0.0268,0.0512,0.0561,0.0268,0.0537,0.0439,0.0585,0.0488,0.0512,0.0585,0.0268,0.0444
6,0.0659,0.0537,0.0512,0.0683,0.0268,0.0537,0.0683,0.061,0.0512,0.0683,0.0683,0.0268,0.0568
7,0.0707,0.061,0.0512,0.0732,0.0268,0.0537,0.0683,0.061,0.0512,0.0756,0.0756,0.0268,0.0593
8,0.0732,0.0683,0.0512,0.0732,0.0268,0.0683,0.0683,0.0634,0.0512,0.0756,0.0756,0.0268,0.062
9,0.0732,0.0732,0.0512,0.0732,0.039,0.0683,0.0683,0.0683,0.0512,0.0756,0.0756,0.039,0.0642
10,0.0732,0.0732,0.0512,0.0732,0.039,0.0683,0.0707,0.0756,0.0512,0.0756,0.0756,0.039,0.0651
11,0.0732,0.0732,0.061,0.0756,0.0707,0.0683,0.0707,0.0756,0.0512,0.0756,0.0756,0.0512,0.0695
12,0.0732,0.0732,0.061,0.0756,0.0707,0.0683,0.0707,0.0756,0.0512,0.0756,0.0756,0.0512,0.0695
13,0.0732,0.0732,0.0634,0.0756,0.0707,0.0683,0.0707,0.0756,0.0512,0.0756,0.0756,0.0512,0.0698
14,0.0732,0.0732,0.0634,0.0756,0.0732,0.0683,0.0707,0.0756,0.0634,0.0756,0.0756,0.0634,0.0712
15,0.0732,0.0732,0.0634,0.0756,0.0732,0.0683,0.0707,0.0756,0.0634,0.0756,0.0756,0.0634,0.0712
16,0.0732,0.0756,0.0634,0.0756,0.1098,0.0683,0.0707,0.0756,0.0634,0.0756,0.1098,0.0634,0.0751
17,0.0732,0.0756,0.0634,0.0878,0.1098,0.0683,0.0707,0.0756,0.0634,0.0756,0.1098,0.0634,0.0763
18,0.0756,0.0756,0.0634,0.0878,0.1146,0.0683,0.0707,0.0756,0.0683,0.0756,0.1146,0.0634,0.0775
19,0.0756,0.0756,0.0634,0.0878,0.1146,0.0683,0.0707,0.0756,0.0683,0.0756,0.1146,0.0634,0.0775
20,0.0756,0.0756,0.0683,0.0878,0.1146,0.0683,0.0707,0.0756,0.0683,0.0756,0.1146,0.0683,0.078
21,0.0756,0.0756,0.0683,0.0878,0.1146,0.0683,0.0707,0.0756,0.0683,0.0756,0.1146,0.0683,0.078
22,0.0756,0.0756,0.0683,0.2244,0.1146,0.0683,0.0707,0.0756,0.0683,0.0756,0.2244,0.0683,0.0917
23,0.0756,0.0756,0.0707,0.2244,0.1146,0.0683,0.0707,0.0756,0.0683,0.0756,0.2244,0.0683,0.0919
24,0.0756,0.0756,0.0707,0.2244,0.1146,0.0683,0.0707,0.0756,0.0683,0.0756,0.2244,0.0683,0.0919
25,0.0756,0.0756,0.0829,0.2244,0.1146,0.0683,0.0707,0.0756,0.0683,0.0756,0.2244,0.0683,0.0932
26,0.0756,0.0756,0.0829,0.2244,0.122,0.0683,0.0707,0.0756,0.0683,0.0756,0.2244,0.0683,0.0939
27,0.0756,0.0756,0.0829,0.2244,0.122,0.0683,0.0951,0.0756,0.0683,0.0756,0.2244,0.0683,0.0963
28,0.0756,0.0756,0.0829,0.2244,0.122,0.0683,0.0951,0.0756,0.0683,0.0756,0.2244,0.0683,0.0963
29,0.0756,0.0756,0.0829,0.2244,0.122,0.0683,0.1,0.0756,0.0683,0.0756,0.2244,0.0683,0.0968
30,0.0756,0.0756,0.0829,0.2244,0.122,0.0683,0.1,0.0756,0.0683,0.0756,0.2244,0.0683,0.0968
31,0.0756,0.0756,0.0829,0.2244,0.122,0.0683,0.1,0.0756,0.0683,0.0756,0.2244,0.0683,0.0968
32,0.0756,0.0756,0.0829,0.2244,0.122,0.0683,0.1,0.0756,0.0683,0.0756,0.2244,0.0683,0.0968
33,0.0756,0.0756,0.0829,0.2244,0.122,0.0683,0.1,0.0756,0.0683,0.0756,0.2244,0.0683,0.0968
34,0.0756,0.0756,0.0829,0.2244,0.122,0.0683,0.1,0.0878,0.0683,0.0756,0.2244,0.0683,0.098
35,0.0756,0.0756,0.0829,0.2244,0.122,0.0756,0.1,0.0878,0.0683,0.0756,0.2244,0.0683,0.0988
36,0.0756,0.0756,0.0829,0.2244,0.1244,0.0756,0.1,0.0878,0.0683,0.0756,0.2244,0.0683,0.099
37,0.0756,0.0756,0.0878,0.2244,0.1244,0.0756,0.1,0.0878,0.0683,0.0756,0.2244,0.0683,0.0995
38,0.0756,0.0756,0.0878,0.2244,0.1244,0.0756,0.1,0.0878,0.0683,0.0756,0.2244,0.0683,0.0995
39,0.0756,0.0756,0.0878,0.2244,0.1244,0.0756,0.1,0.0878,0.0683,0.0756,0.2244,0.0683,0.0995
40,0.0878,0.0756,0.0878,0.2244,0.2585,0.0756,0.1,0.0878,0.0683,0.0756,0.2585,0.0683,0.1141
41,0.0878,0.0756,0.0878,0.2244,0.2585,0.0756,0.1,0.0878,0.0683,0.0756,0.2585,0.0683,0.1141
42,0.0878,0.0756,0.0878,0.2244,0.2634,0.0756,0.1,0.0878,0.0683,0.0756,0.2634,0.0683,0.1146
43,0.0878,0.0756,0.0878,0.2244,0.2634,0.0756,0.1,0.0878,0.0683,0.0756,0.2634,0.0683,0.1146
44,0.0878,0.0756,0.0878,0.2244,0.2634,0.0756,0.1,0.0878,0.0683,0.0756,0.2634,0.0683,0.1146
45,0.0878,0.0756,0.0878,0.2244,0.2634,0.0756,0.1,0.0878,0.0756,0.0756,0.2634,0.0756,0.1154
46,0.0878,0.0756,0.0878,0.2244,0.2634,0.0756,0.1,0.0878,0.0756,0.0756,0.2634,0.0756,0.1154
47,0.0951,0.0756,0.0878,0.2244,0.2634,0.0756,0.2341,0.0878,0.0756,0.0756,0.2634,0.0756,0.1295
48,0.0951,0.0756,0.0878,0.2244,0.2634,0.0756,0.2341,0.0878,0.0756,0.0756,0.2634,0.0756,0.1295
49,0.0951,0.0756,0.0878,0.2244,0.2683,0.0756,0.2341,0.0878,0.0756,0.0756,0.2683,0.0756,0.13
50,0.0951,0.0756,0.0878,0.2244,0.2683,0.0756,0.2341,0.0878,0.0756,0.0756,0.2683,0.0756,0.13
51,0.0951,0.0756,0.0878,0.2244,0.2707,0.0756,0.2341,0.0878,0.0756,0.0756,0.2707,0.0756,0.1302
52,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
53,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
54,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
55,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
56,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
57,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
58,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
59,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
60,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
61,0.0951,0.0756,0.0878,0.2244,0.278,0.0756,0.2341,0.0878,0.1,0.0756,0.278,0.0756,0.1334
