timestamp,uhci3,uhci4,uhci6,uhci1,uhci5,uhci7,uhci0,uhci2,uhci9,uhci8,max,min,avg
1633208533,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838
1633208536,0.1127,0.0838,0.0838,0.0838,0.0838,0.1098,0.0838,0.0838,0.0838,0.0838,0.1127,0.0838,0.0893
1633208537,0.1127,0.0838,0.1127,0.1272,0.1301,0.1243,0.0838,0.1329,0.1908,0.1243,0.1908,0.0838,0.1223
1633208538,0.1301,0.1301,0.1214,0.1705,0.1358,0.1301,0.1358,0.1676,0.1965,0.1618,0.1965,0.1214,0.148
1633208539,0.1329,0.1329,0.1243,0.1734,0.1387,0.1329,0.1387,0.1676,0.2081,0.1618,0.2081,0.1243,0.1511
1633208540,0.1734,0.1387,0.1301,0.1763,0.1387,0.1329,0.1647,0.1705,0.2168,0.1618,0.2168,0.1301,0.1604
1633208541,0.1734,0.1734,0.1301,0.1763,0.1676,0.1329,0.1647,0.1705,0.2197,0.1618,0.2197,0.1301,0.167
1633208542,0.1994,0.1792,0.1329,0.1792,0.1676,0.1329,0.1647,0.1908,0.2197,0.1618,0.2197,0.1329,0.1728
1633208543,0.2023,0.1792,0.1329,0.1821,0.1676,0.1329,0.1676,0.1908,0.2197,0.1647,0.2197,0.1329,0.174
1633208544,0.2052,0.1792,0.1734,0.1821,0.1676,0.1647,0.1676,0.1908,0.2197,0.1676,0.2197,0.1647,0.1818
1633208545,0.2052,0.1792,0.1734,0.1821,0.1676,0.1647,0.1676,0.1908,0.2254,0.1676,0.2254,0.1647,0.1824
1633208546,0.2052,0.1994,0.1994,0.1821,0.1676,0.1647,0.1676,0.1908,0.2283,0.1676,0.2283,0.1647,0.1873
1633208547,0.2081,0.1994,0.2023,0.1821,0.1676,0.1647,0.1676,0.1908,0.2312,0.1705,0.2312,0.1647,0.1884
1633208548,0.2081,0.1994,0.2023,0.1908,0.1676,0.1647,0.1676,0.1908,0.2312,0.1734,0.2312,0.1647,0.1896
1633208549,0.211,0.1994,0.2052,0.1908,0.1676,0.1647,0.1676,0.1908,0.2312,0.1965,0.2312,0.1647,0.1925
1633208550,0.211,0.1994,0.2052,0.1908,0.1676,0.1647,0.1676,0.1908,0.2399,0.1965,0.2399,0.1647,0.1933
1633208551,0.211,0.1994,0.2081,0.1908,0.1734,0.1647,0.1676,0.1908,0.2399,0.1965,0.2399,0.1647,0.1942
1633208552,0.211,0.1994,0.2081,0.1908,0.1734,0.1647,0.1676,0.1908,0.2399,0.1965,0.2399,0.1647,0.1942
1633208553,0.211,0.1994,0.2081,0.1908,0.1734,0.185,0.1676,0.1908,0.2399,0.1965,0.2399,0.1676,0.1962
