timestamp,legacy_ee100pro4,legacy_ee100pro6,legacy_ee100pro2,legacy_ee100pro9,legacy_ee100pro7,legacy_ee100pro3,legacy_ee100pro5,legacy_ee100pro1,legacy_ee100pro8,legacy_ee100pro0,max,min,avg
0,0.419,0.3704,0.463,0.3889,0.4329,0.5718,0.3125,0.419,0.3264,0.4144,0.5718,0.3125,0.4118
2,0.419,0.3704,0.463,0.3889,0.4329,0.5718,0.3125,0.3519,0.3264,0.4144,0.5718,0.3125,0.4051
4,0.419,0.3704,0.463,0.3889,0.4329,0.5718,0.3125,0.3519,0.3264,0.4144,0.5718,0.3125,0.4051
5,0.419,0.3704,0.463,0.3889,0.4329,0.5718,0.3125,0.4167,0.3264,0.4144,0.5718,0.3125,0.4116
6,0.419,0.3704,0.463,0.3889,0.4792,0.3449,0.3125,0.4167,0.3264,0.4144,0.4792,0.3125,0.3935
7,0.419,0.3704,0.463,0.3889,0.4792,0.3449,0.3125,0.4167,0.3264,0.456,0.4792,0.3125,0.3977
8,0.419,0.3704,0.3194,0.3889,0.4792,0.3449,0.3125,0.4167,0.3264,0.456,0.4792,0.3125,0.3833
9,0.419,0.3704,0.3194,0.3866,0.4792,0.3449,0.3125,0.4167,0.3264,0.456,0.4792,0.3125,0.3831
10,0.419,0.3704,0.3194,0.3866,0.4792,0.3449,0.3125,0.4167,0.3264,0.456,0.4792,0.3125,0.3831
11,0.419,0.3704,0.3194,0.3866,0.4792,0.3449,0.3102,0.4167,0.3264,0.4583,0.4792,0.3102,0.3831
12,0.419,0.3704,0.3194,0.3866,0.4792,0.3449,0.3102,0.4167,0.3264,0.4583,0.4792,0.3102,0.3831
13,0.419,0.3704,0.3194,0.3866,0.4792,0.3449,0.3102,0.4167,0.3264,0.4583,0.4792,0.3102,0.3831
14,0.419,0.3704,0.3194,0.3866,0.4792,0.3449,0.3102,0.412,0.5162,0.456,0.5162,0.3102,0.4014
15,0.419,0.3588,0.3194,0.4074,0.4792,0.3449,0.3102,0.412,0.5162,0.456,0.5162,0.3102,0.4023
16,0.419,0.3588,0.3194,0.4074,0.4769,0.3449,0.3102,0.4097,0.5162,0.456,0.5162,0.3102,0.4019
17,0.419,0.3588,0.0116,0.4074,0.4769,0.3449,0.3102,0.4097,0.5162,0.456,0.5162,0.0116,0.3711
18,0.419,0.3588,0.0116,0.4074,0.4769,0.3449,0.3102,0.0116,0.5162,0.4514,0.5162,0.0116,0.3308
19,0.419,0.3588,0.0116,0.4074,0.4769,0.3449,0.3102,0.4097,0.5162,0.4514,0.5162,0.0116,0.3706
20,0.419,0.3588,0.0116,0.4074,0.4769,0.3449,0.3102,0.4051,0.5162,0.4514,0.5162,0.0116,0.3702
21,0.419,0.3588,0.3171,0.4074,0.4769,0.3449,0.3102,0.4005,0.5162,0.4514,0.5162,0.3102,0.4002
22,0.419,0.3588,0.3171,0.4074,0.4769,0.3449,0.3102,0.3981,0.5162,0.4514,0.5162,0.3102,0.4
23,0.419,0.3588,0.3171,0.4074,0.4769,0.3449,0.3056,0.3542,0.5162,0.4514,0.5162,0.3056,0.3952
24,0.419,0.3588,0.3171,0.4074,0.4769,0.0116,0.3056,0.1181,0.5162,0.4514,0.5162,0.0116,0.3382
25,0.419,0.3588,0.3171,0.4074,0.4769,0.0116,0.3056,0.3079,0.5162,0.4444,0.5162,0.0116,0.3565
26,0.419,0.3588,0.3171,0.4074,0.4769,0.0116,0.3056,0.3079,0.5162,0.4444,0.5162,0.0116,0.3565
27,0.0116,0.3588,0.3171,0.4074,0.4444,0.3449,0.3056,0.338,0.5162,0.4444,0.5162,0.0116,0.3488
28,0.0116,0.3588,0.3171,0.4074,0.4444,0.3449,0.3056,0.338,0.5162,0.4444,0.5162,0.0116,0.3488
29,0.0116,0.3588,0.3171,0.4074,0.4444,0.3449,0.3056,0.338,0.5162,0.4444,0.5162,0.0116,0.3488
30,0.0116,0.3588,0.3171,0.4699,0.4444,0.3449,0.3056,0.338,0.5162,0.4421,0.5162,0.0116,0.3549
31,0.419,0.3588,0.3171,0.4699,0.4444,0.3449,0.3056,0.338,0.5162,0.419,0.5162,0.3056,0.3933
32,0.419,0.3588,0.3171,0.4699,0.4444,0.3449,0.3056,0.338,0.5162,0.4398,0.5162,0.3056,0.3954
33,0.419,0.3588,0.3171,0.4699,0.4444,0.3449,0.3056,0.338,0.5162,0.4398,0.5162,0.3056,0.3954
34,0.4167,0.3588,0.3171,0.4699,0.4375,0.3449,0.3056,0.338,0.5139,0.4306,0.5139,0.3056,0.3933
35,0.4167,0.3588,0.2986,0.4699,0.4375,0.3449,0.3056,0.338,0.5139,0.4306,0.5139,0.2986,0.3915
36,0.4167,0.3588,0.2986,0.4699,0.4375,0.3449,0.3056,0.3264,0.5139,0.4306,0.5139,0.2986,0.3903
38,0.4144,0.3588,0.2986,0.4699,0.4375,0.3449,0.3056,0.3079,0.5139,0.4282,0.5139,0.2986,0.388
39,0.4144,0.0116,0.2986,0.4699,0.4306,0.3449,0.3056,0.3079,0.5139,0.4282,0.5139,0.0116,0.3526
40,0.4144,0.0116,0.2986,0.4699,0.4306,0.3449,0.3056,0.0116,0.5139,0.3935,0.5139,0.0116,0.3195
41,0.4144,0.0116,0.2986,0.4699,0.4306,0.3449,0.3056,0.0116,0.5139,0.3935,0.5139,0.0116,0.3195
42,0.4144,0.0116,0.2963,0.4699,0.4306,0.3449,0.3056,0.3009,0.5139,0.3935,0.5139,0.0116,0.3482
43,0.4144,0.3565,0.2963,0.4699,0.4306,0.3449,0.3009,0.3634,0.5139,0.3727,0.5139,0.2963,0.3863
44,0.4144,0.3565,0.2963,0.4699,0.4306,0.3426,0.3009,0.3634,0.5139,0.3634,0.5139,0.2963,0.3852
45,0.4144,0.3565,0.2963,0.4699,0.4306,0.3426,0.3009,0.3981,0.5139,0.3079,0.5139,0.2963,0.3831
46,0.4144,0.3565,0.2963,0.4699,0.4306,0.3426,0.3009,0.375,0.5139,0.3866,0.5139,0.2963,0.3887
47,0.4144,0.3565,0.2963,0.4699,0.4306,0.3426,0.3009,0.3056,0.5139,0.3866,0.5139,0.2963,0.3817
48,0.4144,0.3565,0.2963,0.419,0.4306,0.3333,0.3009,0.3056,0.5139,0.3796,0.5139,0.2963,0.375
49,0.4144,0.3519,0.2963,0.419,0.4306,0.3333,0.3009,0.3056,0.5139,0.3472,0.5139,0.2963,0.3713
50,0.4144,0.3519,0.2963,0.419,0.4306,0.3333,0.3009,0.4213,0.5139,0.3426,0.5139,0.2963,0.3824
51,0.4144,0.3519,0.2963,0.419,0.4306,0.3333,0.3009,0.4213,0.5139,0.338,0.5139,0.2963,0.382
52,0.4144,0.3519,0.2963,0.419,0.4306,0.3333,0.3009,0.4213,0.5139,0.3796,0.5139,0.2963,0.3861
53,0.4144,0.3519,0.2963,0.419,0.4306,0.287,0.3009,0.419,0.5139,0.3796,0.5139,0.287,0.3813
54,0.4144,0.3519,0.2963,0.419,0.4306,0.2685,0.3009,0.419,0.5139,0.375,0.5139,0.2685,0.379
55,0.412,0.3519,0.2917,0.419,0.4306,0.2431,0.3009,0.419,0.5139,0.4097,0.5139,0.2431,0.3792
56,0.412,0.3519,0.2917,0.419,0.4306,0.2431,0.3009,0.419,0.5139,0.4097,0.5139,0.2431,0.3792
57,0.412,0.3519,0.2917,0.419,0.4306,0.2963,0.3009,0.419,0.5139,0.4097,0.5139,0.2917,0.3845
58,0.412,0.3519,0.2917,0.419,0.4306,0.2963,0.2917,0.419,0.5139,0.4097,0.5139,0.2917,0.3836
59,0.4074,0.3519,0.2917,0.419,0.4306,0.2917,0.2917,0.4144,0.5139,0.4097,0.5139,0.2917,0.3822
60,0.4074,0.3519,0.2847,0.419,0.4306,0.2917,0.2917,0.4144,0.5139,0.2222,0.5139,0.2222,0.3628
61,0.4074,0.3519,0.2847,0.338,0.4306,0.2917,0.2917,0.4144,0.5139,0.2222,0.5139,0.2222,0.3547
62,0.4051,0.3519,0.2847,0.338,0.0116,0.287,0.0116,0.4144,0.5116,0.2222,0.5116,0.0116,0.2838
63,0.4051,0.3519,0.2847,0.338,0.0116,0.287,0.0116,0.4144,0.5116,0.2222,0.5116,0.0116,0.2838
64,0.4051,0.3519,0.2824,0.338,0.0116,0.3032,0.0116,0.412,0.5116,0.2222,0.5116,0.0116,0.285
65,0.3519,0.3519,0.2824,0.419,0.0116,0.294,0.2917,0.412,0.5116,0.4282,0.5116,0.0116,0.3354
66,0.3519,0.3519,0.2824,0.419,0.0116,0.2731,0.2917,0.0116,0.5116,0.4282,0.5116,0.0116,0.2933
67,0.3519,0.3519,0.2778,0.419,0.0116,0.3333,0.2917,0.0116,0.5116,0.4282,0.5116,0.0116,0.2989
68,0.3519,0.3519,0.2778,0.419,0.0116,0.3241,0.2917,0.0116,0.5116,0.4213,0.5116,0.0116,0.2973
69,0.3519,0.3519,0.2778,0.419,0.0116,0.3241,0.2917,0.4028,0.5116,0.4213,0.5116,0.0116,0.3364
70,0.3519,0.3519,0.0116,0.419,0.0116,0.3241,0.2917,0.4028,0.5116,0.3125,0.5116,0.0116,0.2989
71,0.3519,0.3333,0.2639,0.419,0.0116,0.3241,0.2917,0.4028,0.5116,0.3125,0.5116,0.0116,0.3222
72,0.3519,0.3333,0.2639,0.4005,0.0116,0.2199,0.2917,0.4028,0.5116,0.419,0.5116,0.0116,0.3206
73,0.3519,0.3333,0.2986,0.4005,0.0116,0.2199,0.287,0.0116,0.5116,0.419,0.5116,0.0116,0.2845
74,0.3519,0.3333,0.2986,0.4005,0.0116,0.331,0.287,0.3148,0.5116,0.412,0.5116,0.0116,0.3252
