timestamp,legacy_xhci5,legacy_xhci7,legacy_xhci0,legacy_xhci2,legacy_xhci8,legacy_xhci3,legacy_xhci9,legacy_xhci1,legacy_xhci4,legacy_xhci6,max,min,avg
0,0.1522,0.1522,0.1511,0.1511,0.1533,0.162,0.1522,0.1511,0.1565,0.1522,0.162,0.1511,0.1534
2,0.1522,0.1522,0.1511,0.1511,0.1533,0.162,0.1522,0.1511,0.1565,0.1522,0.162,0.1511,0.1534
3,0.1522,0.1522,0.1511,0.1511,0.1522,0.162,0.1522,0.1511,0.1565,0.1522,0.162,0.1511,0.1533
4,0.1522,0.1522,0.1511,0.1511,0.1522,0.162,0.1522,0.1511,0.1565,0.1522,0.162,0.1511,0.1533
5,0.1522,0.1522,0.1511,0.1511,0.1522,0.162,0.1522,0.1511,0.1565,0.1522,0.162,0.1511,0.1533
6,0.1522,0.1522,0.1511,0.1511,0.1522,0.1522,0.1522,0.1511,0.1565,0.1522,0.1565,0.1511,0.1523
7,0.1522,0.1522,0.1511,0.1511,0.1522,0.1522,0.1522,0.1511,0.1565,0.1522,0.1565,0.1511,0.1523
8,0.1522,0.1522,0.1522,0.1511,0.1522,0.1522,0.1511,0.1511,0.1565,0.1522,0.1565,0.1511,0.1523
9,0.1522,0.1522,0.1522,0.1511,0.1522,0.1522,0.1511,0.1511,0.1554,0.1511,0.1554,0.1511,0.1521
10,0.1522,0.1522,0.1522,0.1511,0.1522,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1532
11,0.1522,0.1511,0.1522,0.1511,0.1522,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1531
12,0.1522,0.1511,0.1522,0.1511,0.1522,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1531
14,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1529
15,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1529
16,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1529
17,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1529
18,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1529
19,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1529
20,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.1511,0.162,0.1511,0.1529
21,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1528
22,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1528
23,0.1522,0.1511,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1528
24,0.1522,0.15,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1527
25,0.1522,0.15,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1527
26,0.1522,0.15,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1527
27,0.1511,0.15,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1526
28,0.1511,0.15,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1522,0.15,0.162,0.15,0.1523
29,0.1511,0.15,0.1522,0.1511,0.15,0.1522,0.1511,0.162,0.1522,0.15,0.162,0.15,0.1522
30,0.1511,0.15,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1522,0.15,0.162,0.15,0.1523
31,0.1511,0.15,0.1522,0.1511,0.1511,0.1522,0.1511,0.162,0.1522,0.15,0.162,0.15,0.1523
32,0.1511,0.15,0.1522,0.1511,0.1511,0.1511,0.1511,0.162,0.1522,0.15,0.162,0.15,0.1522
33,0.1511,0.15,0.1522,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1523
34,0.1511,0.1511,0.1522,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1524
35,0.1511,0.1511,0.1522,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1524
36,0.1522,0.1511,0.1522,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1525
37,0.1522,0.1511,0.1522,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1525
38,0.1522,0.1511,0.1522,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1525
39,0.1511,0.1511,0.1522,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1524
40,0.1511,0.1511,0.1511,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1523
41,0.1511,0.1511,0.1511,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1523
42,0.1511,0.1511,0.1511,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1523
43,0.1511,0.1511,0.1511,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1523
44,0.1522,0.1511,0.1511,0.1511,0.1533,0.1511,0.1511,0.162,0.1511,0.15,0.162,0.15,0.1524
45,0.1522,0.1511,0.1511,0.1511,0.1533,0.1511,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1528
46,0.1522,0.1511,0.1511,0.1511,0.1533,0.1511,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1528
47,0.1522,0.1511,0.1511,0.1511,0.1533,0.1511,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1528
48,0.1522,0.1511,0.1511,0.1511,0.1533,0.1511,0.1511,0.162,0.1554,0.15,0.162,0.15,0.1528
49,0.1522,0.1511,0.15,0.1511,0.1533,0.15,0.1511,0.162,0.1543,0.15,0.162,0.15,0.1525
50,0.1522,0.1511,0.15,0.1511,0.15,0.15,0.1511,0.162,0.1543,0.15,0.162,0.15,0.1522
51,0.1522,0.1511,0.15,0.1511,0.15,0.15,0.1511,0.162,0.1543,0.15,0.162,0.15,0.1522
52,0.1522,0.1511,0.15,0.1511,0.15,0.15,0.1511,0.162,0.1533,0.15,0.162,0.15,0.1521
53,0.1533,0.1511,0.15,0.1511,0.15,0.15,0.1511,0.1533,0.1533,0.15,0.1533,0.15,0.1513
54,0.1533,0.1511,0.15,0.1511,0.15,0.15,0.1511,0.1533,0.1533,0.15,0.1533,0.15,0.1513
55,0.1533,0.1511,0.15,0.1511,0.15,0.15,0.1511,0.1533,0.1533,0.15,0.1533,0.15,0.1513
56,0.1533,0.1511,0.15,0.1511,0.1511,0.15,0.1511,0.1533,0.1533,0.15,0.1533,0.15,0.1514
58,0.1533,0.1511,0.15,0.1511,0.1511,0.15,0.1511,0.1522,0.1533,0.15,0.1533,0.15,0.1513
59,0.1533,0.1511,0.15,0.1511,0.1511,0.1522,0.1511,0.1522,0.1533,0.15,0.1533,0.15,0.1515
60,0.1533,0.1522,0.15,0.1511,0.1511,0.1522,0.1511,0.1522,0.1533,0.15,0.1533,0.15,0.1517
61,0.1533,0.1522,0.15,0.1511,0.1511,0.1522,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1515
62,0.1533,0.1522,0.15,0.1511,0.1511,0.1522,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1515
63,0.1533,0.1522,0.15,0.1511,0.1511,0.1522,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1515
64,0.1533,0.1522,0.15,0.1511,0.1511,0.1522,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1515
65,0.1533,0.1522,0.15,0.1511,0.1511,0.1522,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1515
66,0.1533,0.1522,0.15,0.1511,0.1511,0.1511,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1514
67,0.1533,0.1522,0.15,0.1511,0.1511,0.1511,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1514
68,0.1533,0.1511,0.15,0.1511,0.1511,0.1511,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1513
69,0.1533,0.15,0.15,0.1511,0.1511,0.1511,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1512
70,0.1533,0.15,0.15,0.1511,0.1511,0.1511,0.1511,0.1511,0.1533,0.15,0.1533,0.15,0.1512
71,0.1533,0.15,0.15,0.1511,0.1511,0.1511,0.0,0.1511,0.1533,0.15,0.1533,0.0,0.1361
72,0.1533,0.15,0.15,0.15,0.1511,0.1511,0.0,0.1511,0.1533,0.15,0.1533,0.0,0.136
73,0.1533,0.15,0.15,0.15,0.1511,0.15,0.0,0.1511,0.1554,0.15,0.1554,0.0,0.1361
74,0.1533,0.15,0.15,0.15,0.1511,0.15,0.0,0.1511,0.1554,0.15,0.1554,0.0,0.1361
75,0.1511,0.15,0.15,0.15,0.1511,0.1511,0.1511,0.1511,0.1554,0.15,0.1554,0.15,0.1511
76,0.1511,0.15,0.15,0.1511,0.1511,0.1511,0.1511,0.1511,0.1554,0.15,0.1554,0.15,0.1512
77,0.1511,0.1511,0.15,0.1511,0.1511,0.1511,0.1511,0.1511,0.1554,0.15,0.1554,0.15,0.1513
78,0.1511,0.1511,0.15,0.1511,0.1511,0.1511,0.1511,0.1511,0.1554,0.15,0.1554,0.15,0.1513
79,0.1511,0.1511,0.15,0.15,0.1511,0.1511,0.1511,0.1511,0.1554,0.15,0.1554,0.15,0.1512
80,0.1511,0.1511,0.15,0.15,0.1511,0.1511,0.1511,0.1511,0.1543,0.15,0.1543,0.15,0.1511
81,0.1511,0.1511,0.15,0.15,0.1511,0.1815,0.1511,0.1511,0.1543,0.15,0.1815,0.15,0.1541
82,0.1902,0.1783,0.15,0.15,0.1511,0.1815,0.1511,0.1511,0.1543,0.15,0.1902,0.15,0.1608
83,0.1902,0.1783,0.1522,0.15,0.1522,0.1815,0.1522,0.1511,0.1543,0.15,0.1902,0.15,0.1612
