timestamp,legacy_ne20001,legacy_ne20009,legacy_ne20004,legacy_ne20003,legacy_ne20005,legacy_ne20006,legacy_ne20007,legacy_ne20008,legacy_ne20000,legacy_ne20002,max,min,avg
0,0.3227,0.3864,0.3,0.2955,0.3364,0.2409,0.35,0.2909,0.2909,0.2455,0.3864,0.2409,0.3059
1,0.3227,0.3864,0.3,0.2818,0.2727,0.2409,0.35,0.2818,0.2909,0.2455,0.3864,0.2409,0.2973
2,0.3227,0.3864,0.25,0.2818,0.2727,0.2409,0.35,0.2818,0.2909,0.2455,0.3864,0.2409,0.2923
3,0.3227,0.3864,0.0545,0.2591,0.2727,0.2409,0.35,0.2818,0.2909,0.2455,0.3864,0.0545,0.2704
4,0.3182,0.3773,0.0545,0.2591,0.2727,0.2409,0.35,0.2818,0.2909,0.2455,0.3773,0.0545,0.2691
5,0.3182,0.3773,0.0455,0.2545,0.2727,0.2409,0.35,0.2818,0.2909,0.1591,0.3773,0.0455,0.2591
6,0.3182,0.3773,0.0455,0.2545,0.2636,0.2409,0.35,0.2818,0.2773,0.1591,0.3773,0.0455,0.2568
7,0.3091,0.3773,0.0455,0.2545,0.2636,0.2409,0.35,0.2818,0.2773,0.1591,0.3773,0.0455,0.2559
8,0.3091,0.3773,0.3,0.25,0.2591,0.2409,0.35,0.0364,0.2773,0.1591,0.3773,0.0364,0.2559
9,0.3045,0.3773,0.3,0.2409,0.2591,0.2409,0.35,0.2318,0.2773,0.1591,0.3773,0.1591,0.2741
10,0.3045,0.3773,0.3,0.0364,0.3364,0.2409,0.35,0.0545,0.2773,0.1591,0.3773,0.0364,0.2436
11,0.3045,0.3773,0.3,0.0364,0.3364,0.0227,0.35,0.0545,0.2773,0.1591,0.3773,0.0227,0.2218
12,0.2773,0.3682,0.3,0.0364,0.3364,0.2318,0.35,0.0545,0.1864,0.1591,0.3682,0.0364,0.23
13,0.2773,0.3682,0.1864,0.2182,0.3364,0.2318,0.35,0.0545,0.2909,0.15,0.3682,0.0545,0.2464
14,0.1545,0.2727,0.1727,0.2682,0.3364,0.3,0.35,0.25,0.2909,0.15,0.35,0.15,0.2545
15,0.1545,0.2864,0.0455,0.2636,0.3364,0.2773,0.35,0.1318,0.1727,0.2409,0.35,0.0455,0.2259
16,0.0636,0.0773,0.0364,0.25,0.3364,0.2636,0.35,0.1682,0.1636,0.2409,0.35,0.0364,0.195
17,0.1727,0.2727,0.0227,0.2818,0.3318,0.2091,0.35,0.15,0.2409,0.2409,0.35,0.0227,0.2273
18,0.3091,0.2,0.0818,0.2682,0.3318,0.2773,0.35,0.15,0.1,0.2409,0.35,0.0818,0.2309
19,0.3091,0.2136,0.0227,0.2455,0.3318,0.2909,0.35,0.15,0.35,0.1,0.35,0.0227,0.2364
20,0.3091,0.1091,0.15,0.2455,0.0227,0.2909,0.35,0.15,0.2682,0.1,0.35,0.0227,0.1996
