timestamp,legacy_ac972,legacy_ac975,legacy_ac976,legacy_ac971,legacy_ac970,legacy_ac973,max,min,avg
0,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
1,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
2,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
3,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
4,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
5,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
6,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
7,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
8,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
9,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
10,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
11,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
12,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
13,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
14,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
15,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
16,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
17,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
18,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
19,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
20,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
21,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
22,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
23,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
24,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
25,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
26,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
27,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
28,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
29,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
30,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
31,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
32,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
33,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
34,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
35,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
36,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
37,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
38,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
39,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
40,0.4917,0.4878,0.4605,0.4595,0.4722,0.4478,0.4917,0.4478,0.4699
