timestamp,legacy_cs4231a8,legacy_cs4231a7,legacy_cs4231a6,legacy_cs4231a2,legacy_cs4231a1,legacy_cs4231a9,legacy_cs4231a3,legacy_cs4231a0,legacy_cs4231a4,legacy_cs4231a5,max,min,avg
0,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.3913,0.3623,0.3116,0.4565,0.2826,0.3355
1,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.3913,0.3623,0.3116,0.4565,0.2826,0.3355
2,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.3913,0.3623,0.3116,0.4565,0.2826,0.3355
3,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.3913,0.3623,0.3116,0.4565,0.2826,0.3355
4,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.3913,0.3623,0.3116,0.4565,0.2826,0.3355
5,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.3913,0.3623,0.3116,0.4565,0.2826,0.3355
6,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.3913,0.3623,0.3116,0.4565,0.2826,0.3355
7,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.3913,0.3623,0.3116,0.4565,0.2826,0.3355
8,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.4058,0.3623,0.3116,0.4565,0.2826,0.3369
9,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.4058,0.3623,0.3116,0.4565,0.2826,0.3369
10,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.4058,0.3623,0.3116,0.4565,0.2826,0.3369
11,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.4058,0.3623,0.3116,0.4565,0.2826,0.3369
12,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.4058,0.3623,0.3116,0.4565,0.2826,0.3369
13,0.2826,0.4565,0.3333,0.2826,0.3043,0.3261,0.3043,0.4058,0.3623,0.3116,0.4565,0.2826,0.3369
