timestamp,legacy_ee100pro4,legacy_ee100pro2,legacy_ee100pro7,legacy_ee100pro0,legacy_ee100pro5,legacy_ee100pro3,legacy_ee100pro6,legacy_ee100pro9,max,min,avg
0,0.3333,0.3264,0.4352,0.3356,0.331,0.3102,0.3889,0.4259,0.4352,0.3102,0.3608
3,0.3333,0.3264,0.4352,0.3356,0.331,0.3102,0.3889,0.4259,0.4352,0.3102,0.3608
4,0.3333,0.3264,0.4352,0.3356,0.331,0.3102,0.3889,0.4259,0.4352,0.3102,0.3608
5,0.3333,0.3264,0.4352,0.3356,0.331,0.3102,0.3889,0.4259,0.4352,0.3102,0.3608
6,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4259,0.4352,0.3102,0.3695
8,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4259,0.4352,0.3102,0.3695
9,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4259,0.4352,0.3102,0.3695
10,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4259,0.4352,0.3102,0.3695
11,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4259,0.4352,0.3102,0.3695
12,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4259,0.4352,0.3102,0.3695
13,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4259,0.4352,0.3102,0.3695
14,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4259,0.4352,0.3102,0.3695
15,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4606,0.4606,0.3102,0.3738
16,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4606,0.4606,0.3102,0.3738
17,0.3333,0.3264,0.4352,0.3356,0.4005,0.3102,0.3889,0.4606,0.4606,0.3102,0.3738
18,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.3889,0.4606,0.4606,0.3102,0.3811
19,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.3889,0.4606,0.4606,0.3102,0.3811
20,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.3889,0.4606,0.4606,0.3102,0.3811
22,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.3889,0.4606,0.4606,0.3102,0.3811
23,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
24,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
25,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
27,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
28,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
29,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
30,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
31,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
33,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
34,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
35,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
36,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
37,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
38,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
39,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
40,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
41,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
42,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
43,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
44,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
45,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
46,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
47,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
48,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
49,0.3333,0.3264,0.4352,0.3356,0.4583,0.3102,0.4074,0.4606,0.4606,0.3102,0.3834
