timestamp,legacy_floppy5,legacy_floppy1,legacy_floppy7,legacy_floppy4,legacy_floppy8,legacy_floppy0,legacy_floppy9,legacy_floppy3,legacy_floppy2,legacy_floppy6,max,min,avg
0,0.4756,0.4614,0.4553,0.4451,0.4553,0.4411,0.4695,0.4512,0.4634,0.4797,0.4797,0.4411,0.4598
1,0.4756,0.4614,0.4614,0.4472,0.4553,0.4411,0.4695,0.4512,0.4634,0.4797,0.4797,0.4411,0.4606
2,0.4756,0.4614,0.4614,0.4472,0.4553,0.4411,0.4695,0.4512,0.4634,0.4797,0.4797,0.4411,0.4606
3,0.4756,0.4614,0.4614,0.4472,0.4553,0.4411,0.4695,0.4512,0.4634,0.4797,0.4797,0.4411,0.4606
4,0.4756,0.4634,0.4614,0.4472,0.4553,0.4411,0.4695,0.4512,0.4634,0.4797,0.4797,0.4411,0.4608
5,0.4756,0.4634,0.4614,0.4472,0.4573,0.4411,0.4695,0.4512,0.4634,0.4797,0.4797,0.4411,0.461
6,0.4756,0.4634,0.4614,0.4472,0.4573,0.4411,0.4695,0.4512,0.4634,0.4797,0.4797,0.4411,0.461
7,0.4756,0.4634,0.4614,0.4492,0.4573,0.4451,0.4695,0.4512,0.4634,0.4797,0.4797,0.4451,0.4616
8,0.4756,0.4634,0.4614,0.4492,0.4573,0.4695,0.4695,0.4512,0.4634,0.4797,0.4797,0.4492,0.464
9,0.4756,0.4634,0.4614,0.4512,0.4573,0.4817,0.4695,0.4512,0.4634,0.4817,0.4817,0.4512,0.4656
10,0.4756,0.4634,0.4614,0.4533,0.4573,0.4817,0.4695,0.4512,0.4634,0.4817,0.4817,0.4512,0.4658
11,0.4756,0.4634,0.4614,0.4533,0.4573,0.4817,0.4695,0.4512,0.4634,0.4817,0.4817,0.4512,0.4658
12,0.4756,0.4634,0.4614,0.4654,0.4573,0.4817,0.4695,0.4512,0.4634,0.4817,0.4817,0.4512,0.4671
13,0.4756,0.4634,0.4614,0.4654,0.4573,0.4837,0.4695,0.4512,0.4634,0.4817,0.4837,0.4512,0.4673
14,0.4776,0.4634,0.4614,0.4654,0.4573,0.4837,0.4695,0.4512,0.4634,0.4817,0.4837,0.4512,0.4675
15,0.4776,0.4675,0.4614,0.4654,0.4573,0.4837,0.4695,0.4512,0.4634,0.4817,0.4837,0.4512,0.4679
16,0.4776,0.4675,0.4614,0.4654,0.4573,0.4837,0.4715,0.4512,0.4634,0.4817,0.4837,0.4512,0.4681
17,0.4776,0.4675,0.4614,0.4654,0.4573,0.4837,0.4715,0.4512,0.4634,0.4817,0.4837,0.4512,0.4681
18,0.4776,0.4675,0.4614,0.4654,0.4573,0.4837,0.4736,0.4512,0.4634,0.4817,0.4837,0.4512,0.4683
19,0.4776,0.4675,0.4614,0.4654,0.4573,0.4837,0.4736,0.4512,0.4634,0.4817,0.4837,0.4512,0.4683
20,0.4776,0.4675,0.4614,0.4654,0.4573,0.4837,0.4736,0.4512,0.4634,0.4817,0.4837,0.4512,0.4683
21,0.4776,0.4675,0.4614,0.4654,0.4573,0.4837,0.4736,0.4512,0.4634,0.4817,0.4837,0.4512,0.4683
22,0.4776,0.4756,0.4614,0.4654,0.4573,0.4837,0.4736,0.4512,0.4634,0.4817,0.4837,0.4512,0.4691
23,0.4776,0.4756,0.4614,0.4654,0.4573,0.4837,0.4736,0.4512,0.4634,0.4817,0.4837,0.4512,0.4691
24,0.4776,0.4756,0.4614,0.4654,0.4654,0.4837,0.4736,0.4512,0.4634,0.4817,0.4837,0.4512,0.4699
25,0.4776,0.4756,0.4614,0.4654,0.4654,0.4837,0.4736,0.4533,0.4634,0.4817,0.4837,0.4533,0.4701
26,0.4776,0.4756,0.4614,0.4654,0.4654,0.4837,0.4736,0.4573,0.4634,0.4817,0.4837,0.4573,0.4705
27,0.4776,0.4756,0.4614,0.4715,0.4654,0.4837,0.4736,0.4573,0.4634,0.4898,0.4898,0.4573,0.4719
