timestamp,legacy_intelhda7,legacy_intelhda6,legacy_intelhda0,legacy_intelhda4,legacy_intelhda8,legacy_intelhda3,legacy_intelhda5,legacy_intelhda2,legacy_intelhda1,legacy_intelhda9,max,min,avg
0,0.5435,0.6081,0.3468,0.6381,0.6922,0.4745,0.53,0.6111,0.509,0.7237,0.7237,0.3468,0.5677
3,0.5435,0.6081,0.3468,0.6381,0.6922,0.4745,0.53,0.6111,0.509,0.7237,0.7237,0.3468,0.5677
4,0.5435,0.6081,0.3468,0.6381,0.6922,0.4745,0.53,0.6111,0.509,0.7237,0.7237,0.3468,0.5677
5,0.5435,0.6081,0.3468,0.6381,0.6922,0.4745,0.53,0.6111,0.509,0.7237,0.7237,0.3468,0.5677
6,0.5435,0.6081,0.3468,0.7237,0.6997,0.4745,0.5495,0.6111,0.5991,0.7237,0.7237,0.3468,0.588
7,0.5435,0.6081,0.3468,0.7237,0.6997,0.4745,0.5495,0.6111,0.5991,0.7237,0.7237,0.3468,0.588
8,0.5435,0.6081,0.3468,0.7237,0.6997,0.4745,0.5495,0.6111,0.5991,0.7237,0.7237,0.3468,0.588
10,0.5435,0.6081,0.3468,0.7237,0.6997,0.4745,0.5495,0.6111,0.5991,0.7237,0.7237,0.3468,0.588
11,0.5435,0.6081,0.3468,0.7237,0.6997,0.4745,0.5495,0.6111,0.6411,0.7237,0.7237,0.3468,0.5922
12,0.5435,0.6081,0.3468,0.7237,0.7928,0.4745,0.6667,0.6111,0.6411,0.7237,0.7928,0.3468,0.6132
13,0.5435,0.6081,0.3468,0.7237,0.7928,0.4745,0.6667,0.6111,0.6411,0.7237,0.7928,0.3468,0.6132
14,0.5435,0.6081,0.6126,0.7237,0.7928,0.4745,0.6667,0.6111,0.6411,0.7237,0.7928,0.4745,0.6398
15,0.5435,0.6081,0.6126,0.7237,0.7928,0.4745,0.6667,0.6111,0.6411,0.7237,0.7928,0.4745,0.6398
16,0.5435,0.6081,0.6126,0.7237,0.7928,0.4745,0.6667,0.6111,0.6411,0.7297,0.7928,0.4745,0.6404
17,0.5435,0.6081,0.6126,0.7237,0.7928,0.4745,0.6667,0.6111,0.6411,0.7297,0.7928,0.4745,0.6404
18,0.5435,0.6081,0.6126,0.7237,0.7958,0.4745,0.6667,0.6111,0.6411,0.7297,0.7958,0.4745,0.6407
19,0.5435,0.6081,0.6126,0.7237,0.7958,0.4745,0.7162,0.6111,0.6411,0.7297,0.7958,0.4745,0.6456
20,0.5435,0.6081,0.6126,0.7237,0.7958,0.4745,0.7162,0.6111,0.6411,0.7297,0.7958,0.4745,0.6456
21,0.5435,0.6081,0.6126,0.7237,0.7958,0.4745,0.7162,0.6111,0.6411,0.7297,0.7958,0.4745,0.6456
22,0.5526,0.6081,0.6126,0.7237,0.7958,0.4745,0.7162,0.6111,0.6411,0.7297,0.7958,0.4745,0.6465
23,0.5526,0.6081,0.6126,0.7237,0.7958,0.4745,0.7162,0.6111,0.6411,0.7297,0.7958,0.4745,0.6465
24,0.5526,0.6081,0.6126,0.7237,0.7958,0.4745,0.7162,0.6111,0.6411,0.7297,0.7958,0.4745,0.6465
25,0.5526,0.6081,0.6126,0.7237,0.7988,0.4745,0.7162,0.6111,0.6411,0.7297,0.7988,0.4745,0.6468
26,0.5526,0.6081,0.6126,0.7237,0.7988,0.4745,0.7162,0.6111,0.6411,0.7297,0.7988,0.4745,0.6468
27,0.5526,0.6081,0.6126,0.7237,0.7988,0.4745,0.7162,0.6111,0.6411,0.7297,0.7988,0.4745,0.6468
28,0.5526,0.6081,0.6126,0.7237,0.7988,0.4745,0.7162,0.6111,0.6411,0.7297,0.7988,0.4745,0.6468
29,0.5526,0.6081,0.6126,0.7237,0.7988,0.4745,0.7162,0.6111,0.6411,0.7297,0.7988,0.4745,0.6468
30,0.5526,0.6081,0.6126,0.7237,0.7988,0.4745,0.7162,0.6111,0.6411,0.7297,0.7988,0.4745,0.6468
