timestamp,legacy_ne20007,legacy_ne20004,legacy_ne20001,legacy_ne20002,legacy_ne20003,legacy_ne20009,legacy_ne20006,legacy_ne20008,legacy_ne20000,legacy_ne20005,max,min,avg
0,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
1,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
2,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
3,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
4,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
5,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
6,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
7,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
8,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
9,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
10,0.1013,0.1681,0.1595,0.2328,0.2888,0.3621,0.1746,0.0841,0.3621,0.194,0.3621,0.0841,0.2127
11,0.1013,0.1681,0.1595,0.2328,0.2888,0.3642,0.1746,0.1595,0.3621,0.194,0.3642,0.1013,0.2205
12,0.1013,0.1681,0.1595,0.2328,0.2888,0.3642,0.1746,0.1595,0.3621,0.194,0.3642,0.1013,0.2205
13,0.1013,0.1681,0.1595,0.2328,0.2888,0.3642,0.1746,0.1595,0.3621,0.194,0.3642,0.1013,0.2205
14,0.1013,0.1681,0.1595,0.2328,0.2888,0.3642,0.2069,0.1595,0.3621,0.194,0.3642,0.1013,0.2237
