timestamp,legacy_rtl81397,legacy_rtl81399,legacy_rtl81393,legacy_rtl81395,legacy_rtl81391,legacy_rtl81394,legacy_rtl81396,legacy_rtl81390,legacy_rtl81392,max,min,avg
0,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
1,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
2,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
3,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
4,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
5,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
6,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
7,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
8,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
9,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
10,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
11,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
12,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
13,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
14,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
15,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
16,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
17,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
18,0.3189,0.3637,0.3509,0.3489,0.375,0.3026,0.2773,0.2586,0.2784,0.375,0.2586,0.3194
19,0.3189,0.3637,0.3509,0.3489,0.3879,0.3026,0.2773,0.2586,0.2784,0.3879,0.2586,0.3208
20,0.3189,0.3637,0.3509,0.3489,0.3879,0.3026,0.2784,0.2586,0.2784,0.3879,0.2586,0.3209
21,0.3189,0.3637,0.3509,0.3489,0.3879,0.3026,0.2784,0.2586,0.2784,0.3879,0.2586,0.3209
22,0.3189,0.3637,0.3509,0.3489,0.3879,0.3026,0.2784,0.2586,0.2784,0.3879,0.2586,0.3209
23,0.3189,0.3637,0.3509,0.3489,0.3879,0.3026,0.2784,0.2586,0.2784,0.3879,0.2586,0.3209
24,0.3189,0.3637,0.3509,0.3489,0.3879,0.3026,0.2784,0.2586,0.2784,0.3879,0.2586,0.3209
25,0.3189,0.3637,0.3509,0.3489,0.3879,0.3026,0.2784,0.2586,0.2784,0.3879,0.2586,0.3209
