timestamp,legacy_sb169,legacy_sb161,legacy_sb162,legacy_sb160,legacy_sb167,legacy_sb165,legacy_sb163,legacy_sb168,legacy_sb164,max,min,avg
0,0.3271,0.3041,0.2518,0.2465,0.2473,0.2482,0.2518,0.258,0.2553,0.3271,0.2465,0.2656
1,0.3271,0.3041,0.2518,0.2465,0.2473,0.2482,0.2518,0.258,0.2553,0.3271,0.2465,0.2656
2,0.3271,0.3041,0.2518,0.2465,0.2473,0.2482,0.2518,0.258,0.2553,0.3271,0.2465,0.2656
3,0.3271,0.3041,0.2518,0.2465,0.2473,0.2482,0.2518,0.258,0.2553,0.3271,0.2465,0.2656
4,0.3271,0.3041,0.2518,0.2465,0.2473,0.2482,0.2518,0.258,0.2553,0.3271,0.2465,0.2656
5,0.3271,0.3041,0.2518,0.2465,0.2473,0.2482,0.2518,0.258,0.2553,0.3271,0.2465,0.2656
6,0.3271,0.3041,0.2518,0.2465,0.2473,0.2482,0.2518,0.258,0.2553,0.3271,0.2465,0.2656
7,0.3271,0.3041,0.2518,0.2465,0.2473,0.2482,0.2518,0.258,0.2553,0.3271,0.2465,0.2656
8,0.3271,0.3041,0.2518,0.2465,0.2473,0.2482,0.2518,0.258,0.2553,0.3271,0.2465,0.2656
9,0.3271,0.3041,0.2518,0.2465,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2465,0.2658
10,0.3271,0.3041,0.2518,0.2465,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2465,0.2658
11,0.3271,0.3041,0.2518,0.2465,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2465,0.2658
12,0.3271,0.3041,0.2518,0.2465,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2465,0.2658
13,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
14,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
15,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
16,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
17,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
18,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
19,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
20,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
21,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
22,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
23,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
24,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
25,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
26,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
27,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
28,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
29,0.3271,0.3041,0.2518,0.2482,0.2473,0.25,0.2518,0.258,0.2553,0.3271,0.2473,0.266
30,0.3271,0.3041,0.2518,0.2482,0.2491,0.25,0.2544,0.258,0.2553,0.3271,0.2482,0.2664
31,0.3271,0.3041,0.2571,0.2482,0.2491,0.25,0.2544,0.258,0.2553,0.3271,0.2482,0.267
32,0.3271,0.3041,0.2571,0.2482,0.2491,0.25,0.2544,0.258,0.2553,0.3271,0.2482,0.267
33,0.3271,0.3041,0.2571,0.2509,0.2491,0.25,0.2544,0.258,0.2553,0.3271,0.2491,0.2673
34,0.3271,0.3041,0.2571,0.2509,0.2491,0.25,0.2544,0.258,0.2553,0.3271,0.2491,0.2673
35,0.3271,0.3041,0.2571,0.2509,0.2491,0.2518,0.2544,0.258,0.2553,0.3271,0.2491,0.2675
36,0.3271,0.3041,0.2571,0.2509,0.2491,0.3112,0.2544,0.258,0.2553,0.3271,0.2491,0.2741
37,0.3271,0.3041,0.2571,0.2509,0.2491,0.3112,0.2544,0.258,0.2553,0.3271,0.2491,0.2741
38,0.3271,0.3041,0.2571,0.2509,0.2491,0.3129,0.2544,0.258,0.2553,0.3271,0.2491,0.2743
