timestamp,legacy_sdhci3,legacy_sdhci9,legacy_sdhci6,legacy_sdhci4,legacy_sdhci7,legacy_sdhci2,legacy_sdhci5,legacy_sdhci8,legacy_sdhci1,legacy_sdhci0,max,min,avg
0,0.3435,0.3048,0.3371,0.3355,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3274
1,0.3435,0.3048,0.3371,0.3355,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3274
2,0.3435,0.3048,0.3371,0.3355,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3274
3,0.3435,0.3048,0.3371,0.3355,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3274
4,0.3484,0.3048,0.3371,0.3355,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3279
5,0.3484,0.3048,0.3371,0.3355,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3279
6,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3287
7,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3287
8,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3287
9,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3516,0.3145,0.3081,0.3419,0.3516,0.3048,0.3287
10,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3516,0.3145,0.3081,0.3435,0.3516,0.3048,0.3289
11,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3516,0.3145,0.3081,0.3468,0.3516,0.3048,0.3292
12,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3516,0.3145,0.3081,0.3468,0.3516,0.3048,0.3292
13,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3516,0.3145,0.3081,0.3468,0.3516,0.3048,0.3292
14,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3516,0.3145,0.3081,0.3468,0.3516,0.3048,0.3292
15,0.3484,0.3048,0.3387,0.3419,0.3226,0.3145,0.3758,0.3145,0.3081,0.3468,0.3758,0.3048,0.3316
16,0.3484,0.3048,0.3387,0.3419,0.3274,0.3145,0.3758,0.3145,0.3081,0.3468,0.3758,0.3048,0.3321
17,0.3484,0.3048,0.3387,0.3419,0.3274,0.3145,0.3758,0.3145,0.3081,0.3468,0.3758,0.3048,0.3321
18,0.3484,0.3048,0.3387,0.3419,0.3274,0.3145,0.3758,0.3145,0.3081,0.3468,0.3758,0.3048,0.3321
19,0.3484,0.3048,0.3387,0.3419,0.329,0.3145,0.3758,0.3242,0.3081,0.3468,0.3758,0.3048,0.3332
