timestamp,qemu_xhci4,qemu_xhci9,qemu_xhci0,qemu_xhci7,qemu_xhci8,qemu_xhci1,qemu_xhci3,qemu_xhci6,max,min,avg
0,0.4815,0.4783,0.4837,0.4848,0.4859,0.4815,0.4902,0.4837,0.4902,0.4783,0.4837
1,0.4815,0.4783,0.4837,0.4848,0.487,0.4815,0.4913,0.4837,0.4913,0.4783,0.484
2,0.4837,0.4783,0.4902,0.487,0.487,0.4815,0.4913,0.487,0.4913,0.4783,0.4858
3,0.4837,0.4783,0.5098,0.488,0.487,0.5163,0.4924,0.487,0.5163,0.4783,0.4928
4,0.4837,0.512,0.5098,0.5185,0.487,0.5163,0.5293,0.4946,0.5293,0.4837,0.5064
5,0.4902,0.512,0.5098,0.5185,0.487,0.5163,0.5293,0.5152,0.5293,0.487,0.5098
6,0.5,0.512,0.5098,0.5185,0.487,0.5163,0.5293,0.5228,0.5293,0.487,0.512
7,0.5217,0.512,0.5098,0.5185,0.487,0.5163,0.5293,0.5228,0.5293,0.487,0.5147
8,0.5239,0.5141,0.5098,0.5185,0.487,0.5163,0.5293,0.5228,0.5293,0.487,0.5152
9,0.5239,0.5141,0.5098,0.5185,0.487,0.5174,0.5293,0.5228,0.5293,0.487,0.5153
10,0.5239,0.5141,0.5098,0.5185,0.5239,0.5174,0.5293,0.5228,0.5293,0.5098,0.52
11,0.5239,0.5141,0.5098,0.5185,0.5239,0.5174,0.5293,0.5228,0.5293,0.5098,0.52
12,0.5272,0.5141,0.5098,0.5185,0.5272,0.5174,0.5293,0.5228,0.5293,0.5098,0.5208
13,0.5283,0.5141,0.5098,0.5185,0.5272,0.5174,0.5293,0.5228,0.5293,0.5098,0.5209
14,0.5293,0.5141,0.5098,0.5196,0.5272,0.5174,0.5293,0.5228,0.5293,0.5098,0.5212
15,0.5293,0.5141,0.5098,0.5196,0.5283,0.5174,0.5293,0.5228,0.5293,0.5098,0.5213
16,0.5293,0.5141,0.5098,0.5196,0.5283,0.5174,0.5293,0.5228,0.5293,0.5098,0.5213
17,0.5391,0.5141,0.5098,0.5196,0.5283,0.5174,0.5293,0.5228,0.5391,0.5098,0.5225
18,0.5391,0.5152,0.5098,0.5196,0.5283,0.5185,0.5293,0.5228,0.5391,0.5098,0.5228
19,0.5391,0.5152,0.5098,0.5196,0.5283,0.5185,0.5304,0.5228,0.5391,0.5098,0.523
20,0.5391,0.5152,0.5098,0.5196,0.5283,0.5185,0.5304,0.5228,0.5391,0.5098,0.523
21,0.5391,0.5152,0.5098,0.5196,0.5283,0.5185,0.5304,0.5228,0.5391,0.5098,0.523
22,0.5391,0.5152,0.513,0.5196,0.5283,0.5185,0.5304,0.5228,0.5391,0.513,0.5234
23,0.5391,0.5152,0.513,0.5196,0.5283,0.5185,0.5304,0.5337,0.5391,0.513,0.5247
24,0.5435,0.5152,0.513,0.5196,0.5283,0.5185,0.5304,0.538,0.5435,0.513,0.5258
25,0.5435,0.5152,0.5152,0.5196,0.5283,0.5185,0.5304,0.538,0.5435,0.5152,0.5261
26,0.5435,0.5152,0.5152,0.5196,0.5283,0.5185,0.5304,0.538,0.5435,0.5152,0.5261
27,0.5435,0.5152,0.5152,0.5196,0.5283,0.5185,0.5304,0.538,0.5435,0.5152,0.5261
28,0.5435,0.5152,0.5185,0.5196,0.5283,0.5185,0.5304,0.538,0.5435,0.5152,0.5265
29,0.5435,0.5152,0.5185,0.5196,0.5293,0.5207,0.5304,0.538,0.5435,0.5152,0.5269
30,0.5435,0.5152,0.5185,0.5196,0.5293,0.5293,0.5304,0.538,0.5435,0.5152,0.528
31,0.5435,0.5152,0.5272,0.5196,0.5293,0.5293,0.5315,0.5391,0.5435,0.5152,0.5293
32,0.5446,0.5152,0.5348,0.5217,0.5304,0.5315,0.5315,0.5391,0.5446,0.5152,0.5311
33,0.5446,0.5152,0.5348,0.5217,0.5304,0.5315,0.5315,0.5402,0.5446,0.5152,0.5312
34,0.5446,0.5163,0.537,0.5217,0.5304,0.5315,0.5315,0.5402,0.5446,0.5163,0.5316
35,0.5446,0.5163,0.537,0.5239,0.5304,0.5337,0.5315,0.5402,0.5446,0.5163,0.5322
36,0.5446,0.5293,0.5391,0.5239,0.5304,0.5402,0.537,0.5402,0.5446,0.5239,0.5356
37,0.5446,0.5293,0.5391,0.5239,0.5304,0.5402,0.537,0.5402,0.5446,0.5239,0.5356
38,0.5467,0.5293,0.5391,0.5239,0.5304,0.5424,0.537,0.5402,0.5467,0.5239,0.5361
