timestamp,qemu_xhci4,qemu_xhci1,qemu_xhci0,qemu_xhci8,qemu_xhci5,qemu_xhci9,qemu_xhci2,qemu_xhci3,qemu_xhci6,qemu_xhci7,max,min,avg
0,0.1685,0.175,0.1717,0.1652,0.1717,0.1598,0.0,0.163,0.1641,0.1728,0.175,0.0,0.1512
1,0.15,0.1565,0.1641,0.1609,0.1565,0.1598,0.1565,0.1522,0.1609,0.1511,0.1641,0.15,0.1568
2,0.15,0.1565,0.15,0.15,0.1576,0.15,0.1511,0.1511,0.1543,0.1511,0.1576,0.15,0.1522
3,0.15,0.2054,0.15,0.1511,0.1685,0.175,0.2043,0.1826,0.1641,0.1891,0.2054,0.15,0.174
4,0.2098,0.2054,0.1989,0.1522,0.1663,0.1804,0.2033,0.1793,0.1576,0.187,0.2098,0.1522,0.184
5,0.2098,0.2054,0.1978,0.1641,0.1728,0.1598,0.2033,0.1783,0.15,0.1793,0.2098,0.15,0.1821
6,0.2043,0.2054,0.1957,0.1804,0.1815,0.0,0.2033,0.1837,0.2522,0.1793,0.2522,0.0,0.1786
7,0.2043,0.2054,0.1946,0.1793,0.0,0.0,0.188,0.1674,0.2489,0.1793,0.2489,0.0,0.1567
8,0.2033,0.2043,0.1946,0.1543,0.1815,0.2076,0.187,0.1674,0.2489,0.1783,0.2489,0.1543,0.1927
9,0.2033,0.2043,0.1924,0.1533,0.1815,0.2076,0.1859,0.1674,0.2489,0.175,0.2489,0.1533,0.192
10,0.2054,0.2043,0.1859,0.15,0.187,0.2076,0.1848,0.1859,0.2272,0.1739,0.2272,0.15,0.1912
11,0.2054,0.2033,0.1783,0.2065,0.15,0.2076,0.1848,0.1728,0.2228,0.1739,0.2228,0.15,0.1905
12,0.2054,0.2033,0.1728,0.2,0.1891,0.1989,0.1804,0.1511,0.2228,0.1652,0.2228,0.1511,0.1889
13,0.2043,0.2033,0.188,0.1913,0.1837,0.1989,0.1804,0.1511,0.2228,0.1652,0.2228,0.1511,0.1889
14,0.2043,0.2022,0.1793,0.2054,0.1891,0.1989,0.2011,0.1511,0.2239,0.1848,0.2239,0.1511,0.194
15,0.2022,0.2022,0.1793,0.2054,0.1891,0.1978,0.2011,0.1859,0.2239,0.1848,0.2239,0.1793,0.1972
16,0.1967,0.2011,0.1793,0.2054,0.1891,0.1978,0.2,0.1859,0.2239,0.1783,0.2239,0.1783,0.1957
17,0.1967,0.2011,0.1717,0.2054,0.1826,0.1978,0.2,0.1859,0.2217,0.1783,0.2217,0.1717,0.1941
18,0.188,0.1978,0.1674,0.2054,0.1913,0.1978,0.1957,0.2152,0.2098,0.1717,0.2152,0.1674,0.194
19,0.1848,0.188,0.1772,0.2054,0.1913,0.1967,0.1957,0.2152,0.2087,0.1717,0.2152,0.1717,0.1935
20,0.1848,0.1837,0.1772,0.2033,0.1913,0.1967,0.1957,0.1913,0.2,0.1717,0.2033,0.1717,0.1896
21,0.1848,0.1728,0.1772,0.2043,0.1902,0.1967,0.1957,0.1913,0.2272,0.15,0.2272,0.15,0.189
22,0.1728,0.187,0.1717,0.2022,0.188,0.1967,0.1957,0.1913,0.2272,0.1511,0.2272,0.1511,0.1884
23,0.1728,0.1826,0.1717,0.2022,0.188,0.1935,0.1957,0.1913,0.225,0.1511,0.225,0.1511,0.1874
24,0.1761,0.1826,0.1717,0.2022,0.1848,0.1935,0.1957,0.1913,0.225,0.2043,0.225,0.1717,0.1927
25,0.1761,0.2043,0.1935,0.2011,0.1848,0.1935,0.188,0.1902,0.2207,0.2033,0.2207,0.1761,0.1956
26,0.2076,0.2043,0.1935,0.1935,0.1837,0.1902,0.2022,0.1902,0.2207,0.2033,0.2207,0.1837,0.1989
27,0.2076,0.1989,0.1935,0.1935,0.1685,0.1717,0.2022,0.1902,0.212,0.2033,0.212,0.1685,0.1941
28,0.2011,0.1913,0.1935,0.1511,0.2011,0.1717,0.188,0.187,0.212,0.1978,0.212,0.1511,0.1895
29,0.1978,0.1913,0.1924,0.1957,0.1989,0.1717,0.188,0.187,0.1935,0.1978,0.1989,0.1717,0.1914
30,0.1957,0.175,0.1924,0.1967,0.1924,0.2076,0.188,0.187,0.1935,0.1957,0.2076,0.175,0.1924
31,0.1924,0.175,0.1924,0.1967,0.1924,0.2076,0.188,0.187,0.2533,0.1957,0.2533,0.175,0.1981
32,0.1891,0.175,0.1924,0.1967,0.1924,0.2065,0.188,0.212,0.2272,0.1957,0.2272,0.175,0.1975
33,0.188,0.175,0.1924,0.1967,0.2,0.2054,0.188,0.212,0.2174,0.1957,0.2174,0.175,0.1971
34,0.188,0.175,0.1565,0.1967,0.2,0.2054,0.188,0.212,0.2141,0.1957,0.2141,0.1565,0.1931
35,0.188,0.1793,0.1511,0.1967,0.1978,0.2043,0.188,0.212,0.212,0.1957,0.212,0.1511,0.1925
36,0.1913,0.1793,0.2076,0.1967,0.1989,0.1989,0.2043,0.212,0.212,0.15,0.212,0.15,0.1951
37,0.1902,0.2054,0.1804,0.1543,0.1511,0.1989,0.2043,0.1978,0.212,0.1554,0.212,0.1511,0.185
38,0.1902,0.1967,0.2011,0.1859,0.2033,0.1989,0.1511,0.1848,0.212,0.2033,0.212,0.1511,0.1927
39,0.1848,0.1902,0.2011,0.1511,0.2033,0.1989,0.1511,0.1848,0.212,0.2315,0.2315,0.1511,0.1909
