timestamp,es13701,es13708,es13706,es13700,es13703,es13709,es13707,es13702,es13704,es13705,max,min,avg
47,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247
51,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.142,0.142,0.0247,0.0364
52,0.3272,0.1605,0.2531,0.2531,0.1605,0.2654,0.2654,0.3025,0.2593,0.1605,0.3272,0.1605,0.2408
53,0.3272,0.2593,0.2593,0.2531,0.321,0.3148,0.2654,0.3025,0.2654,0.1605,0.3272,0.1605,0.2728
54,0.3272,0.2593,0.2593,0.2654,0.321,0.3457,0.2654,0.3025,0.2654,0.1605,0.3457,0.1605,0.2772
55,0.3272,0.2593,0.2593,0.3148,0.321,0.3457,0.3148,0.3025,0.2654,0.1605,0.3457,0.1605,0.2871
56,0.3272,0.2654,0.2593,0.3148,0.321,0.3457,0.3148,0.3025,0.2716,0.1605,0.3457,0.1605,0.2883
57,0.3272,0.2654,0.2593,0.3148,0.3333,0.4012,0.3148,0.3457,0.2778,0.1728,0.4012,0.1728,0.3012
58,0.3272,0.2654,0.2593,0.3148,0.3333,0.4012,0.3148,0.3457,0.2778,0.1728,0.4012,0.1728,0.3012
59,0.3272,0.2716,0.2593,0.3148,0.3457,0.4012,0.3272,0.3519,0.3272,0.1728,0.4012,0.1728,0.3099
60,0.3272,0.2716,0.2593,0.3148,0.3457,0.4012,0.3272,0.3519,0.3272,0.1728,0.4012,0.1728,0.3099
61,0.3272,0.2716,0.2593,0.3148,0.3457,0.5432,0.3272,0.3519,0.3272,0.1728,0.5432,0.1728,0.3241
62,0.3272,0.2716,0.3086,0.3148,0.3457,0.5494,0.3272,0.3519,0.3272,0.2654,0.5494,0.2654,0.3389
63,0.3333,0.2778,0.3086,0.3272,0.3519,0.5494,0.3272,0.3519,0.3272,0.2654,0.5494,0.2654,0.342
64,0.3333,0.2778,0.3086,0.3333,0.3519,0.5556,0.3272,0.3519,0.3272,0.2654,0.5556,0.2654,0.3432
65,0.3333,0.284,0.3086,0.3333,0.3519,0.5556,0.3395,0.3519,0.3272,0.2654,0.5556,0.2654,0.3451
66,0.3333,0.284,0.3086,0.3333,0.3519,0.5556,0.3395,0.3519,0.3272,0.2654,0.5556,0.2654,0.3451
67,0.3333,0.284,0.3148,0.3333,0.3519,0.5617,0.3395,0.3642,0.3272,0.2654,0.5617,0.2654,0.3475
68,0.3395,0.284,0.3148,0.3704,0.3519,0.5617,0.3395,0.3642,0.3272,0.2654,0.5617,0.2654,0.3519
69,0.3395,0.284,0.3148,0.3704,0.3519,0.5617,0.3395,0.3642,0.3272,0.2654,0.5617,0.2654,0.3519
70,0.3395,0.284,0.321,0.3704,0.3519,0.5617,0.3457,0.3642,0.3272,0.2654,0.5617,0.2654,0.3531
71,0.3395,0.284,0.321,0.3704,0.3519,0.5617,0.3457,0.3642,0.3272,0.2654,0.5617,0.2654,0.3531
72,0.3457,0.284,0.321,0.3704,0.3519,0.5617,0.3457,0.3642,0.3333,0.2654,0.5617,0.2654,0.3543
73,0.3457,0.284,0.321,0.3704,0.3519,0.5617,0.3457,0.3642,0.3333,0.2654,0.5617,0.2654,0.3543
74,0.3519,0.284,0.321,0.3704,0.3519,0.5617,0.3457,0.3642,0.3333,0.2654,0.5617,0.2654,0.3549
75,0.3519,0.284,0.321,0.3704,0.3519,0.5617,0.4074,0.3642,0.3333,0.2654,0.5617,0.2654,0.3611
76,0.3519,0.284,0.321,0.3704,0.3519,0.5617,0.4198,0.3642,0.3333,0.2654,0.5617,0.2654,0.3624
77,0.3519,0.284,0.321,0.3704,0.3519,0.5617,0.4198,0.3642,0.3333,0.2654,0.5617,0.2654,0.3624
78,0.3519,0.284,0.321,0.3704,0.3519,0.5617,0.4198,0.3642,0.3333,0.2654,0.5617,0.2654,0.3624
79,0.358,0.284,0.321,0.3704,0.3519,0.5617,0.4198,0.3642,0.3333,0.2654,0.5617,0.2654,0.363
80,0.358,0.284,0.321,0.3704,0.3519,0.5617,0.4198,0.3642,0.3395,0.2654,0.5617,0.2654,0.3636
81,0.358,0.284,0.321,0.3704,0.3519,0.5617,0.4198,0.3642,0.3395,0.2654,0.5617,0.2654,0.3636
82,0.358,0.2901,0.321,0.3704,0.3519,0.5617,0.4198,0.3642,0.3395,0.3148,0.5617,0.2901,0.3691
83,0.358,0.2901,0.321,0.3704,0.3519,0.5617,0.4198,0.3642,0.3395,0.3148,0.5617,0.2901,0.3691
84,0.358,0.2901,0.321,0.3704,0.358,0.5617,0.4198,0.3642,0.3395,0.3148,0.5617,0.2901,0.3698
85,0.358,0.2901,0.321,0.3704,0.4691,0.5617,0.4198,0.3642,0.3395,0.3148,0.5617,0.2901,0.3809
86,0.358,0.2901,0.321,0.3704,0.4691,0.5617,0.4259,0.3642,0.3395,0.3148,0.5617,0.2901,0.3815
87,0.358,0.2901,0.321,0.3704,0.4691,0.5617,0.4259,0.3642,0.3457,0.3148,0.5617,0.2901,0.3821
88,0.358,0.2901,0.321,0.3704,0.4691,0.5617,0.4259,0.3642,0.3519,0.3148,0.5617,0.2901,0.3827
89,0.358,0.2901,0.321,0.3704,0.4691,0.5617,0.4259,0.3642,0.3519,0.3148,0.5617,0.2901,0.3827
90,0.358,0.2901,0.321,0.3704,0.4691,0.5679,0.4259,0.3642,0.3519,0.321,0.5679,0.2901,0.384
91,0.358,0.2901,0.321,0.3704,0.4691,0.5679,0.4259,0.3642,0.3519,0.321,0.5679,0.2901,0.384
92,0.358,0.2901,0.321,0.3704,0.4753,0.5679,0.4259,0.3642,0.3519,0.321,0.5679,0.2901,0.3846
93,0.358,0.2901,0.321,0.3704,0.4753,0.5679,0.4259,0.3642,0.3519,0.321,0.5679,0.2901,0.3846
94,0.358,0.2901,0.321,0.3704,0.4753,0.5679,0.4259,0.3642,0.3519,0.321,0.5679,0.2901,0.3846
95,0.358,0.2901,0.321,0.3704,0.4753,0.5679,0.4259,0.3642,0.3519,0.321,0.5679,0.2901,0.3846
96,0.358,0.2901,0.321,0.3704,0.4753,0.5679,0.4259,0.3642,0.3519,0.321,0.5679,0.2901,0.3846
97,0.358,0.2901,0.321,0.3704,0.4753,0.5679,0.4259,0.3642,0.3519,0.321,0.5679,0.2901,0.3846
98,0.358,0.2901,0.321,0.3704,0.4753,0.5679,0.5309,0.3704,0.3519,0.321,0.5679,0.2901,0.3957
99,0.358,0.2901,0.321,0.3704,0.4753,0.5679,0.5309,0.3704,0.3519,0.321,0.5679,0.2901,0.3957
100,0.358,0.2901,0.321,0.3704,0.4753,0.5741,0.5309,0.3704,0.3519,0.321,0.5741,0.2901,0.3963
101,0.358,0.2901,0.321,0.3704,0.4753,0.5802,0.5309,0.3704,0.4198,0.321,0.5802,0.2901,0.4037
102,0.358,0.2901,0.321,0.3704,0.4815,0.5802,0.5309,0.3704,0.4198,0.321,0.5802,0.2901,0.4043
103,0.358,0.2901,0.321,0.3704,0.4815,0.5802,0.5309,0.3704,0.4198,0.321,0.5802,0.2901,0.4043
104,0.358,0.2901,0.321,0.3951,0.4815,0.5802,0.5309,0.3704,0.4198,0.321,0.5802,0.2901,0.4068
105,0.358,0.2901,0.321,0.3951,0.4815,0.5802,0.5309,0.3704,0.4198,0.321,0.5802,0.2901,0.4068
106,0.358,0.3457,0.3272,0.3951,0.4815,0.5802,0.5309,0.3704,0.4198,0.321,0.5802,0.321,0.413
107,0.358,0.3457,0.3272,0.3951,0.4815,0.5802,0.5309,0.3704,0.4198,0.3272,0.5802,0.3272,0.4136
108,0.358,0.3457,0.3272,0.3951,0.4877,0.5802,0.5309,0.3704,0.4198,0.3272,0.5802,0.3272,0.4142
109,0.358,0.3457,0.3272,0.3951,0.4877,0.5802,0.5309,0.3704,0.4383,0.3272,0.5802,0.3272,0.4161
110,0.358,0.3519,0.3333,0.3951,0.4877,0.5802,0.5309,0.3704,0.4383,0.3272,0.5802,0.3272,0.4173
111,0.358,0.3519,0.3333,0.3951,0.4877,0.5802,0.5309,0.3704,0.4383,0.3272,0.5802,0.3272,0.4173
112,0.358,0.3519,0.3333,0.4012,0.4877,0.5802,0.5309,0.3704,0.4383,0.3272,0.5802,0.3272,0.4179
113,0.358,0.3519,0.3333,0.4012,0.4877,0.5802,0.5309,0.3704,0.4383,0.3272,0.5802,0.3272,0.4179
114,0.358,0.3519,0.3333,0.4012,0.4877,0.5802,0.5309,0.3704,0.4383,0.3272,0.5802,0.3272,0.4179
115,0.358,0.3519,0.3333,0.4012,0.4877,0.5802,0.5309,0.3704,0.4383,0.3272,0.5802,0.3272,0.4179
116,0.358,0.3519,0.3333,0.4012,0.4877,0.5802,0.5309,0.3704,0.4383,0.3272,0.5802,0.3272,0.4179
117,0.358,0.3519,0.3333,0.5062,0.4877,0.5802,0.5309,0.3704,0.4444,0.3272,0.5802,0.3272,0.429
118,0.358,0.3519,0.3333,0.5062,0.4877,0.5802,0.5309,0.3704,0.4444,0.3272,0.5802,0.3272,0.429
119,0.358,0.3519,0.3333,0.5062,0.4877,0.5802,0.5309,0.3704,0.4444,0.3272,0.5802,0.3272,0.429
