timestamp,cs4231a5,cs4231a2,cs4231a4,cs4231a8,cs4231a1,cs4231a7,cs4231a3,cs4231a6,cs4231a9,cs4231a0,max,min,avg
0,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
4,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
5,0.0072,0.0435,0.058,0.029,0.0072,0.0072,0.029,0.0072,0.058,0.029,0.058,0.0072,0.0275
6,0.0072,0.0435,0.058,0.029,0.029,0.029,0.0652,0.0072,0.058,0.058,0.0652,0.0072,0.0384
7,0.058,0.0435,0.058,0.029,0.029,0.029,0.0652,0.0072,0.058,0.058,0.0652,0.0072,0.0435
8,0.058,0.058,0.058,0.029,0.029,0.029,0.0652,0.0072,0.058,0.0652,0.0652,0.0072,0.0457
9,0.058,0.058,0.058,0.029,0.029,0.029,0.0652,0.0072,0.058,0.0652,0.0652,0.0072,0.0457
10,0.0652,0.058,0.058,0.029,0.029,0.029,0.0652,0.0072,0.058,0.0652,0.0652,0.0072,0.0464
11,0.0652,0.058,0.058,0.029,0.029,0.029,0.0652,0.0435,0.058,0.0652,0.0652,0.029,0.05
12,0.0652,0.058,0.058,0.0652,0.029,0.029,0.0652,0.0435,0.058,0.0652,0.0652,0.029,0.0536
13,0.0652,0.058,0.058,0.0652,0.029,0.029,0.0652,0.058,0.058,0.0652,0.0652,0.029,0.0551
14,0.0652,0.058,0.058,0.0652,0.029,0.029,0.0652,0.058,0.058,0.0652,0.0652,0.029,0.0551
15,0.0652,0.058,0.058,0.0652,0.029,0.029,0.0652,0.058,0.058,0.0652,0.0652,0.029,0.0551
16,0.0652,0.058,0.058,0.0652,0.0652,0.029,0.0652,0.058,0.058,0.0652,0.0652,0.029,0.0587
17,0.0652,0.058,0.058,0.0652,0.1087,0.058,0.0652,0.058,0.058,0.0652,0.1087,0.058,0.066
18,0.0652,0.1159,0.058,0.0652,0.1087,0.058,0.0652,0.058,0.058,0.0652,0.1159,0.058,0.0717
19,0.0652,0.1159,0.058,0.0652,0.1087,0.058,0.0652,0.058,0.058,0.0652,0.1159,0.058,0.0717
20,0.0652,0.1232,0.058,0.0652,0.1087,0.0652,0.0652,0.1014,0.058,0.0652,0.1232,0.058,0.0775
21,0.1087,0.1232,0.058,0.0652,0.1087,0.0652,0.0652,0.1014,0.058,0.0652,0.1232,0.058,0.0819
22,0.1087,0.1232,0.058,0.0652,0.1087,0.0652,0.0652,0.1014,0.058,0.0652,0.1232,0.058,0.0819
23,0.1087,0.1232,0.058,0.0652,0.1087,0.0652,0.0652,0.1232,0.058,0.0652,0.1232,0.058,0.0841
24,0.1087,0.1232,0.058,0.0652,0.1087,0.0652,0.0652,0.1232,0.058,0.0652,0.1232,0.058,0.0841
25,0.1087,0.1232,0.058,0.0652,0.1087,0.1087,0.0652,0.1232,0.058,0.0652,0.1232,0.058,0.0884
26,0.1087,0.1232,0.058,0.0652,0.1087,0.1087,0.0652,0.1232,0.058,0.0652,0.1232,0.058,0.0884
27,0.1087,0.1232,0.058,0.0652,0.1087,0.1087,0.0652,0.1232,0.058,0.0652,0.1232,0.058,0.0884
28,0.1087,0.2174,0.058,0.0652,0.1087,0.1087,0.0652,0.1232,0.058,0.0652,0.2174,0.058,0.0978
29,0.1087,0.2174,0.058,0.0652,0.1087,0.1087,0.0652,0.1304,0.058,0.0652,0.2174,0.058,0.0985
30,0.1087,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1304,0.1812,0.0652,0.2174,0.0652,0.1116
31,0.1087,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1304,0.1812,0.0652,0.2174,0.0652,0.1116
32,0.1087,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1304,0.1812,0.0652,0.2174,0.0652,0.1116
33,0.1087,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1304,0.1812,0.0652,0.2174,0.0652,0.1116
34,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
35,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
36,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
37,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
38,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
39,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
40,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
41,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
42,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
43,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
44,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
45,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
46,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
47,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
48,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
49,0.1232,0.2174,0.0652,0.0652,0.1087,0.1087,0.0652,0.1377,0.1812,0.0652,0.2174,0.0652,0.1138
50,0.1232,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.1377,0.1812,0.0652,0.2319,0.0652,0.1239
51,0.1232,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.1377,0.1812,0.0652,0.2319,0.0652,0.1239
52,0.1232,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.1377,0.1812,0.0652,0.2319,0.0652,0.1239
53,0.1232,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.1377,0.2609,0.0652,0.2609,0.0652,0.1319
54,0.1232,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.1377,0.2681,0.0652,0.2681,0.0652,0.1326
55,0.1232,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.2319,0.2681,0.0652,0.2681,0.0652,0.142
56,0.1232,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.2319,0.2681,0.0652,0.2681,0.0652,0.142
57,0.1377,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.2319,0.2681,0.0652,0.2681,0.0652,0.1435
58,0.1377,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.2319,0.2681,0.0652,0.2681,0.0652,0.1435
59,0.1377,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.2319,0.2681,0.0652,0.2681,0.0652,0.1435
60,0.1377,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.2319,0.2681,0.0652,0.2681,0.0652,0.1435
61,0.1377,0.2319,0.1087,0.0652,0.1087,0.1087,0.1087,0.2319,0.2681,0.0652,0.2681,0.0652,0.1435
62,0.1377,0.2464,0.1087,0.0652,0.1087,0.1087,0.1087,0.2319,0.2681,0.0652,0.2681,0.0652,0.1449
63,0.2391,0.2464,0.1087,0.0652,0.1087,0.1304,0.1087,0.2319,0.2681,0.1087,0.2681,0.0652,0.1616
64,0.2391,0.2464,0.1087,0.0652,0.1087,0.1304,0.1087,0.2319,0.2681,0.1087,0.2681,0.0652,0.1616
