timestamp,floppy2,floppy0,floppy8,floppy9,floppy5,floppy6,floppy4,floppy7,floppy1,floppy3,max,min,avg
0,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041
3,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041
4,0.2041,0.2041,0.2204,0.2204,0.2041,0.2286,0.2041,0.2245,0.2041,0.2041,0.2286,0.2041,0.2119
5,0.2204,0.2041,0.2245,0.2306,0.2204,0.2286,0.2041,0.2265,0.2041,0.2265,0.2306,0.2041,0.219
6,0.2245,0.2204,0.2245,0.2327,0.2204,0.2286,0.2204,0.2265,0.2041,0.2286,0.2327,0.2041,0.2231
7,0.2245,0.2204,0.2245,0.2327,0.2204,0.2286,0.2245,0.2327,0.2041,0.2286,0.2327,0.2041,0.2241
8,0.2245,0.2306,0.2306,0.2327,0.2204,0.2286,0.2245,0.2327,0.2041,0.2286,0.2327,0.2041,0.2257
9,0.2245,0.2306,0.2306,0.2327,0.2204,0.2286,0.2245,0.2327,0.2041,0.2286,0.2327,0.2041,0.2257
10,0.2245,0.2306,0.2327,0.2327,0.2204,0.2286,0.2245,0.2327,0.2245,0.2286,0.2327,0.2204,0.228
11,0.2265,0.2306,0.2327,0.2347,0.2204,0.2286,0.2245,0.2327,0.2245,0.2286,0.2347,0.2204,0.2284
12,0.2286,0.2327,0.2327,0.2347,0.2245,0.2347,0.2265,0.2327,0.2245,0.2286,0.2347,0.2245,0.23
13,0.2286,0.2327,0.2327,0.2347,0.2245,0.2347,0.2265,0.2327,0.2265,0.2286,0.2347,0.2245,0.2302
14,0.2286,0.2327,0.2327,0.2347,0.2245,0.2469,0.2265,0.2327,0.2265,0.2286,0.2469,0.2245,0.2314
15,0.2286,0.2327,0.2327,0.2347,0.2245,0.2469,0.2265,0.2327,0.2265,0.2286,0.2469,0.2245,0.2314
16,0.2286,0.2327,0.2327,0.2347,0.2245,0.2469,0.2265,0.2347,0.2265,0.2286,0.2469,0.2245,0.2316
17,0.2286,0.2327,0.2327,0.2347,0.2245,0.2469,0.2265,0.2347,0.2286,0.2286,0.2469,0.2245,0.2319
18,0.2286,0.2327,0.2347,0.2347,0.2245,0.2469,0.2265,0.2347,0.2286,0.2286,0.2469,0.2245,0.2321
19,0.2286,0.2327,0.2347,0.2347,0.2265,0.2469,0.2265,0.2347,0.2286,0.2286,0.2469,0.2265,0.2323
20,0.2286,0.2327,0.2347,0.2347,0.2265,0.2469,0.2265,0.2347,0.2286,0.2286,0.2469,0.2265,0.2323
21,0.2286,0.2327,0.2347,0.2347,0.2265,0.2469,0.2286,0.2347,0.2286,0.2286,0.2469,0.2265,0.2325
22,0.2286,0.2347,0.2408,0.2347,0.2265,0.2469,0.2286,0.2347,0.2286,0.2286,0.2469,0.2265,0.2333
23,0.2286,0.2347,0.2408,0.2347,0.2265,0.2469,0.2286,0.2347,0.2286,0.2347,0.2469,0.2265,0.2339
24,0.2286,0.2347,0.2408,0.2347,0.2265,0.2531,0.2347,0.2347,0.2347,0.2347,0.2531,0.2265,0.2357
25,0.2286,0.2347,0.2408,0.2347,0.2265,0.2531,0.2347,0.2347,0.2347,0.2347,0.2531,0.2265,0.2357
26,0.2286,0.2347,0.2408,0.2347,0.2265,0.2531,0.2347,0.2347,0.2347,0.2347,0.2531,0.2265,0.2357
27,0.2286,0.2347,0.2408,0.2347,0.2265,0.2531,0.2347,0.2347,0.2347,0.2347,0.2531,0.2265,0.2357
28,0.2286,0.2347,0.2408,0.2347,0.2265,0.2531,0.2469,0.2347,0.2347,0.2408,0.2531,0.2265,0.2376
29,0.2286,0.2347,0.2408,0.2347,0.2265,0.2592,0.2469,0.2408,0.2347,0.2408,0.2592,0.2265,0.2388
30,0.2286,0.2347,0.2408,0.2347,0.2265,0.2592,0.2469,0.2408,0.2347,0.2408,0.2592,0.2265,0.2388
31,0.2347,0.2347,0.2408,0.2347,0.2265,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2265,0.24
32,0.2347,0.2347,0.2551,0.2347,0.2265,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2265,0.2414
33,0.2347,0.2347,0.2551,0.2347,0.2265,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2265,0.2414
34,0.2347,0.2347,0.2551,0.2347,0.2265,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2265,0.2414
35,0.2347,0.2347,0.2551,0.2347,0.2265,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2265,0.2414
36,0.2347,0.2347,0.2551,0.2347,0.2265,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2265,0.2414
37,0.2347,0.2347,0.2551,0.2347,0.2265,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2265,0.2414
38,0.2347,0.2347,0.2551,0.2347,0.2265,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2265,0.2414
39,0.2347,0.2347,0.2551,0.2347,0.2265,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2265,0.2414
40,0.2347,0.2347,0.2551,0.2347,0.2286,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2286,0.2416
41,0.2347,0.2347,0.2551,0.2347,0.2286,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2286,0.2416
42,0.2347,0.2347,0.2551,0.2347,0.2286,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2286,0.2416
43,0.2347,0.2347,0.2551,0.2347,0.2286,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2286,0.2416
44,0.2347,0.2347,0.2551,0.2347,0.2286,0.2592,0.2469,0.2408,0.2408,0.2408,0.2592,0.2286,0.2416
