timestamp,ne2k_pci4,ne2k_pci0,ne2k_pci5,ne2k_pci6,ne2k_pci8,ne2k_pci1,ne2k_pci3,ne2k_pci7,ne2k_pci9,ne2k_pci2,max,min,avg
0,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091
4,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091
5,0.0318,0.0545,0.0409,0.05,0.0773,0.1682,0.0545,0.1455,0.1227,0.0409,0.1682,0.0318,0.0786
6,0.1273,0.0818,0.1227,0.05,0.1636,0.1727,0.0545,0.15,0.1364,0.1227,0.1727,0.05,0.1182
7,0.1318,0.1636,0.1227,0.0545,0.1636,0.1864,0.0818,0.1545,0.1682,0.1227,0.1864,0.0545,0.135
8,0.1591,0.1636,0.1318,0.0545,0.1636,0.1864,0.0818,0.1545,0.1682,0.1227,0.1864,0.0545,0.1386
9,0.1591,0.1636,0.1318,0.0545,0.1636,0.1864,0.0818,0.1545,0.1955,0.1227,0.1955,0.0545,0.1414
10,0.1591,0.1636,0.15,0.0545,0.1727,0.1864,0.0818,0.1864,0.2182,0.1455,0.2182,0.0545,0.1518
11,0.1591,0.1636,0.15,0.0545,0.1727,0.1864,0.0818,0.1864,0.2182,0.1455,0.2182,0.0545,0.1518
12,0.1591,0.1636,0.1545,0.0545,0.1727,0.1909,0.0818,0.1909,0.2182,0.15,0.2182,0.0545,0.1536
13,0.1591,0.1636,0.1545,0.0545,0.1727,0.1909,0.0818,0.1909,0.2182,0.15,0.2182,0.0545,0.1536
14,0.1636,0.1727,0.1545,0.0545,0.1727,0.2,0.0818,0.1909,0.2182,0.15,0.2182,0.0545,0.1559
15,0.1636,0.1773,0.1545,0.0545,0.1727,0.2,0.1636,0.1909,0.2182,0.15,0.2182,0.0545,0.1645
16,0.1636,0.1773,0.1545,0.0545,0.1727,0.2909,0.1636,0.1909,0.2182,0.1773,0.2909,0.0545,0.1763
17,0.1636,0.1773,0.1545,0.0545,0.1727,0.2909,0.1636,0.1909,0.2182,0.2864,0.2909,0.0545,0.1873
18,0.1636,0.1773,0.1545,0.0545,0.1727,0.2909,0.1636,0.1909,0.2182,0.2864,0.2909,0.0545,0.1873
19,0.1636,0.1773,0.1545,0.0545,0.1773,0.2909,0.1636,0.1909,0.2182,0.2864,0.2909,0.0545,0.1877
20,0.1636,0.1773,0.1545,0.0545,0.1773,0.2909,0.1636,0.1909,0.2182,0.2864,0.2909,0.0545,0.1877
21,0.1636,0.1773,0.1545,0.0545,0.1773,0.2909,0.1727,0.1909,0.2182,0.2864,0.2909,0.0545,0.1886
22,0.1636,0.1773,0.1545,0.1455,0.1773,0.2909,0.1727,0.1909,0.2182,0.2864,0.2909,0.1455,0.1977
23,0.1636,0.1818,0.1545,0.15,0.2045,0.2909,0.1727,0.1909,0.2182,0.2909,0.2909,0.15,0.2018
24,0.1682,0.1818,0.1818,0.15,0.2045,0.2955,0.1727,0.1909,0.2182,0.2909,0.2955,0.15,0.2054
25,0.1682,0.1818,0.1818,0.15,0.2045,0.2955,0.1727,0.1909,0.2182,0.2909,0.2955,0.15,0.2054
26,0.1682,0.1818,0.1818,0.15,0.2045,0.2955,0.1727,0.1909,0.2182,0.2909,0.2955,0.15,0.2054
27,0.1682,0.1818,0.1864,0.15,0.2045,0.2955,0.1773,0.1909,0.2182,0.2909,0.2955,0.15,0.2064
28,0.1682,0.1818,0.1909,0.15,0.2136,0.2955,0.1773,0.1909,0.2182,0.2909,0.2955,0.15,0.2077
29,0.1682,0.1818,0.1909,0.15,0.2136,0.3,0.1773,0.1909,0.2182,0.2909,0.3,0.15,0.2082
30,0.1682,0.1864,0.1909,0.15,0.2136,0.3,0.1773,0.1909,0.2318,0.2909,0.3,0.15,0.21
31,0.1682,0.1864,0.1909,0.15,0.2136,0.3091,0.1773,0.1909,0.2318,0.2909,0.3091,0.15,0.2109
32,0.1682,0.1864,0.1909,0.15,0.2136,0.3091,0.1773,0.1909,0.2409,0.2909,0.3091,0.15,0.2118
33,0.1682,0.1909,0.1909,0.15,0.2136,0.3091,0.1818,0.1909,0.2409,0.2909,0.3091,0.15,0.2127
34,0.1682,0.1909,0.1909,0.15,0.2136,0.3091,0.1818,0.1909,0.2409,0.2909,0.3091,0.15,0.2127
35,0.1682,0.1909,0.2182,0.1545,0.2136,0.3091,0.2091,0.1909,0.2409,0.2909,0.3091,0.1545,0.2186
36,0.1682,0.1909,0.2182,0.1545,0.2136,0.3091,0.2091,0.1909,0.2409,0.2909,0.3091,0.1545,0.2186
37,0.1682,0.1909,0.2182,0.1545,0.3045,0.3091,0.2136,0.1909,0.2409,0.2909,0.3091,0.1545,0.2282
38,0.1682,0.1909,0.2182,0.1545,0.3045,0.3091,0.2227,0.1909,0.2409,0.2909,0.3091,0.1545,0.2291
39,0.1682,0.1909,0.2182,0.1545,0.3091,0.3091,0.2227,0.1909,0.2409,0.2909,0.3091,0.1545,0.2295
40,0.1682,0.2182,0.2182,0.1545,0.3091,0.3091,0.2227,0.1909,0.2409,0.2909,0.3091,0.1545,0.2323
41,0.1682,0.2182,0.2182,0.1545,0.3091,0.3091,0.2227,0.1909,0.2409,0.2909,0.3091,0.1545,0.2323
42,0.1682,0.2182,0.2227,0.1591,0.3091,0.3091,0.2227,0.1909,0.2409,0.2909,0.3091,0.1591,0.2332
43,0.1682,0.2227,0.2227,0.1591,0.3091,0.3091,0.2227,0.1909,0.2409,0.2909,0.3091,0.1591,0.2336
44,0.1682,0.2227,0.2227,0.1591,0.3091,0.3091,0.2273,0.1909,0.2409,0.2909,0.3091,0.1591,0.2341
45,0.1682,0.2227,0.2227,0.1591,0.3091,0.3091,0.2273,0.1909,0.2409,0.2909,0.3091,0.1591,0.2341
46,0.1682,0.2227,0.2227,0.1591,0.3091,0.3091,0.2273,0.1909,0.2455,0.3182,0.3182,0.1591,0.2373
47,0.1682,0.2227,0.2227,0.1591,0.3182,0.3136,0.2273,0.1909,0.2455,0.3182,0.3182,0.1591,0.2386
48,0.1682,0.2227,0.3091,0.1591,0.3182,0.3136,0.2273,0.1909,0.2455,0.3182,0.3182,0.1591,0.2473
49,0.2727,0.3273,0.3091,0.1591,0.3182,0.3136,0.2273,0.1909,0.2455,0.3182,0.3273,0.1591,0.2682
50,0.2773,0.3273,0.3091,0.1864,0.3182,0.3136,0.2273,0.1909,0.2455,0.3182,0.3273,0.1864,0.2714
51,0.2773,0.3273,0.3091,0.1864,0.3182,0.3136,0.2273,0.1909,0.2455,0.3182,0.3273,0.1864,0.2714
52,0.2773,0.3273,0.3136,0.1864,0.3182,0.3273,0.2318,0.1909,0.2455,0.3182,0.3273,0.1864,0.2737
53,0.2773,0.3273,0.3136,0.1864,0.3273,0.3273,0.2455,0.1909,0.3364,0.3182,0.3364,0.1864,0.285
54,0.2773,0.3273,0.3136,0.1864,0.3273,0.3273,0.2455,0.1909,0.3409,0.3182,0.3409,0.1864,0.2855
55,0.2773,0.3273,0.3318,0.1864,0.3273,0.3273,0.2455,0.1909,0.3409,0.3182,0.3409,0.1864,0.2873
56,0.2773,0.3273,0.3318,0.1864,0.3273,0.3273,0.2455,0.1909,0.3409,0.3182,0.3409,0.1864,0.2873
57,0.2773,0.3273,0.3318,0.1864,0.3273,0.3273,0.2455,0.1909,0.3409,0.3182,0.3409,0.1864,0.2873
58,0.2955,0.3273,0.3318,0.1864,0.3273,0.3273,0.2455,0.2182,0.3409,0.3182,0.3409,0.1864,0.2918
59,0.2955,0.3273,0.3318,0.1864,0.3318,0.3273,0.2455,0.2182,0.3409,0.3182,0.3409,0.1864,0.2923
60,0.2955,0.3273,0.3318,0.1864,0.3318,0.3273,0.2455,0.2182,0.3409,0.3182,0.3409,0.1864,0.2923
61,0.2955,0.3273,0.3318,0.1864,0.3318,0.3273,0.2455,0.2182,0.3409,0.3182,0.3409,0.1864,0.2923
62,0.2955,0.3273,0.3318,0.1864,0.3318,0.3273,0.2455,0.2182,0.3409,0.3182,0.3409,0.1864,0.2923
63,0.2955,0.3273,0.3318,0.1864,0.3318,0.3273,0.2455,0.2227,0.35,0.3182,0.35,0.1864,0.2937
64,0.3045,0.3273,0.3318,0.1864,0.3318,0.3273,0.2455,0.2227,0.35,0.3182,0.35,0.1864,0.2945
65,0.3045,0.3273,0.3318,0.1864,0.3318,0.3273,0.2455,0.2227,0.35,0.3182,0.35,0.1864,0.2945
66,0.3045,0.3318,0.3318,0.1864,0.3318,0.3273,0.2455,0.2227,0.3545,0.3182,0.3545,0.1864,0.2954
67,0.3045,0.3318,0.3318,0.1864,0.3318,0.3273,0.2455,0.2227,0.3545,0.3182,0.3545,0.1864,0.2954
68,0.3045,0.3318,0.3318,0.1864,0.3318,0.3545,0.2455,0.2227,0.3545,0.3182,0.3545,0.1864,0.2982
69,0.3045,0.3318,0.3318,0.1864,0.3318,0.3545,0.2455,0.2227,0.3545,0.3182,0.3545,0.1864,0.2982
70,0.3045,0.3318,0.3318,0.1864,0.3318,0.3545,0.2455,0.2227,0.3545,0.3182,0.3545,0.1864,0.2982
71,0.3045,0.3364,0.3318,0.1864,0.3318,0.3636,0.2455,0.2227,0.3591,0.3182,0.3636,0.1864,0.3
72,0.3045,0.3364,0.3318,0.1864,0.3318,0.3636,0.2455,0.2227,0.3636,0.3182,0.3636,0.1864,0.3004
73,0.3045,0.3364,0.3318,0.1864,0.3318,0.3636,0.2455,0.2227,0.3636,0.3182,0.3636,0.1864,0.3004
74,0.3045,0.3364,0.3318,0.1864,0.3318,0.3727,0.2455,0.2273,0.3636,0.3182,0.3727,0.1864,0.3018
75,0.3045,0.3364,0.3318,0.1955,0.3318,0.3727,0.2455,0.2273,0.3636,0.3182,0.3727,0.1955,0.3027
76,0.3045,0.3364,0.3318,0.1955,0.3318,0.3727,0.2455,0.2273,0.3636,0.3182,0.3727,0.1955,0.3027
77,0.3045,0.3364,0.3318,0.1955,0.3318,0.3727,0.2455,0.2273,0.3636,0.3227,0.3727,0.1955,0.3032
78,0.3045,0.3364,0.3364,0.1955,0.3318,0.3727,0.25,0.2273,0.3636,0.3227,0.3727,0.1955,0.3041
79,0.3045,0.3364,0.3364,0.1955,0.3318,0.3727,0.25,0.2273,0.3636,0.3227,0.3727,0.1955,0.3041
80,0.3045,0.3364,0.3364,0.1955,0.3318,0.3727,0.25,0.2273,0.3727,0.3227,0.3727,0.1955,0.305
81,0.3045,0.3364,0.3364,0.1955,0.3318,0.3727,0.25,0.2273,0.3727,0.3227,0.3727,0.1955,0.305
82,0.3045,0.3364,0.3364,0.1955,0.3318,0.3727,0.25,0.2273,0.3727,0.3227,0.3727,0.1955,0.305
83,0.3045,0.3364,0.3364,0.1955,0.3318,0.3727,0.25,0.2273,0.3727,0.3318,0.3727,0.1955,0.3059
84,0.3045,0.3364,0.3364,0.1955,0.3318,0.3727,0.25,0.2273,0.3727,0.3318,0.3727,0.1955,0.3059
85,0.3045,0.3364,0.3364,0.1955,0.3364,0.3727,0.25,0.2409,0.3727,0.3318,0.3727,0.1955,0.3077
86,0.3045,0.3364,0.3364,0.1955,0.3364,0.3727,0.25,0.2409,0.3727,0.3318,0.3727,0.1955,0.3077
87,0.3091,0.3364,0.3364,0.1955,0.3364,0.3727,0.25,0.2409,0.3727,0.3318,0.3727,0.1955,0.3082
88,0.3091,0.3364,0.3364,0.1955,0.3364,0.3727,0.25,0.2409,0.3727,0.3318,0.3727,0.1955,0.3082
89,0.3091,0.3364,0.3364,0.1955,0.3364,0.3727,0.25,0.2409,0.3727,0.3318,0.3727,0.1955,0.3082
90,0.3091,0.3364,0.3364,0.1955,0.3364,0.3727,0.25,0.2409,0.3727,0.3318,0.3727,0.1955,0.3082
91,0.3091,0.3364,0.3364,0.1955,0.3364,0.3818,0.25,0.2409,0.3727,0.3318,0.3818,0.1955,0.3091
92,0.3091,0.3364,0.3364,0.2182,0.3455,0.3818,0.25,0.2409,0.3727,0.3318,0.3818,0.2182,0.3123
93,0.3091,0.3364,0.3364,0.2182,0.3455,0.3818,0.25,0.2409,0.3727,0.3318,0.3818,0.2182,0.3123
94,0.3091,0.3364,0.3364,0.2182,0.3455,0.3818,0.25,0.2409,0.3727,0.3318,0.3818,0.2182,0.3123
95,0.3091,0.3364,0.3364,0.2182,0.3455,0.3818,0.2545,0.2409,0.3727,0.3318,0.3818,0.2182,0.3127
96,0.3091,0.3364,0.3364,0.2182,0.3455,0.3818,0.2545,0.2409,0.3727,0.3318,0.3818,0.2182,0.3127
97,0.3091,0.3364,0.3364,0.2182,0.3455,0.3818,0.2545,0.2409,0.3727,0.3318,0.3818,0.2182,0.3127
98,0.3091,0.3364,0.3364,0.2182,0.3455,0.3818,0.2545,0.2409,0.3727,0.3318,0.3818,0.2182,0.3127
99,0.3091,0.3364,0.3364,0.2182,0.3455,0.3818,0.2545,0.2409,0.3727,0.3318,0.3818,0.2182,0.3127
100,0.3091,0.3364,0.3364,0.2182,0.3455,0.3818,0.2545,0.2409,0.3727,0.3318,0.3818,0.2182,0.3127
101,0.3091,0.3364,0.3364,0.2182,0.35,0.3818,0.2545,0.2409,0.3727,0.3318,0.3818,0.2182,0.3132
102,0.3091,0.3364,0.3364,0.2182,0.35,0.3818,0.2545,0.2409,0.3727,0.3318,0.3818,0.2182,0.3132
103,0.3091,0.3364,0.3364,0.2273,0.35,0.3909,0.2545,0.2455,0.3727,0.3318,0.3909,0.2273,0.3155
104,0.3091,0.3364,0.3364,0.2273,0.35,0.3909,0.2545,0.2455,0.3727,0.3318,0.3909,0.2273,0.3155
105,0.3091,0.3364,0.3364,0.2364,0.35,0.3909,0.2545,0.2455,0.3727,0.3318,0.3909,0.2364,0.3164
106,0.3091,0.3364,0.3364,0.2364,0.35,0.3909,0.2545,0.2455,0.3727,0.3318,0.3909,0.2364,0.3164
107,0.3091,0.3364,0.3364,0.2364,0.35,0.3955,0.2545,0.25,0.3727,0.3318,0.3955,0.2364,0.3173
108,0.3091,0.3364,0.3364,0.2364,0.35,0.3955,0.2545,0.25,0.3727,0.3318,0.3955,0.2364,0.3173
