timestamp,ohci9,ohci6,ohci8,ohci2,ohci1,ohci4,ohci5,ohci7,ohci0,ohci3,max,min,avg
0,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526
4,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526
5,0.1147,0.156,0.0526,0.0526,0.0526,0.1053,0.1109,0.0526,0.0545,0.0526,0.156,0.0526,0.0804
6,0.1823,0.1673,0.1034,0.0526,0.0526,0.1053,0.1109,0.0526,0.1109,0.0526,0.1823,0.0526,0.099
7,0.1823,0.1673,0.1053,0.0526,0.0526,0.1053,0.1541,0.0545,0.1109,0.0526,0.1823,0.0526,0.1038
8,0.1842,0.1805,0.1598,0.0526,0.0526,0.1053,0.1541,0.0545,0.1222,0.0602,0.1842,0.0526,0.1126
9,0.1842,0.1805,0.1598,0.109,0.1071,0.1109,0.1541,0.1015,0.1466,0.1128,0.1842,0.1015,0.1366
10,0.1898,0.1805,0.1598,0.109,0.1071,0.1165,0.1541,0.1015,0.1466,0.1147,0.1898,0.1015,0.138
11,0.1917,0.1805,0.1635,0.1147,0.1071,0.1165,0.156,0.1015,0.1485,0.1147,0.1917,0.1015,0.1395
12,0.1917,0.1823,0.1635,0.1147,0.1071,0.1165,0.156,0.1015,0.203,0.1147,0.203,0.1015,0.1451
13,0.1917,0.1823,0.1635,0.1147,0.1071,0.1184,0.156,0.1015,0.2086,0.1654,0.2086,0.1015,0.1509
14,0.1917,0.1842,0.1635,0.1147,0.1071,0.1184,0.156,0.1015,0.2086,0.1654,0.2086,0.1015,0.1511
15,0.1936,0.1842,0.1673,0.1165,0.1109,0.1184,0.1598,0.1015,0.2105,0.1654,0.2105,0.1015,0.1528
16,0.1974,0.1842,0.1673,0.1165,0.1109,0.1203,0.2049,0.1541,0.2105,0.1673,0.2105,0.1109,0.1633
17,0.1992,0.1842,0.1673,0.1184,0.1109,0.1203,0.2049,0.1541,0.2105,0.1673,0.2105,0.1109,0.1637
18,0.1992,0.1842,0.1673,0.1184,0.1617,0.1203,0.2049,0.1541,0.2105,0.1673,0.2105,0.1184,0.1688
19,0.1992,0.1842,0.1673,0.1184,0.1617,0.1203,0.2049,0.1541,0.2124,0.1673,0.2124,0.1184,0.169
20,0.1992,0.188,0.1673,0.1184,0.1673,0.1203,0.2068,0.1541,0.2124,0.1673,0.2124,0.1184,0.1701
21,0.2011,0.188,0.1673,0.1184,0.1673,0.1203,0.2068,0.1541,0.2124,0.1673,0.2124,0.1184,0.1703
22,0.2011,0.188,0.1673,0.1184,0.1673,0.1203,0.2068,0.1541,0.2124,0.1673,0.2124,0.1184,0.1703
23,0.2011,0.188,0.1673,0.1184,0.1673,0.1203,0.2105,0.1541,0.218,0.1673,0.218,0.1184,0.1712
24,0.2011,0.188,0.1673,0.1184,0.1729,0.1203,0.2105,0.1541,0.2199,0.1748,0.2199,0.1184,0.1727
25,0.2011,0.188,0.1673,0.1184,0.1729,0.1203,0.2124,0.1617,0.2199,0.1748,0.2199,0.1184,0.1737
26,0.203,0.1898,0.1673,0.1184,0.1729,0.1203,0.2124,0.1617,0.2199,0.1748,0.2199,0.1184,0.1741
27,0.203,0.1898,0.1729,0.1184,0.1729,0.1203,0.2162,0.1617,0.2199,0.1748,0.2199,0.1184,0.175
28,0.203,0.1898,0.1767,0.1184,0.1729,0.1203,0.2162,0.1617,0.2218,0.1748,0.2218,0.1184,0.1756
29,0.203,0.1898,0.1767,0.1184,0.1729,0.1203,0.2162,0.1617,0.2218,0.1748,0.2218,0.1184,0.1756
30,0.2086,0.1898,0.1767,0.1184,0.1729,0.1203,0.2162,0.1617,0.2237,0.1805,0.2237,0.1184,0.1769
31,0.2086,0.1898,0.1767,0.1184,0.1729,0.1203,0.2162,0.1635,0.2237,0.1805,0.2237,0.1184,0.1771
32,0.2086,0.1898,0.1767,0.1184,0.1729,0.1203,0.218,0.1635,0.2237,0.1805,0.2237,0.1184,0.1772
33,0.2105,0.1974,0.1767,0.1184,0.1748,0.1203,0.218,0.1635,0.2237,0.1805,0.2237,0.1184,0.1784
34,0.2105,0.1974,0.1786,0.1184,0.1748,0.1222,0.218,0.1635,0.2237,0.1842,0.2237,0.1184,0.1791
35,0.2124,0.1974,0.1786,0.1184,0.1767,0.1222,0.218,0.1635,0.2237,0.1842,0.2237,0.1184,0.1795
36,0.2124,0.1974,0.1823,0.1184,0.1767,0.1222,0.218,0.1635,0.2237,0.1842,0.2237,0.1184,0.1799
37,0.2124,0.2124,0.1823,0.1184,0.1767,0.1241,0.2199,0.1635,0.2237,0.1842,0.2237,0.1184,0.1818
38,0.2124,0.2124,0.1823,0.1184,0.1767,0.1241,0.2199,0.1635,0.2237,0.1842,0.2237,0.1184,0.1818
39,0.2124,0.2143,0.1823,0.1184,0.1767,0.1259,0.2199,0.1654,0.2256,0.1936,0.2256,0.1184,0.1835
40,0.2124,0.2143,0.1842,0.1184,0.1767,0.1278,0.2199,0.1654,0.2256,0.1936,0.2256,0.1184,0.1838
41,0.2143,0.2162,0.1842,0.1203,0.1767,0.1278,0.2199,0.1673,0.2256,0.2068,0.2256,0.1203,0.1859
42,0.2143,0.2162,0.1842,0.1203,0.1767,0.1278,0.2199,0.1711,0.2256,0.2068,0.2256,0.1203,0.1863
43,0.2143,0.2162,0.1842,0.1203,0.1767,0.1278,0.2199,0.1711,0.2256,0.2086,0.2256,0.1203,0.1865
44,0.2143,0.2162,0.1842,0.1203,0.1767,0.1278,0.2199,0.1711,0.2256,0.2086,0.2256,0.1203,0.1865
45,0.2143,0.218,0.1842,0.1222,0.1767,0.1278,0.2199,0.1711,0.2256,0.2086,0.2256,0.1222,0.1868
46,0.2143,0.218,0.1842,0.1222,0.1767,0.1278,0.2199,0.1711,0.2256,0.2124,0.2256,0.1222,0.1872
47,0.2143,0.2199,0.1842,0.1222,0.1767,0.1278,0.2199,0.1711,0.2274,0.2124,0.2274,0.1222,0.1876
48,0.2143,0.2199,0.1842,0.1222,0.1767,0.1278,0.2199,0.1767,0.2274,0.218,0.2274,0.1222,0.1887
49,0.2143,0.2199,0.1842,0.1222,0.1767,0.1278,0.2199,0.2049,0.2274,0.218,0.2274,0.1222,0.1915
50,0.2143,0.2237,0.1842,0.1222,0.1786,0.1278,0.2199,0.2049,0.2274,0.2199,0.2274,0.1222,0.1923
51,0.2143,0.2256,0.1842,0.1222,0.1786,0.1278,0.2237,0.2049,0.2274,0.2199,0.2274,0.1222,0.1929
52,0.2143,0.2256,0.1842,0.1222,0.1786,0.1278,0.2237,0.2049,0.2293,0.2199,0.2293,0.1222,0.193
53,0.2143,0.2256,0.1842,0.1222,0.1786,0.1278,0.2256,0.2068,0.2293,0.2218,0.2293,0.1222,0.1936
54,0.2143,0.2256,0.2086,0.1222,0.1786,0.1278,0.2256,0.2068,0.2293,0.2218,0.2293,0.1222,0.1961
55,0.2143,0.2256,0.2086,0.1222,0.1786,0.1297,0.2256,0.2068,0.2462,0.2218,0.2462,0.1222,0.1979
56,0.2143,0.2256,0.2086,0.1259,0.1786,0.1297,0.2256,0.2068,0.2462,0.2274,0.2462,0.1259,0.1989
57,0.2143,0.2256,0.2086,0.1259,0.1786,0.1297,0.2256,0.2068,0.2462,0.2274,0.2462,0.1259,0.1989
58,0.2143,0.2256,0.2086,0.1259,0.1786,0.1297,0.2274,0.2068,0.2462,0.2274,0.2462,0.1259,0.1991
59,0.2143,0.2256,0.2086,0.1259,0.1786,0.1297,0.2274,0.2068,0.2462,0.2274,0.2462,0.1259,0.1991
60,0.2162,0.25,0.2086,0.1259,0.1786,0.1297,0.2274,0.2068,0.2462,0.2274,0.25,0.1259,0.2017
61,0.2162,0.25,0.2086,0.1259,0.1786,0.1297,0.2274,0.2105,0.2462,0.2274,0.25,0.1259,0.202
62,0.2162,0.25,0.2105,0.1259,0.1786,0.1767,0.2274,0.2105,0.2481,0.2274,0.25,0.1259,0.2071
63,0.2162,0.25,0.2105,0.1259,0.1786,0.1767,0.2274,0.2105,0.25,0.2274,0.25,0.1259,0.2073
64,0.218,0.2519,0.2105,0.1259,0.1786,0.1767,0.2274,0.2105,0.2538,0.2274,0.2538,0.1259,0.2081
65,0.2218,0.2519,0.2124,0.1259,0.1786,0.1767,0.2274,0.2105,0.2538,0.2274,0.2538,0.1259,0.2086
66,0.2218,0.2519,0.2124,0.1259,0.1786,0.1767,0.2274,0.2105,0.2538,0.2274,0.2538,0.1259,0.2086
67,0.2218,0.2519,0.2124,0.1259,0.1805,0.1767,0.2331,0.2143,0.2538,0.2274,0.2538,0.1259,0.2098
68,0.2218,0.2519,0.2124,0.1259,0.1805,0.1767,0.2331,0.2143,0.2538,0.2274,0.2538,0.1259,0.2098
69,0.2218,0.2519,0.2124,0.1259,0.1805,0.1767,0.235,0.2143,0.2556,0.2293,0.2556,0.1259,0.2103
70,0.2218,0.2519,0.2124,0.1259,0.1805,0.1767,0.235,0.2143,0.2556,0.2293,0.2556,0.1259,0.2103
71,0.2218,0.2519,0.2124,0.1259,0.1805,0.1767,0.235,0.2162,0.2556,0.2293,0.2556,0.1259,0.2105
72,0.2218,0.2538,0.2124,0.1259,0.1805,0.1767,0.235,0.2162,0.2556,0.2293,0.2556,0.1259,0.2107
73,0.2218,0.2538,0.2312,0.1259,0.1805,0.1786,0.235,0.2162,0.2556,0.2293,0.2556,0.1259,0.2128
74,0.2218,0.2575,0.2312,0.1259,0.1805,0.1786,0.2387,0.2162,0.2556,0.2293,0.2575,0.1259,0.2135
75,0.2218,0.2575,0.2331,0.1259,0.1805,0.1786,0.2387,0.218,0.2556,0.2293,0.2575,0.1259,0.2139
76,0.2218,0.2575,0.2331,0.1259,0.1805,0.1786,0.2387,0.2218,0.2556,0.2293,0.2575,0.1259,0.2143
77,0.2218,0.2575,0.2331,0.1748,0.1805,0.1786,0.2387,0.2218,0.2556,0.2293,0.2575,0.1748,0.2192
78,0.2218,0.2575,0.2331,0.1748,0.1805,0.1786,0.2387,0.2218,0.2556,0.2293,0.2575,0.1748,0.2192
