timestamp,v34,v39,v35,v38,v30,v37,v33,v31,v36,v32,max,min,avg
0,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516
3,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516
4,0.0516,0.0516,0.1226,0.1065,0.0855,0.1113,0.0887,0.0887,0.0871,0.0903,0.1226,0.0516,0.0884
5,0.0952,0.0935,0.1226,0.1097,0.0855,0.1113,0.1226,0.129,0.0871,0.0919,0.129,0.0855,0.1048
6,0.0952,0.0935,0.1258,0.1484,0.0855,0.1177,0.1226,0.1355,0.0871,0.0935,0.1484,0.0855,0.1105
7,0.129,0.1306,0.1258,0.15,0.0855,0.121,0.129,0.1355,0.0871,0.0935,0.15,0.0855,0.1187
8,0.129,0.1339,0.1258,0.15,0.1258,0.121,0.129,0.1435,0.0871,0.0984,0.15,0.0871,0.1244
9,0.1339,0.1339,0.1258,0.1516,0.1274,0.1226,0.129,0.15,0.0871,0.1016,0.1516,0.0871,0.1263
10,0.1339,0.1339,0.1258,0.1516,0.1274,0.1226,0.129,0.1516,0.0871,0.1016,0.1516,0.0871,0.1264
11,0.1339,0.1339,0.1258,0.1516,0.1274,0.1226,0.1355,0.1565,0.129,0.1355,0.1565,0.1226,0.1352
12,0.1339,0.1339,0.1258,0.1565,0.1274,0.1226,0.1355,0.1565,0.129,0.1355,0.1565,0.1226,0.1357
13,0.1339,0.1339,0.129,0.1661,0.1274,0.1242,0.1355,0.1565,0.1387,0.1355,0.1661,0.1242,0.1381
14,0.1339,0.1339,0.129,0.1661,0.1274,0.1242,0.1355,0.1565,0.1387,0.1371,0.1661,0.1242,0.1382
15,0.1355,0.1339,0.1339,0.171,0.1274,0.1242,0.1403,0.1581,0.1387,0.1371,0.171,0.1242,0.14
16,0.1371,0.1355,0.1339,0.171,0.1274,0.1242,0.1403,0.1581,0.1387,0.1371,0.171,0.1242,0.1403
17,0.1371,0.1355,0.1339,0.1726,0.1274,0.1645,0.1403,0.1581,0.1387,0.1371,0.1726,0.1274,0.1445
18,0.1371,0.1355,0.1339,0.1726,0.1274,0.1677,0.1419,0.1581,0.1387,0.1371,0.1726,0.1274,0.145
19,0.1371,0.1435,0.15,0.1726,0.1274,0.1677,0.15,0.1581,0.1468,0.1371,0.1726,0.1274,0.149
