timestamp,vmxnet31,vmxnet36,vmxnet37,vmxnet39,vmxnet35,vmxnet30,vmxnet33,vmxnet32,vmxnet38,vmxnet34,max,min,avg
0,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386
3,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386
4,0.0386,0.0386,0.0659,0.0386,0.0386,0.0386,0.0386,0.0386,0.0591,0.0386,0.0659,0.0386,0.0434
5,0.0545,0.0386,0.0659,0.0545,0.0386,0.0545,0.0386,0.0386,0.0591,0.0545,0.0659,0.0386,0.0497
6,0.0568,0.0386,0.0659,0.0545,0.0591,0.0614,0.0386,0.0386,0.0591,0.075,0.075,0.0386,0.0548
7,0.0568,0.0386,0.0659,0.0545,0.0614,0.0636,0.0386,0.0591,0.0591,0.075,0.075,0.0386,0.0573
8,0.0636,0.0386,0.0659,0.0545,0.0614,0.0636,0.0386,0.0591,0.0614,0.0773,0.0773,0.0386,0.0584
9,0.0636,0.0386,0.0659,0.0568,0.0614,0.0636,0.0386,0.0591,0.0636,0.0773,0.0773,0.0386,0.0589
10,0.0636,0.0386,0.0659,0.0591,0.0614,0.0636,0.0386,0.0591,0.0636,0.0795,0.0795,0.0386,0.0593
11,0.0636,0.0386,0.0659,0.0591,0.0614,0.0636,0.0386,0.075,0.0636,0.0795,0.0795,0.0386,0.0609
12,0.0636,0.0545,0.0659,0.0591,0.0614,0.0636,0.0386,0.0773,0.0636,0.0795,0.0795,0.0386,0.0627
13,0.0636,0.0545,0.0659,0.0591,0.0614,0.0636,0.0386,0.0773,0.0636,0.0795,0.0795,0.0386,0.0627
14,0.0636,0.0545,0.0659,0.0591,0.0614,0.0636,0.0386,0.0773,0.0636,0.0795,0.0795,0.0386,0.0627
15,0.0841,0.0545,0.0659,0.0591,0.0614,0.0636,0.0386,0.0795,0.0636,0.0795,0.0841,0.0386,0.065
16,0.0841,0.0545,0.0659,0.0591,0.0614,0.0841,0.0386,0.0795,0.0636,0.0795,0.0841,0.0386,0.067
17,0.0841,0.0545,0.0659,0.0591,0.0614,0.0841,0.0386,0.0795,0.0636,0.0795,0.0841,0.0386,0.067
18,0.0841,0.0545,0.0659,0.0591,0.0614,0.0841,0.0386,0.0795,0.0636,0.0795,0.0841,0.0386,0.067
19,0.0841,0.0545,0.0659,0.0591,0.0614,0.0841,0.0386,0.0795,0.0636,0.0795,0.0841,0.0386,0.067
20,0.0841,0.0545,0.0659,0.0591,0.0614,0.0864,0.0432,0.0795,0.0636,0.0795,0.0864,0.0432,0.0677
21,0.0841,0.0545,0.0682,0.0591,0.0636,0.0864,0.0432,0.0795,0.0636,0.0795,0.0864,0.0432,0.0682
22,0.0841,0.0545,0.0682,0.0591,0.0636,0.0864,0.0432,0.0795,0.0636,0.0795,0.0864,0.0432,0.0682
23,0.0841,0.0545,0.0682,0.0591,0.0636,0.0864,0.0636,0.0818,0.0636,0.0795,0.0864,0.0545,0.0704
24,0.0841,0.0545,0.0682,0.0591,0.0636,0.0864,0.0636,0.0818,0.0636,0.0795,0.0864,0.0545,0.0704
25,0.0841,0.0545,0.0682,0.0591,0.0636,0.0864,0.0636,0.0818,0.0636,0.0795,0.0864,0.0545,0.0704
26,0.0841,0.0545,0.0705,0.0591,0.0636,0.0864,0.0636,0.0818,0.0682,0.0818,0.0864,0.0545,0.0714
27,0.0841,0.0545,0.0705,0.0591,0.0636,0.0864,0.0636,0.0818,0.0682,0.0818,0.0864,0.0545,0.0714
28,0.0841,0.0545,0.0705,0.0591,0.0636,0.0864,0.0636,0.0818,0.0682,0.0818,0.0864,0.0545,0.0714
29,0.0841,0.0545,0.0705,0.0591,0.0636,0.0864,0.0636,0.0818,0.0682,0.0818,0.0864,0.0545,0.0714
30,0.0841,0.0545,0.0705,0.0591,0.0636,0.0864,0.0636,0.0818,0.0682,0.0818,0.0864,0.0545,0.0714
31,0.0841,0.0545,0.0864,0.0591,0.0636,0.0864,0.0636,0.0818,0.0841,0.0818,0.0864,0.0545,0.0745
32,0.0841,0.0545,0.0864,0.0591,0.0636,0.0864,0.0636,0.0818,0.0864,0.0818,0.0864,0.0545,0.0748
33,0.0864,0.0545,0.0864,0.0591,0.0636,0.0864,0.0636,0.0818,0.0864,0.0818,0.0864,0.0545,0.075
34,0.0864,0.0545,0.0864,0.0591,0.0636,0.0864,0.0636,0.0818,0.0864,0.0818,0.0864,0.0545,0.075
35,0.0864,0.0545,0.0864,0.0591,0.0636,0.0909,0.0636,0.0818,0.0864,0.0818,0.0909,0.0545,0.0754
36,0.0864,0.0545,0.0864,0.0591,0.0636,0.0909,0.0636,0.0818,0.0864,0.0818,0.0909,0.0545,0.0754
37,0.0864,0.0545,0.0864,0.0591,0.0636,0.0909,0.0636,0.0818,0.0864,0.0818,0.0909,0.0545,0.0754
38,0.0864,0.0545,0.0864,0.0591,0.0795,0.0909,0.0636,0.0818,0.0864,0.0818,0.0909,0.0545,0.077
39,0.0864,0.0545,0.0864,0.0591,0.0795,0.0909,0.0636,0.0818,0.0864,0.0818,0.0909,0.0545,0.077
40,0.0864,0.0545,0.0864,0.0591,0.0795,0.0909,0.0636,0.0818,0.0864,0.0818,0.0909,0.0545,0.077
41,0.0864,0.0545,0.0864,0.0591,0.0795,0.0909,0.0636,0.0818,0.0864,0.0818,0.0909,0.0545,0.077
42,0.0864,0.0545,0.0864,0.0591,0.0795,0.0909,0.0636,0.0818,0.0864,0.0818,0.0909,0.0545,0.077
43,0.0864,0.0545,0.0864,0.0591,0.0795,0.0909,0.0795,0.0818,0.0864,0.0818,0.0909,0.0545,0.0786
44,0.0864,0.0545,0.0864,0.0591,0.0795,0.0909,0.0795,0.0818,0.0864,0.0818,0.0909,0.0545,0.0786
45,0.0864,0.0545,0.0864,0.0591,0.0795,0.0909,0.0795,0.0818,0.0864,0.0818,0.0909,0.0545,0.0786
46,0.0864,0.0545,0.0864,0.0591,0.0795,0.0909,0.0795,0.0818,0.0864,0.0818,0.0909,0.0545,0.0786
47,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0795,0.0864,0.0864,0.0818,0.0909,0.075,0.0834
48,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0864,0.0864,0.0864,0.0909,0.075,0.0841
49,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0864,0.0864,0.0864,0.0909,0.075,0.0841
50,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0864,0.0864,0.0864,0.0909,0.075,0.0841
51,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0864,0.0864,0.0864,0.0909,0.075,0.0841
52,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0864,0.0864,0.0864,0.0909,0.075,0.0841
53,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0864,0.0864,0.0864,0.0909,0.075,0.0841
54,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0864,0.0864,0.0864,0.0909,0.075,0.0841
55,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0864,0.0864,0.0864,0.0909,0.075,0.0841
56,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0864,0.0864,0.0864,0.0909,0.075,0.0841
57,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0909,0.0864,0.0909,0.0909,0.075,0.085
58,0.0864,0.075,0.0886,0.0795,0.0795,0.0909,0.0818,0.0909,0.0864,0.0909,0.0909,0.075,0.085
59,0.0864,0.0773,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0773,0.0857
60,0.0864,0.0773,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0773,0.0857
61,0.0864,0.0773,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0773,0.0857
62,0.0886,0.0773,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0773,0.0859
63,0.0886,0.0773,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0773,0.0859
64,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
65,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
66,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
67,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
68,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
69,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
70,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
71,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
72,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
73,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
74,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
75,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0909,0.0909,0.0795,0.0861
76,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
77,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
78,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
79,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
80,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
81,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
82,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
83,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
84,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
85,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
86,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
87,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
88,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
89,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0932,0.0932,0.0795,0.0864
90,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0864,0.0955,0.0955,0.0795,0.0866
91,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0955,0.0795,0.0868
92,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0955,0.0795,0.0868
93,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0955,0.0795,0.0868
94,0.0886,0.0795,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0955,0.0795,0.0868
95,0.0886,0.0841,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0955,0.0795,0.0873
96,0.0886,0.0841,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0955,0.0795,0.0873
97,0.0886,0.0841,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0955,0.0795,0.0873
98,0.0886,0.0841,0.0886,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0955,0.0795,0.0873
99,0.0886,0.0841,0.0977,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0882
100,0.0886,0.0841,0.0977,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0882
101,0.0886,0.0841,0.0977,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0882
102,0.0886,0.0841,0.0977,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0882
103,0.0886,0.0841,0.0977,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0882
104,0.0886,0.0841,0.0977,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0882
105,0.0886,0.0841,0.0977,0.0795,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0882
106,0.0886,0.0841,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0886
107,0.0886,0.0841,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0886
108,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0889
109,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0889
110,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.0955,0.0977,0.0795,0.0889
111,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0795,0.0932
112,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0795,0.0932
113,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0795,0.0932
114,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0795,0.0932
115,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0795,0.0932
116,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0795,0.0932
117,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0795,0.0932
118,0.0886,0.0864,0.0977,0.0841,0.0795,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0795,0.0932
119,0.0886,0.0864,0.0977,0.0841,0.0818,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0818,0.0934
120,0.0886,0.0864,0.0977,0.0841,0.0818,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0818,0.0934
121,0.0886,0.0864,0.0977,0.0841,0.0818,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0818,0.0934
122,0.0886,0.0864,0.0977,0.0841,0.0818,0.0909,0.0864,0.0909,0.0886,0.1386,0.1386,0.0818,0.0934
