timestamp,xhci4,xhci2,xhci0,xhci8,xhci9,xhci7,xhci3,xhci5,xhci1,xhci6,max,min,avg
0,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618
4,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618
5,0.0618,0.0618,0.0618,0.0618,0.0792,0.0618,0.0716,0.0618,0.0618,0.0672,0.0792,0.0618,0.0651
6,0.0618,0.0662,0.0662,0.0618,0.0792,0.0792,0.0911,0.0618,0.0618,0.0781,0.0911,0.0618,0.0707
7,0.0781,0.0662,0.0662,0.0618,0.0792,0.0792,0.0965,0.0618,0.0618,0.0781,0.0965,0.0618,0.0729
8,0.0781,0.0662,0.0662,0.0618,0.0813,0.0792,0.1095,0.0846,0.0672,0.0976,0.1095,0.0618,0.0792
9,0.0781,0.0662,0.0835,0.0792,0.0813,0.0792,0.1106,0.0846,0.0672,0.0976,0.1106,0.0662,0.0828
10,0.0781,0.0662,0.0835,0.0792,0.0813,0.0792,0.1106,0.0846,0.0672,0.0976,0.1106,0.0662,0.0828
11,0.0781,0.0662,0.0835,0.0792,0.0813,0.0792,0.1106,0.0846,0.0672,0.0976,0.1106,0.0662,0.0828
12,0.0781,0.0662,0.0835,0.0792,0.0813,0.0792,0.1106,0.0846,0.0672,0.102,0.1106,0.0662,0.0832
13,0.0781,0.0662,0.0835,0.0792,0.0813,0.0792,0.1106,0.0846,0.077,0.102,0.1106,0.0662,0.0842
14,0.0781,0.0662,0.0835,0.0889,0.0813,0.0792,0.1106,0.0846,0.1009,0.102,0.1106,0.0662,0.0875
15,0.0781,0.0662,0.0835,0.0889,0.0813,0.0792,0.1106,0.0846,0.1009,0.103,0.1106,0.0662,0.0876
16,0.0781,0.0662,0.0835,0.0889,0.0813,0.0792,0.1106,0.0846,0.1009,0.1128,0.1128,0.0662,0.0886
17,0.0781,0.0662,0.0857,0.0889,0.0813,0.0792,0.1106,0.0846,0.1009,0.1139,0.1139,0.0662,0.0889
18,0.0781,0.0662,0.0868,0.0889,0.0813,0.0792,0.1106,0.0846,0.1009,0.1139,0.1139,0.0662,0.089
