timestamp,ac975,ac972,ac974,ac973,ac976,ac978,ac979,ac977,ac971,ac970,max,min,avg
0,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765
3,0.1885,0.1885,0.1885,0.1885,0.1885,0.0765,0.0765,0.1885,0.1885,0.1885,0.1885,0.0765,0.1661
4,0.7158,0.8333,0.806,0.7541,0.7077,0.1885,0.1885,0.735,0.765,0.7678,0.8333,0.1885,0.6462
5,0.8634,0.877,0.8579,0.877,0.8169,0.7213,0.7104,0.877,0.8716,0.847,0.877,0.7104,0.8319
6,0.8743,0.9235,0.9098,0.8962,0.8852,0.8005,0.8251,0.8962,0.877,0.9126,0.9235,0.8005,0.88
7,0.8852,0.9262,0.9153,0.9016,0.8934,0.8251,0.8661,0.9126,0.8825,0.929,0.929,0.8251,0.8937
8,0.8962,0.9317,0.929,0.9126,0.9262,0.8443,0.8689,0.9235,0.8825,0.9344,0.9344,0.8443,0.9049
9,0.8989,0.9317,0.9344,0.9126,0.9262,0.8852,0.8743,0.929,0.9262,0.9344,0.9344,0.8743,0.9153
10,0.8989,0.9344,0.9372,0.9208,0.9344,0.9317,0.9098,0.9344,0.9262,0.9344,0.9372,0.8989,0.9262
11,0.8989,0.9344,0.9372,0.9344,0.9372,0.9317,0.9262,0.9344,0.9262,0.9344,0.9372,0.8989,0.9295
12,0.9044,0.9372,0.9372,0.9344,0.9372,0.9344,0.9262,0.9344,0.9262,0.9344,0.9372,0.9044,0.9306
13,0.9262,0.9372,0.9372,0.9344,0.9372,0.9344,0.9262,0.9344,0.929,0.9344,0.9372,0.9262,0.9331
14,0.929,0.9372,0.9372,0.9344,0.9372,0.9372,0.9262,0.9344,0.929,0.9344,0.9372,0.9262,0.9336
15,0.929,0.9372,0.9372,0.9344,0.9372,0.9372,0.929,0.9344,0.929,0.9344,0.9372,0.929,0.9339
16,0.929,0.9372,0.9372,0.9344,0.9372,0.9372,0.929,0.9372,0.929,0.9344,0.9372,0.929,0.9342
17,0.929,0.9372,0.9372,0.9344,0.9372,0.9372,0.929,0.9372,0.929,0.9372,0.9372,0.929,0.9345
18,0.929,0.9372,0.9372,0.9344,0.9372,0.9372,0.929,0.9372,0.929,0.9372,0.9372,0.929,0.9345
19,0.9372,0.9372,0.9372,0.9344,0.9372,0.9372,0.929,0.9372,0.929,0.9372,0.9372,0.929,0.9353
20,0.9372,0.9372,0.9372,0.9344,0.9372,0.9372,0.929,0.9372,0.929,0.9372,0.9372,0.929,0.9353
21,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.929,0.9372,0.929,0.9372,0.9372,0.929,0.9356
22,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.929,0.9372,0.9372,0.9372,0.9372,0.929,0.9364
23,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.929,0.9372,0.9372,0.9372,0.9372,0.929,0.9364
24,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.929,0.9372,0.9372,0.9372,0.9372,0.929,0.9364
25,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.929,0.9372,0.9372,0.9372,0.9372,0.929,0.9364
26,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.929,0.9372,0.9372,0.9372,0.9372,0.929,0.9364
27,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.929,0.9372,0.9372,0.9372,0.9372,0.929,0.9364
28,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.929,0.9372,0.9372,0.9372,0.9372,0.929,0.9364
29,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
30,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
31,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
32,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
33,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
34,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
35,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
36,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
37,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
38,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
39,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
40,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
41,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
42,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
43,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
44,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
45,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
46,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
47,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
48,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
49,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
50,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
51,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
52,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
53,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
54,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372,0.9372
