timestamp,ati2,ati6,ati0,ati1,ati5,ati4,ati3,ati8,ati9,ati7,max,min,avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1058,0.0,0.3173,0.125,0.1058,0.1058,0.1058,0.0,0.0,0.0,0.3173,0.1058,0.1443
5,0.1154,0.125,0.3846,0.1827,0.1058,0.1154,0.1058,0.1058,0.1058,0.1058,0.3846,0.1058,0.1452
6,0.1154,0.125,0.4135,0.4231,0.1635,0.1154,0.1058,0.1058,0.1827,0.1058,0.4231,0.1058,0.1856
7,0.3942,0.1923,0.4423,0.4231,0.1635,0.1154,0.2404,0.125,0.1923,0.2596,0.4423,0.1154,0.2548
8,0.4135,0.1923,0.4423,0.4327,0.1827,0.1154,0.3269,0.125,0.1923,0.2692,0.4423,0.1154,0.2692
9,0.4231,0.1923,0.4423,0.4327,0.1827,0.125,0.3269,0.1827,0.1923,0.2692,0.4423,0.125,0.2769
10,0.4231,0.2692,0.4423,0.4519,0.1827,0.1827,0.3269,0.4135,0.1923,0.2692,0.4519,0.1827,0.3154
11,0.4231,0.2692,0.4615,0.4808,0.1827,0.1827,0.3269,0.4231,0.3077,0.2692,0.4808,0.1827,0.3327
12,0.4231,0.2692,0.4615,0.5192,0.2981,0.1827,0.3365,0.4231,0.4519,0.3077,0.5192,0.1827,0.3673
13,0.4231,0.2692,0.4712,0.5192,0.3365,0.1827,0.3365,0.4423,0.4519,0.3077,0.5192,0.1827,0.374
14,0.4519,0.2692,0.4712,0.5192,0.3365,0.1827,0.3365,0.4519,0.4615,0.3077,0.5192,0.1827,0.3788
15,0.4519,0.2692,0.4712,0.5192,0.3365,0.1827,0.3365,0.4615,0.4808,0.3077,0.5192,0.1827,0.3817
16,0.4519,0.2692,0.4712,0.5192,0.3365,0.1827,0.3365,0.4615,0.4808,0.3269,0.5192,0.1827,0.3836
17,0.4519,0.2692,0.4712,0.5192,0.3365,0.1827,0.4327,0.4904,0.4808,0.3269,0.5192,0.1827,0.3962
18,0.4615,0.2692,0.4712,0.5192,0.3365,0.1827,0.4519,0.4904,0.4808,0.3269,0.5192,0.1827,0.399
19,0.4615,0.2692,0.4712,0.5192,0.3365,0.1827,0.4519,0.4904,0.4904,0.3269,0.5192,0.1827,0.4
20,0.4615,0.2885,0.4712,0.5192,0.3462,0.1923,0.4712,0.5192,0.4904,0.3269,0.5192,0.1923,0.4087
21,0.4615,0.2885,0.4712,0.5192,0.3462,0.1923,0.4712,0.5192,0.4904,0.3269,0.5192,0.1923,0.4087
22,0.4615,0.2981,0.4712,0.5192,0.3462,0.1923,0.4712,0.5192,0.4904,0.3269,0.5192,0.1923,0.4096
23,0.4615,0.2981,0.4712,0.5192,0.3462,0.1923,0.4712,0.5192,0.4904,0.3269,0.5192,0.1923,0.4096
24,0.4808,0.2981,0.4712,0.5192,0.3462,0.3077,0.5,0.5192,0.5,0.3269,0.5192,0.2981,0.4269
25,0.4808,0.2981,0.4712,0.5192,0.3462,0.3077,0.5096,0.5192,0.5,0.3269,0.5192,0.2981,0.4279
26,0.4808,0.3269,0.4712,0.5192,0.4135,0.3077,0.5096,0.5192,0.5,0.3269,0.5192,0.3077,0.4375
27,0.4808,0.3269,0.4712,0.5192,0.4135,0.3077,0.5096,0.5288,0.5,0.3462,0.5288,0.3077,0.4404
28,0.4808,0.3269,0.4712,0.5192,0.4135,0.4808,0.5096,0.5288,0.5,0.3462,0.5288,0.3269,0.4577
29,0.4808,0.3269,0.4712,0.5192,0.4135,0.4808,0.5096,0.5288,0.5,0.3462,0.5288,0.3269,0.4577
