timestamp,e10001,e10008,e10003,e10004,e10002,e10005,e10009,e10000,e10007,e10006,max,min,avg
0,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296
4,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559
5,0.1118,0.1053,0.3684,0.3191,0.1151,0.1184,0.3421,0.1118,0.3421,0.1414,0.3684,0.1053,0.2076
6,0.1217,0.1711,0.3914,0.4013,0.3059,0.1217,0.4178,0.3618,0.4112,0.3684,0.4178,0.1217,0.3072
7,0.1217,0.3553,0.3914,0.4145,0.398,0.1217,0.4441,0.4112,0.4671,0.4112,0.4671,0.1217,0.3536
8,0.3092,0.398,0.4046,0.4145,0.4375,0.3651,0.4474,0.4211,0.4704,0.4572,0.4704,0.3092,0.4125
9,0.4046,0.4276,0.4046,0.4145,0.4507,0.4178,0.4474,0.4408,0.4704,0.4605,0.4704,0.4046,0.4339
10,0.4145,0.4342,0.4507,0.4178,0.4507,0.4539,0.4474,0.4474,0.4901,0.4671,0.4901,0.4145,0.4474
11,0.4178,0.4375,0.4605,0.4145,0.4507,0.4605,0.4474,0.4474,0.4967,0.4803,0.4967,0.4145,0.4513
12,0.4309,0.4375,0.4605,0.4145,0.4507,0.4605,0.4539,0.4539,0.4967,0.4803,0.4967,0.4145,0.4539
13,0.4408,0.4539,0.4605,0.4178,0.4539,0.4638,0.4539,0.4934,0.5033,0.4803,0.5033,0.4178,0.4622
14,0.4408,0.4539,0.4671,0.4178,0.4539,0.4671,0.4704,0.4967,0.5066,0.4803,0.5066,0.4178,0.4655
15,0.4408,0.4539,0.4671,0.4178,0.4539,0.4671,0.4704,0.4967,0.5066,0.4803,0.5066,0.4178,0.4655
16,0.4408,0.4539,0.4704,0.4178,0.4671,0.4704,0.4704,0.4967,0.5066,0.4803,0.5066,0.4178,0.4674
17,0.4408,0.4638,0.4737,0.4178,0.4704,0.4671,0.4704,0.5033,0.5066,0.4803,0.5066,0.4178,0.4694
18,0.4507,0.4638,0.4737,0.4178,0.4704,0.4671,0.4704,0.5033,0.5099,0.4836,0.5099,0.4178,0.4711
19,0.4539,0.4638,0.4737,0.4178,0.4704,0.4671,0.4704,0.5033,0.5099,0.4836,0.5099,0.4178,0.4714
20,0.4737,0.4638,0.5461,0.4178,0.4704,0.4671,0.4704,0.5066,0.5099,0.4868,0.5461,0.4178,0.4813
21,0.4704,0.4671,0.5493,0.4211,0.4704,0.4671,0.4737,0.5066,0.5099,0.4868,0.5493,0.4211,0.4822
22,0.4704,0.4671,0.5493,0.4638,0.4704,0.4671,0.4737,0.5066,0.5099,0.4868,0.5493,0.4638,0.4865
23,0.4704,0.4671,0.5493,0.4638,0.477,0.4671,0.4737,0.5132,0.5099,0.4868,0.5493,0.4638,0.4878
24,0.4704,0.4671,0.5493,0.4671,0.477,0.4671,0.4737,0.5132,0.5099,0.4868,0.5493,0.4671,0.4882
25,0.4704,0.4671,0.5493,0.4671,0.477,0.4704,0.4737,0.5132,0.5164,0.4901,0.5493,0.4671,0.4895
26,0.4704,0.4671,0.5493,0.4704,0.477,0.4704,0.4803,0.5132,0.5164,0.4901,0.5493,0.4671,0.4905
27,0.4737,0.4671,0.5493,0.4671,0.4803,0.4737,0.4803,0.5132,0.5164,0.4901,0.5493,0.4671,0.4911
28,0.4737,0.4671,0.5493,0.4704,0.4803,0.4704,0.4803,0.5132,0.5164,0.4901,0.5493,0.4671,0.4911
29,0.4737,0.4803,0.5493,0.4704,0.4803,0.4704,0.4803,0.5164,0.5164,0.4934,0.5493,0.4704,0.4931
30,0.477,0.4803,0.5493,0.4704,0.4803,0.4704,0.4803,0.5164,0.5164,0.4934,0.5493,0.4704,0.4934
31,0.477,0.4901,0.5493,0.4704,0.4803,0.477,0.4803,0.5296,0.5164,0.4934,0.5493,0.4704,0.4964
32,0.477,0.4901,0.5493,0.477,0.4803,0.4737,0.4803,0.5296,0.5164,0.4934,0.5493,0.4737,0.4967
33,0.477,0.4901,0.5493,0.477,0.4803,0.4737,0.4803,0.5296,0.5164,0.4934,0.5493,0.4737,0.4967
34,0.477,0.4901,0.5526,0.4803,0.4803,0.4737,0.4803,0.5296,0.5164,0.4934,0.5526,0.4737,0.4974
35,0.477,0.4967,0.5493,0.477,0.4934,0.4737,0.4803,0.5296,0.5164,0.4934,0.5493,0.4737,0.4987
36,0.477,0.4967,0.5493,0.477,0.4967,0.4737,0.4803,0.5296,0.5164,0.4934,0.5493,0.4737,0.499
37,0.477,0.4967,0.5493,0.477,0.4967,0.4737,0.4836,0.5296,0.5164,0.4934,0.5493,0.4737,0.4993
38,0.477,0.4967,0.5493,0.4803,0.4967,0.4737,0.4836,0.5296,0.5164,0.4934,0.5493,0.4737,0.4997
39,0.477,0.4967,0.5493,0.477,0.4967,0.4737,0.4836,0.5296,0.5164,0.5,0.5493,0.4737,0.5
40,0.477,0.4967,0.5493,0.477,0.4967,0.4737,0.4836,0.5855,0.5164,0.5,0.5855,0.4737,0.5056
41,0.477,0.5033,0.5493,0.477,0.4967,0.4737,0.4836,0.5855,0.5164,0.5,0.5855,0.4737,0.5062
42,0.477,0.5033,0.5493,0.477,0.4967,0.4737,0.4836,0.5855,0.5164,0.5,0.5855,0.4737,0.5062
43,0.477,0.5033,0.5526,0.477,0.4967,0.4737,0.4836,0.5954,0.5164,0.5,0.5954,0.4737,0.5076
44,0.4868,0.5033,0.5493,0.4803,0.4967,0.4737,0.4836,0.5954,0.5164,0.5,0.5954,0.4737,0.5086
45,0.4868,0.5033,0.5493,0.477,0.4967,0.4737,0.4836,0.5954,0.5164,0.5691,0.5954,0.4737,0.5151
46,0.4836,0.5033,0.5493,0.477,0.4967,0.4737,0.4836,0.5954,0.5164,0.5691,0.5954,0.4737,0.5148
47,0.4836,0.5033,0.5493,0.477,0.4967,0.4737,0.4836,0.5954,0.5164,0.5691,0.5954,0.4737,0.5148
48,0.4868,0.5033,0.5493,0.477,0.4967,0.4737,0.4836,0.5954,0.5164,0.5691,0.5954,0.4737,0.5151
49,0.4868,0.5033,0.5493,0.477,0.4967,0.4737,0.4836,0.5954,0.5164,0.5691,0.5954,0.4737,0.5151
