timestamp,e1000e0,e1000e4,e1000e6,e1000e7,e1000e3,e1000e9,e1000e1,e1000e2,e1000e5,e1000e8,max,min,avg
0,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345
4,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435
5,0.0766,0.0781,0.0766,0.0736,0.0766,0.0781,0.0781,0.0766,0.0766,0.0781,0.0781,0.0736,0.0769
6,0.0796,0.0811,0.0841,0.0736,0.0856,0.0796,0.0796,0.0916,0.0796,0.0811,0.0916,0.0736,0.0816
7,0.0811,0.0886,0.0946,0.0781,0.0886,0.0796,0.0796,0.0991,0.0796,0.0811,0.0991,0.0781,0.085
8,0.0826,0.0901,0.1096,0.0811,0.0886,0.0796,0.0796,0.1231,0.0796,0.0811,0.1231,0.0796,0.0895
9,0.0871,0.0901,0.1126,0.0811,0.0886,0.0826,0.0811,0.1261,0.0841,0.0811,0.1261,0.0811,0.0914
10,0.0871,0.0961,0.1126,0.0871,0.0931,0.0841,0.0901,0.1351,0.0841,0.0811,0.1351,0.0811,0.095
11,0.0886,0.1006,0.1171,0.0916,0.1036,0.0931,0.0931,0.1502,0.0841,0.0811,0.1502,0.0811,0.1003
12,0.1126,0.1276,0.1171,0.0916,0.1276,0.1021,0.0976,0.1502,0.0931,0.0886,0.1502,0.0886,0.1108
13,0.1171,0.1291,0.1276,0.0961,0.1336,0.1051,0.0976,0.1517,0.0931,0.0976,0.1517,0.0931,0.1149
14,0.1201,0.1396,0.1366,0.0961,0.1456,0.1066,0.1036,0.1577,0.0931,0.1096,0.1577,0.0931,0.1209
15,0.1216,0.1411,0.1381,0.1081,0.1456,0.1126,0.1051,0.1652,0.0931,0.1126,0.1652,0.0931,0.1243
16,0.1246,0.1456,0.1396,0.1126,0.1502,0.1141,0.1081,0.1727,0.0931,0.1126,0.1727,0.0931,0.1273
17,0.1321,0.1456,0.1396,0.1126,0.1517,0.1156,0.1096,0.1727,0.0931,0.1201,0.1727,0.0931,0.1293
18,0.1381,0.1471,0.1396,0.1156,0.1517,0.1156,0.1141,0.1727,0.0931,0.1261,0.1727,0.0931,0.1314
19,0.1381,0.1471,0.1396,0.1156,0.1517,0.1201,0.1201,0.1742,0.0931,0.1261,0.1742,0.0931,0.1326
20,0.1532,0.1471,0.1396,0.1156,0.1517,0.1231,0.1201,0.1742,0.0931,0.1321,0.1742,0.0931,0.135
21,0.1532,0.1471,0.1396,0.1366,0.1517,0.1261,0.1201,0.1742,0.0931,0.1517,0.1742,0.0931,0.1393
22,0.1607,0.2162,0.1396,0.1396,0.1547,0.1261,0.1276,0.1742,0.0931,0.1517,0.2162,0.0931,0.1483
23,0.1622,0.2162,0.1396,0.1411,0.1682,0.1321,0.1276,0.1742,0.0931,0.1532,0.2162,0.0931,0.1507
24,0.1622,0.2162,0.1396,0.1411,0.1682,0.1321,0.1532,0.1772,0.0931,0.1547,0.2162,0.0931,0.1538
25,0.1682,0.2162,0.1396,0.1486,0.1682,0.1321,0.1637,0.1772,0.0931,0.1547,0.2162,0.0931,0.1562
26,0.1712,0.2297,0.1396,0.1622,0.1682,0.2492,0.1742,0.1772,0.0931,0.1562,0.2492,0.0931,0.1721
27,0.1742,0.2297,0.1396,0.1682,0.1682,0.2492,0.1742,0.1772,0.0931,0.1562,0.2492,0.0931,0.173
28,0.1757,0.2297,0.1396,0.1727,0.1682,0.2492,0.1787,0.1787,0.0931,0.1577,0.2492,0.0931,0.1743
29,0.1787,0.2297,0.1396,0.1757,0.1682,0.2492,0.1787,0.1802,0.0931,0.1607,0.2492,0.0931,0.1754
30,0.1892,0.2297,0.1396,0.1832,0.2477,0.2508,0.1787,0.1802,0.0931,0.1637,0.2508,0.0931,0.1856
31,0.1922,0.2297,0.1396,0.1832,0.2477,0.2643,0.1787,0.1832,0.0931,0.1757,0.2643,0.0931,0.1887
32,0.1997,0.2297,0.1396,0.1832,0.2477,0.2643,0.1802,0.1877,0.1712,0.1772,0.2643,0.1396,0.1981
33,0.2012,0.2297,0.1396,0.1832,0.2477,0.2658,0.1832,0.1877,0.1712,0.1772,0.2658,0.1396,0.1987
34,0.2012,0.2297,0.1396,0.1832,0.2477,0.2658,0.1862,0.1877,0.1712,0.1772,0.2658,0.1396,0.199
35,0.2057,0.2297,0.1396,0.1832,0.2477,0.2658,0.1862,0.3213,0.1712,0.1877,0.3213,0.1396,0.2138
36,0.2087,0.2297,0.1396,0.1832,0.2477,0.2658,0.1892,0.3258,0.1712,0.1907,0.3258,0.1396,0.2152
37,0.2102,0.2297,0.2222,0.1832,0.2477,0.2658,0.1892,0.3288,0.1712,0.1907,0.3288,0.1712,0.2239
38,0.2102,0.2297,0.2222,0.1832,0.2477,0.2658,0.1892,0.3288,0.1712,0.1967,0.3288,0.1712,0.2245
39,0.2102,0.2297,0.2222,0.1832,0.2477,0.2658,0.1892,0.3288,0.1712,0.1982,0.3288,0.1712,0.2246
40,0.2102,0.2297,0.2222,0.1832,0.2477,0.2658,0.1892,0.3288,0.1712,0.2027,0.3288,0.1712,0.2251
41,0.2147,0.2297,0.2222,0.1832,0.2477,0.2658,0.1892,0.3288,0.1712,0.2042,0.3288,0.1712,0.2257
42,0.2162,0.2297,0.2222,0.1832,0.2477,0.2658,0.1892,0.3303,0.1712,0.2042,0.3303,0.1712,0.226
43,0.2177,0.2297,0.2222,0.1832,0.2477,0.2658,0.1892,0.3318,0.1712,0.2042,0.3318,0.1712,0.2263
44,0.2177,0.2297,0.2222,0.1832,0.2477,0.2658,0.1892,0.3348,0.1712,0.2042,0.3348,0.1712,0.2266
45,0.2177,0.2297,0.2222,0.1832,0.2538,0.2748,0.1892,0.3348,0.1712,0.2042,0.3348,0.1712,0.2281
46,0.2177,0.2297,0.2222,0.1832,0.2538,0.2748,0.1892,0.3348,0.1712,0.2042,0.3348,0.1712,0.2281
47,0.2177,0.2297,0.2222,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2087,0.3363,0.1712,0.2287
48,0.2177,0.2297,0.2222,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2117,0.3363,0.1712,0.229
49,0.2177,0.2297,0.2222,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2132,0.3363,0.1712,0.2291
50,0.2177,0.2297,0.2222,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2132,0.3363,0.1712,0.2291
51,0.2177,0.2297,0.2222,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2132,0.3363,0.1712,0.2291
52,0.2177,0.2297,0.2222,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2147,0.3363,0.1712,0.2293
53,0.2853,0.2297,0.2222,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2162,0.3363,0.1712,0.2362
54,0.2883,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2192,0.3363,0.1712,0.2372
55,0.2883,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2192,0.3363,0.1712,0.2372
56,0.2883,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2192,0.3363,0.1712,0.2372
57,0.2883,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2192,0.3363,0.1712,0.2372
58,0.2883,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2192,0.3363,0.1712,0.2372
59,0.2883,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2192,0.3363,0.1712,0.2372
60,0.2898,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1712,0.2222,0.3363,0.1712,0.2377
61,0.2898,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2222,0.3363,0.1757,0.2381
62,0.2898,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2222,0.3363,0.1757,0.2381
63,0.2898,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2237,0.3363,0.1757,0.2383
64,0.2898,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2237,0.3363,0.1757,0.2383
65,0.2898,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2237,0.3363,0.1757,0.2383
66,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2297,0.3363,0.1757,0.2392
67,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2297,0.3363,0.1757,0.2392
68,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2297,0.3363,0.1757,0.2392
69,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2297,0.3363,0.1757,0.2392
70,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1757,0.2297,0.3363,0.1757,0.2392
71,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.2297,0.3363,0.1832,0.2401
72,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3093,0.3363,0.1832,0.248
73,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3108,0.3363,0.1832,0.2482
74,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3108,0.3363,0.1832,0.2482
75,0.2928,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2485
76,0.2958,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2488
77,0.2958,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2488
78,0.2958,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2488
79,0.2958,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2488
80,0.2958,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2488
81,0.2958,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2488
82,0.2958,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2488
91,0.2958,0.2297,0.2267,0.1832,0.2538,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2488
98,0.2958,0.2297,0.2267,0.1832,0.2598,0.2748,0.1892,0.3363,0.1847,0.3138,0.3363,0.1832,0.2494
99,0.2958,0.2297,0.2267,0.1832,0.2598,0.2748,0.1892,0.3363,0.1847,0.3153,0.3363,0.1832,0.2496
100,0.2958,0.2297,0.2267,0.1832,0.2598,0.2748,0.1892,0.3363,0.1847,0.3153,0.3363,0.1832,0.2496
113,0.2958,0.2327,0.2267,0.1832,0.2598,0.2748,0.1892,0.3363,0.1847,0.3153,0.3363,0.1832,0.2498
117,0.2958,0.2327,0.2267,0.1832,0.2598,0.2748,0.1892,0.3363,0.1847,0.3153,0.3363,0.1832,0.2498
121,0.2958,0.2327,0.2267,0.1832,0.2598,0.2748,0.1892,0.3363,0.1847,0.3153,0.3363,0.1832,0.2498
125,0.2958,0.2868,0.2267,0.2913,0.2598,0.2748,0.1892,0.3363,0.1847,0.3153,0.3363,0.1847,0.2661
129,0.2958,0.2868,0.2267,0.2913,0.2598,0.2748,0.1892,0.3363,0.1847,0.3153,0.3363,0.1847,0.2661
136,0.2958,0.2868,0.2267,0.2943,0.2598,0.2748,0.1892,0.3363,0.1847,0.3153,0.3363,0.1847,0.2664
138,0.2958,0.2868,0.2267,0.2943,0.2598,0.2748,0.1892,0.3363,0.1877,0.3153,0.3363,0.1877,0.2667
139,0.2958,0.2868,0.2267,0.2943,0.2598,0.2748,0.1892,0.3363,0.1877,0.3153,0.3363,0.1877,0.2667
140,0.2958,0.2868,0.2267,0.3003,0.2598,0.2748,0.1892,0.3363,0.1877,0.3153,0.3363,0.1877,0.2673
144,0.2958,0.2868,0.2267,0.3003,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2794
145,0.2958,0.2868,0.2267,0.3093,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2803
149,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2805
154,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2805
158,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2805
160,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4069,0.1877,0.3153,0.4069,0.1877,0.2875
