timestamp,ehci2,ehci7,ehci0,ehci9,ehci4,ehci3,ehci5,ehci6,ehci8,ehci1,max,min,avg
0,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574
4,0.0574,0.0574,0.063,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.063,0.0574,0.058
5,0.063,0.0574,0.3739,0.0574,0.063,0.0574,0.063,0.063,0.0574,0.0686,0.3739,0.0574,0.0924
6,0.2381,0.43,0.3739,0.3305,0.4874,0.3838,0.3866,0.4412,0.4048,0.4188,0.4874,0.2381,0.3895
7,0.4958,0.4846,0.4748,0.5224,0.5238,0.4986,0.3992,0.4622,0.4118,0.4776,0.5238,0.3992,0.4751
8,0.5014,0.4972,0.5056,0.5224,0.5266,0.5294,0.4692,0.479,0.4818,0.5,0.5294,0.4692,0.5013
9,0.514,0.5518,0.5238,0.556,0.5308,0.5336,0.5056,0.5084,0.5126,0.5574,0.5574,0.5056,0.5294
10,0.528,0.5784,0.5392,0.5574,0.5308,0.5868,0.5112,0.5126,0.5126,0.5658,0.5868,0.5112,0.5423
11,0.5364,0.6022,0.5406,0.5826,0.5658,0.6134,0.514,0.5546,0.5196,0.5756,0.6134,0.514,0.5605
12,0.5434,0.6036,0.5658,0.5924,0.5672,0.6148,0.5154,0.5546,0.521,0.577,0.6148,0.5154,0.5655
13,0.5434,0.605,0.5658,0.5924,0.5686,0.6246,0.528,0.5546,0.5392,0.577,0.6246,0.528,0.5699
14,0.5504,0.6078,0.5658,0.5952,0.5686,0.6246,0.528,0.5546,0.5392,0.6022,0.6246,0.528,0.5736
15,0.556,0.6078,0.5658,0.5952,0.5686,0.6246,0.5658,0.5546,0.542,0.6022,0.6246,0.542,0.5783
16,0.5616,0.6092,0.5658,0.598,0.5686,0.6246,0.5658,0.5546,0.5434,0.6022,0.6246,0.5434,0.5794
17,0.5616,0.6092,0.5658,0.6008,0.5686,0.6261,0.5672,0.5546,0.549,0.6022,0.6261,0.549,0.5805
18,0.563,0.6106,0.5658,0.6022,0.5686,0.6261,0.5672,0.5546,0.5504,0.6022,0.6261,0.5504,0.5811
