timestamp,ehci3,ehci2,ehci7,ehci9,ehci0,ehci1,ehci4,ehci8,ehci5,ehci6,max,min,avg
0,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574
4,0.0756,0.0742,0.0574,0.0574,0.063,0.084,0.0574,0.0574,0.0574,0.0574,0.084,0.0574,0.0641
5,0.4076,0.2899,0.0574,0.0574,0.4048,0.4048,0.3936,0.063,0.4062,0.3585,0.4076,0.0574,0.2843
6,0.409,0.4006,0.3473,0.3137,0.4062,0.4048,0.4048,0.3768,0.4076,0.3964,0.409,0.3137,0.3867
7,0.409,0.4006,0.3571,0.3964,0.4076,0.4062,0.409,0.388,0.4076,0.409,0.409,0.3571,0.399
8,0.409,0.4048,0.3908,0.3978,0.409,0.4062,0.409,0.4048,0.4076,0.409,0.409,0.3908,0.4048
9,0.409,0.4104,0.4076,0.4062,0.409,0.4062,0.4132,0.4062,0.409,0.409,0.4132,0.4062,0.4086
10,0.409,0.4104,0.409,0.4062,0.409,0.4104,0.4132,0.4062,0.409,0.409,0.4132,0.4062,0.4091
11,0.409,0.4104,0.409,0.4062,0.409,0.4104,0.4132,0.4076,0.4104,0.4104,0.4132,0.4062,0.4096
12,0.409,0.4104,0.4104,0.4062,0.409,0.4104,0.4132,0.409,0.4146,0.4104,0.4146,0.4062,0.4103
13,0.409,0.4104,0.4104,0.4076,0.4104,0.4104,0.416,0.409,0.4146,0.4104,0.416,0.4076,0.4108
14,0.4132,0.4104,0.4104,0.4076,0.4104,0.4104,0.416,0.409,0.4146,0.4104,0.416,0.4076,0.4112
15,0.4146,0.4104,0.4104,0.409,0.4104,0.4118,0.416,0.409,0.4146,0.4104,0.416,0.409,0.4117
16,0.4146,0.4104,0.4132,0.409,0.4132,0.4118,0.416,0.409,0.4146,0.4104,0.416,0.409,0.4122
17,0.4146,0.4104,0.4132,0.409,0.4132,0.4118,0.416,0.409,0.4146,0.4132,0.416,0.409,0.4125
18,0.4146,0.4104,0.4132,0.4104,0.4132,0.4118,0.416,0.409,0.4146,0.4132,0.416,0.409,0.4126
19,0.4146,0.4104,0.4132,0.4118,0.4132,0.4118,0.416,0.409,0.4146,0.4132,0.416,0.409,0.4128
20,0.4146,0.4104,0.4132,0.4118,0.4132,0.4118,0.416,0.4132,0.4146,0.4132,0.416,0.4104,0.4132
21,0.4146,0.4104,0.4132,0.4118,0.4132,0.4118,0.416,0.4132,0.4146,0.4132,0.416,0.4104,0.4132
22,0.4146,0.4104,0.4132,0.4118,0.4132,0.4118,0.416,0.4132,0.4146,0.4132,0.416,0.4104,0.4132
23,0.4146,0.4104,0.4132,0.4132,0.416,0.4118,0.416,0.4132,0.4146,0.4146,0.416,0.4104,0.4138
24,0.4146,0.4104,0.4132,0.4132,0.416,0.4118,0.416,0.4132,0.4146,0.4146,0.416,0.4104,0.4138
25,0.4146,0.4104,0.4132,0.4132,0.416,0.4118,0.416,0.4132,0.4146,0.4146,0.416,0.4104,0.4138
26,0.4146,0.4104,0.4132,0.4132,0.416,0.4118,0.416,0.4132,0.4146,0.4146,0.416,0.4104,0.4138
27,0.4174,0.4132,0.4132,0.4132,0.416,0.4118,0.416,0.4132,0.4146,0.4146,0.4174,0.4118,0.4143
28,0.4174,0.4132,0.4132,0.416,0.416,0.4118,0.416,0.4132,0.4146,0.4146,0.4174,0.4118,0.4146
29,0.4174,0.4132,0.4132,0.416,0.416,0.4132,0.416,0.4132,0.4146,0.4146,0.4174,0.4132,0.4147
30,0.4174,0.4132,0.4132,0.416,0.416,0.4132,0.416,0.4132,0.4146,0.4146,0.4174,0.4132,0.4147
31,0.4174,0.4132,0.4132,0.416,0.416,0.4132,0.416,0.4132,0.4146,0.4146,0.4174,0.4132,0.4147
