timestamp,ehci7,ehci3,ehci8,ehci1,ehci4,ehci6,ehci2,ehci9,ehci5,ehci0,max,min,avg
0,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574
4,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854
5,0.4048,0.3964,0.4104,0.4062,0.4104,0.4076,0.4062,0.4104,0.3978,0.4146,0.4146,0.3964,0.4065
6,0.4104,0.4076,0.4104,0.4104,0.4104,0.409,0.4104,0.4104,0.4118,0.4146,0.4146,0.4076,0.4105
7,0.4104,0.4076,0.4104,0.4118,0.4104,0.409,0.4104,0.4118,0.4118,0.416,0.416,0.4076,0.411
8,0.4118,0.409,0.4118,0.4118,0.4104,0.4104,0.4118,0.4132,0.4118,0.416,0.416,0.409,0.4118
9,0.4118,0.4104,0.4118,0.4118,0.4118,0.4104,0.4132,0.416,0.4118,0.416,0.416,0.4104,0.4125
10,0.4118,0.4104,0.416,0.4118,0.4146,0.4132,0.4132,0.416,0.4118,0.416,0.416,0.4104,0.4135
11,0.4118,0.4104,0.416,0.4118,0.4146,0.4132,0.416,0.416,0.4118,0.416,0.416,0.4104,0.4138
12,0.4118,0.4132,0.416,0.4146,0.4146,0.4174,0.416,0.416,0.4146,0.416,0.4174,0.4118,0.415
13,0.4118,0.4132,0.416,0.4146,0.4146,0.4174,0.416,0.416,0.4146,0.416,0.4174,0.4118,0.415
14,0.4118,0.4132,0.4174,0.4146,0.4146,0.4174,0.416,0.416,0.4146,0.416,0.4174,0.4118,0.4152
15,0.4146,0.4132,0.4174,0.4146,0.4146,0.4174,0.416,0.4174,0.4146,0.416,0.4174,0.4132,0.4156
16,0.4146,0.4132,0.4174,0.4146,0.416,0.4174,0.416,0.4174,0.4146,0.416,0.4174,0.4132,0.4157
17,0.4146,0.4132,0.4174,0.4146,0.416,0.4174,0.416,0.4174,0.4174,0.4174,0.4174,0.4132,0.4161
