timestamp,ohci2,ohci4,ohci1,ohci7,ohci3,ohci8,ohci6,ohci5,ohci9,max,min,avg
0,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513
4,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513
5,0.0971,0.1044,0.5659,0.1044,0.0513,0.152,0.1099,0.0971,0.0989,0.5659,0.0513,0.1534
6,0.6172,0.5385,0.5861,0.5018,0.4799,0.5989,0.4652,0.6044,0.6685,0.6685,0.4652,0.5623
7,0.6502,0.5458,0.6044,0.6044,0.4872,0.6484,0.6081,0.6355,0.6777,0.6777,0.4872,0.6069
8,0.6777,0.5549,0.6117,0.6172,0.489,0.6502,0.6172,0.6374,0.6923,0.6923,0.489,0.6164
9,0.6832,0.5842,0.619,0.6337,0.4908,0.6502,0.6172,0.6374,0.6923,0.6923,0.4908,0.6231
10,0.6832,0.5842,0.619,0.6337,0.4982,0.6557,0.6172,0.6374,0.6923,0.6923,0.4982,0.6245
11,0.6832,0.5879,0.6245,0.6337,0.5147,0.6612,0.6227,0.6392,0.6923,0.6923,0.5147,0.6288
12,0.6868,0.5934,0.63,0.6429,0.522,0.6612,0.6227,0.6392,0.6923,0.6923,0.522,0.6323
13,0.6886,0.6026,0.63,0.696,0.5275,0.663,0.6282,0.641,0.6923,0.696,0.5275,0.641
14,0.6886,0.6081,0.6337,0.696,0.5275,0.663,0.6282,0.6429,0.6923,0.696,0.5275,0.6423
15,0.6886,0.6282,0.6484,0.696,0.533,0.663,0.6282,0.6447,0.6941,0.696,0.533,0.6471
16,0.7326,0.696,0.6484,0.7015,0.533,0.663,0.6374,0.6447,0.6941,0.7326,0.533,0.6612
17,0.7326,0.696,0.6484,0.7143,0.6099,0.663,0.641,0.6447,0.6941,0.7326,0.6099,0.6716
18,0.7326,0.696,0.6484,0.7143,0.6245,0.663,0.641,0.6447,0.6941,0.7326,0.6245,0.6732
19,0.7326,0.696,0.6484,0.7143,0.6245,0.663,0.641,0.6447,0.6996,0.7326,0.6245,0.6738
20,0.7326,0.696,0.6502,0.7143,0.6264,0.663,0.6429,0.6447,0.6996,0.7326,0.6264,0.6744
21,0.7326,0.696,0.6502,0.7143,0.6264,0.663,0.6429,0.6447,0.6996,0.7326,0.6264,0.6744
22,0.7326,0.6978,0.6502,0.7143,0.6264,0.663,0.6429,0.6447,0.6996,0.7326,0.6264,0.6746
23,0.7326,0.6978,0.6502,0.7143,0.6264,0.663,0.6429,0.6447,0.6996,0.7326,0.6264,0.6746
24,0.7326,0.6978,0.6502,0.7143,0.6264,0.663,0.6429,0.6447,0.6996,0.7326,0.6264,0.6746
25,0.7326,0.7033,0.6502,0.7143,0.6264,0.663,0.6429,0.652,0.6996,0.7326,0.6264,0.676
26,0.7326,0.7051,0.6502,0.7143,0.6264,0.6703,0.6429,0.6538,0.7033,0.7326,0.6264,0.6777
27,0.7344,0.7051,0.6502,0.7143,0.6465,0.6777,0.6429,0.6538,0.7051,0.7344,0.6429,0.6811
28,0.7491,0.7051,0.6502,0.7143,0.6593,0.6777,0.6429,0.6538,0.7051,0.7491,0.6429,0.6842
29,0.7491,0.7051,0.6502,0.7143,0.6593,0.6777,0.6429,0.6538,0.7051,0.7491,0.6429,0.6842
30,0.7509,0.7051,0.6502,0.7143,0.6593,0.6777,0.6429,0.6538,0.7051,0.7509,0.6429,0.6844
31,0.7509,0.7051,0.6502,0.7198,0.6593,0.6777,0.6429,0.6538,0.7051,0.7509,0.6429,0.685
32,0.7509,0.7051,0.6502,0.7234,0.6593,0.6777,0.6429,0.6538,0.7051,0.7509,0.6429,0.6854
33,0.7509,0.7088,0.6502,0.7234,0.6593,0.6777,0.6429,0.6538,0.7051,0.7509,0.6429,0.6858
34,0.7509,0.7088,0.6502,0.7234,0.6593,0.6777,0.6429,0.6538,0.7051,0.7509,0.6429,0.6858
35,0.7509,0.7088,0.6502,0.7253,0.6593,0.6777,0.6429,0.6538,0.7051,0.7509,0.6429,0.686
36,0.7527,0.7088,0.6502,0.7253,0.6593,0.6777,0.6429,0.6575,0.7051,0.7527,0.6429,0.6866
37,0.7527,0.7088,0.6502,0.7253,0.6593,0.6777,0.6429,0.663,0.7051,0.7527,0.6429,0.6872
38,0.7527,0.7088,0.6502,0.7271,0.6593,0.6777,0.6429,0.663,0.7051,0.7527,0.6429,0.6874
39,0.7527,0.7088,0.6502,0.7271,0.6593,0.6777,0.6429,0.663,0.7051,0.7527,0.6429,0.6874
40,0.7527,0.7088,0.6502,0.7271,0.6593,0.6777,0.6429,0.663,0.7051,0.7527,0.6429,0.6874
41,0.7527,0.7088,0.6502,0.7271,0.6593,0.6777,0.6429,0.663,0.7051,0.7527,0.6429,0.6874
42,0.7527,0.7088,0.6502,0.7271,0.6593,0.6777,0.6447,0.663,0.7051,0.7527,0.6447,0.6876
43,0.7527,0.7088,0.6502,0.7271,0.6593,0.6777,0.6447,0.663,0.7051,0.7527,0.6447,0.6876
44,0.7527,0.7088,0.6502,0.7271,0.6593,0.6777,0.6447,0.663,0.7051,0.7527,0.6447,0.6876
45,0.7527,0.7088,0.6502,0.7271,0.6593,0.6777,0.6447,0.663,0.7051,0.7527,0.6447,0.6876
46,0.7546,0.7088,0.6502,0.7271,0.6593,0.6777,0.6447,0.663,0.7051,0.7546,0.6447,0.6878
47,0.7546,0.7088,0.6502,0.7308,0.6593,0.6777,0.6447,0.663,0.7051,0.7546,0.6447,0.6882
48,0.7546,0.7088,0.6502,0.7308,0.6593,0.6777,0.6447,0.663,0.7051,0.7546,0.6447,0.6882
49,0.7582,0.7088,0.6502,0.7308,0.6593,0.6777,0.6447,0.663,0.7344,0.7582,0.6447,0.6919
50,0.7582,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7582,0.6502,0.6968
51,0.7582,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7582,0.6502,0.6968
52,0.7582,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7582,0.6502,0.6968
53,0.7582,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7582,0.6502,0.6968
54,0.7601,0.7088,0.6502,0.7308,0.6593,0.6813,0.685,0.663,0.7344,0.7601,0.6502,0.697
55,0.7601,0.7106,0.6502,0.7308,0.6593,0.7216,0.685,0.663,0.7344,0.7601,0.6502,0.7017
56,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.663,0.7344,0.7692,0.6502,0.7059
57,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.663,0.7344,0.7692,0.6502,0.7059
58,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.6648,0.7344,0.7692,0.6502,0.7061
59,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.6648,0.7344,0.7692,0.6502,0.7061
60,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.685,0.6648,0.7344,0.7692,0.6502,0.7061
61,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.6941,0.6648,0.7344,0.7692,0.6502,0.7071
62,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.6941,0.6648,0.7344,0.7692,0.6502,0.7071
63,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.6941,0.6648,0.7344,0.7692,0.6502,0.7071
64,0.7601,0.7106,0.6502,0.7692,0.6593,0.7216,0.6941,0.6648,0.7344,0.7692,0.6502,0.7071
65,0.7601,0.7106,0.6502,0.7711,0.6593,0.7234,0.6941,0.6648,0.7454,0.7711,0.6502,0.7088
