timestamp,ohci2,ohci1,ohci6,ohci0,ohci5,ohci4,ohci7,ohci3,ohci8,ohci9,max,min,avg
0,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513
3,0.0513,0.0989,0.0513,0.1026,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.1026,0.0513,0.0612
4,0.0989,0.3956,0.1044,0.1026,0.0971,0.152,0.1044,0.0971,0.1026,0.0989,0.3956,0.0971,0.1354
5,0.3553,0.4066,0.3828,0.3993,0.4011,0.3571,0.3663,0.3663,0.3516,0.3553,0.4066,0.3516,0.3742
6,0.3553,0.4084,0.3883,0.4139,0.4176,0.3773,0.4139,0.4121,0.37,0.3956,0.4176,0.3553,0.3952
7,0.3901,0.4084,0.4011,0.4139,0.4249,0.4103,0.4158,0.4158,0.3736,0.4048,0.4249,0.3736,0.4059
8,0.3974,0.4084,0.4029,0.4139,0.4249,0.4121,0.4158,0.4158,0.3791,0.4048,0.4249,0.3791,0.4075
9,0.4084,0.4139,0.4084,0.4194,0.4249,0.4176,0.4158,0.4158,0.4084,0.4103,0.4249,0.4084,0.4143
10,0.4139,0.4139,0.4084,0.4194,0.4249,0.4231,0.4158,0.4158,0.4084,0.4103,0.4249,0.4084,0.4154
11,0.4158,0.4139,0.4084,0.4194,0.4249,0.4231,0.4158,0.4158,0.4158,0.4103,0.4249,0.4084,0.4163
12,0.4176,0.4158,0.4121,0.4194,0.4249,0.4231,0.4158,0.4212,0.4158,0.4158,0.4249,0.4121,0.4181
13,0.4194,0.4158,0.4139,0.4194,0.4249,0.4231,0.4194,0.4212,0.4158,0.4158,0.4249,0.4139,0.4189
14,0.4212,0.4176,0.4139,0.4194,0.4249,0.4231,0.4194,0.4231,0.4158,0.4158,0.4249,0.4139,0.4194
15,0.4212,0.4176,0.4139,0.4194,0.4249,0.4231,0.4194,0.4231,0.4176,0.4158,0.4249,0.4139,0.4196
16,0.4212,0.4176,0.4139,0.4194,0.4267,0.4231,0.4194,0.4231,0.4176,0.4194,0.4267,0.4139,0.4201
17,0.4212,0.4176,0.4139,0.4194,0.4267,0.4231,0.4194,0.4231,0.4212,0.4194,0.4267,0.4139,0.4205
18,0.4212,0.4176,0.4139,0.4194,0.4267,0.4231,0.4194,0.4231,0.4212,0.4194,0.4267,0.4139,0.4205
19,0.4212,0.4176,0.4139,0.4194,0.4267,0.4231,0.4231,0.4231,0.4212,0.4194,0.4267,0.4139,0.4209
20,0.4212,0.4176,0.4139,0.4194,0.4267,0.4231,0.4231,0.4231,0.4212,0.4212,0.4267,0.4139,0.421
21,0.4212,0.4231,0.4139,0.4194,0.4267,0.4231,0.4231,0.4231,0.4212,0.4212,0.4267,0.4139,0.4216
22,0.4212,0.4231,0.4139,0.4194,0.4267,0.4231,0.4231,0.4231,0.4212,0.4212,0.4267,0.4139,0.4216
23,0.4212,0.4231,0.4139,0.4231,0.4267,0.4231,0.4231,0.4231,0.4231,0.4212,0.4267,0.4139,0.4222
24,0.4212,0.4231,0.4176,0.4231,0.4267,0.4231,0.4231,0.4267,0.4231,0.4212,0.4267,0.4176,0.4229
25,0.4249,0.4231,0.4176,0.4231,0.4267,0.4231,0.4231,0.4267,0.4231,0.4212,0.4267,0.4176,0.4233
26,0.4249,0.4231,0.4176,0.4231,0.4286,0.4231,0.4231,0.4267,0.4231,0.4212,0.4286,0.4176,0.4234
27,0.4249,0.4231,0.4176,0.4231,0.4286,0.4231,0.4231,0.4267,0.4231,0.4212,0.4286,0.4176,0.4234
28,0.4249,0.4231,0.4176,0.4231,0.4286,0.4231,0.4267,0.4267,0.4231,0.4212,0.4286,0.4176,0.4238
29,0.4249,0.4231,0.4176,0.4231,0.4286,0.4231,0.4267,0.4267,0.4231,0.4212,0.4286,0.4176,0.4238
30,0.4249,0.4231,0.4176,0.4231,0.4286,0.4231,0.4267,0.4267,0.4249,0.4212,0.4286,0.4176,0.424
31,0.4249,0.4231,0.4176,0.4231,0.4286,0.4231,0.4267,0.4267,0.4249,0.4212,0.4286,0.4176,0.424
32,0.4249,0.4231,0.4176,0.4231,0.4286,0.4231,0.4267,0.4267,0.4249,0.4212,0.4286,0.4176,0.424
33,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4212,0.4286,0.4176,0.4244
34,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4249,0.4286,0.4176,0.4247
35,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4249,0.4286,0.4176,0.4247
36,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4249,0.4286,0.4176,0.4247
37,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4249,0.4286,0.4176,0.4247
38,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4249,0.4286,0.4176,0.4247
39,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4249,0.4286,0.4176,0.4247
40,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4249,0.4286,0.4176,0.4247
41,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4249,0.4286,0.4176,0.4247
42,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4267,0.4286,0.4176,0.4249
43,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4267,0.4286,0.4176,0.4249
44,0.4249,0.4231,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4267,0.4286,0.4176,0.4249
45,0.4249,0.4267,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4267,0.4286,0.4176,0.4253
46,0.4249,0.4267,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4267,0.4286,0.4176,0.4253
47,0.4249,0.4267,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4267,0.4286,0.4176,0.4253
48,0.4249,0.4267,0.4176,0.4267,0.4286,0.4231,0.4267,0.4267,0.4249,0.4267,0.4286,0.4176,0.4253
49,0.4249,0.4267,0.4176,0.4267,0.4286,0.4267,0.4267,0.4267,0.4249,0.4267,0.4286,0.4176,0.4256
50,0.4249,0.4267,0.4176,0.4267,0.4286,0.4267,0.4267,0.4267,0.4249,0.4267,0.4286,0.4176,0.4256
51,0.4249,0.4267,0.4176,0.4267,0.4286,0.4267,0.4286,0.4267,0.4249,0.4267,0.4286,0.4176,0.4258
52,0.4249,0.4267,0.4176,0.4267,0.4286,0.4267,0.4286,0.4267,0.4249,0.4267,0.4286,0.4176,0.4258
53,0.4249,0.4267,0.4176,0.4267,0.4286,0.4267,0.4286,0.4267,0.4249,0.4267,0.4286,0.4176,0.4258
54,0.4249,0.4267,0.4231,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4231,0.4265
55,0.4249,0.4267,0.4231,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4231,0.4265
56,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
57,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
58,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
59,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
60,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
61,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
62,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
63,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
64,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
65,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
66,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
67,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
68,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
69,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
70,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
71,0.4249,0.4267,0.4249,0.4267,0.4286,0.4286,0.4286,0.4267,0.4249,0.4267,0.4286,0.4249,0.4267
