timestamp,pcnet7,pcnet2,pcnet1,pcnet4,pcnet6,pcnet5,pcnet9,pcnet3,pcnet0,pcnet8,max,min,avg
0,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182
3,0.0182,0.0274,0.0274,0.0182,0.0182,0.0182,0.0182,0.0274,0.0274,0.0182,0.0274,0.0182,0.0219
4,0.0274,0.4872,0.4343,0.0274,0.0274,0.031,0.0274,0.427,0.4453,0.031,0.4872,0.0274,0.1965
5,0.4434,0.5146,0.4781,0.4526,0.4836,0.3905,0.4544,0.4708,0.4945,0.3832,0.5146,0.3832,0.4566
6,0.4945,0.5347,0.5146,0.4945,0.5201,0.469,0.5128,0.531,0.5146,0.4507,0.5347,0.4507,0.5036
7,0.5164,0.542,0.5255,0.5091,0.5383,0.4799,0.5164,0.5566,0.5657,0.5146,0.5657,0.4799,0.5264
8,0.5547,0.5566,0.5821,0.5182,0.5876,0.5292,0.5401,0.5657,0.5712,0.5365,0.5876,0.5182,0.5542
9,0.5675,0.562,0.5839,0.5255,0.6058,0.5566,0.5529,0.5657,0.5912,0.5529,0.6058,0.5255,0.5664
10,0.5912,0.5639,0.5931,0.5547,0.6095,0.562,0.5639,0.5712,0.5985,0.5547,0.6095,0.5547,0.5763
11,0.5949,0.5675,0.6058,0.5748,0.6186,0.5712,0.5693,0.573,0.5985,0.5839,0.6186,0.5675,0.5857
12,0.6095,0.5675,0.6095,0.5785,0.6332,0.5748,0.5803,0.5949,0.604,0.5876,0.6332,0.5675,0.594
13,0.6223,0.5693,0.615,0.5839,0.6423,0.5821,0.6022,0.6168,0.6058,0.5894,0.6423,0.5693,0.6029
14,0.6241,0.5693,0.6168,0.5931,0.6423,0.5821,0.6095,0.6168,0.6496,0.615,0.6496,0.5693,0.6119
15,0.6241,0.5766,0.6223,0.5931,0.6442,0.5949,0.6186,0.6204,0.6661,0.6807,0.6807,0.5766,0.6241
16,0.646,0.5876,0.6314,0.5985,0.6478,0.5967,0.6241,0.6223,0.6661,0.6971,0.6971,0.5876,0.6318
17,0.6478,0.6022,0.6314,0.6077,0.6515,0.6004,0.6277,0.6277,0.6679,0.7026,0.7026,0.6004,0.6367
18,0.6496,0.615,0.6442,0.6131,0.6624,0.604,0.635,0.6277,0.6697,0.708,0.708,0.604,0.6429
19,0.6496,0.615,0.6442,0.6168,0.6624,0.6186,0.635,0.6314,0.6752,0.7117,0.7117,0.615,0.646
20,0.6515,0.6168,0.646,0.6186,0.6624,0.6223,0.635,0.6369,0.677,0.7263,0.7263,0.6168,0.6493
21,0.6515,0.6223,0.6478,0.6204,0.6642,0.6241,0.6369,0.6369,0.6861,0.7299,0.7299,0.6204,0.652
22,0.6569,0.6241,0.6496,0.6606,0.6661,0.6241,0.6405,0.6423,0.688,0.7354,0.7354,0.6241,0.6588
23,0.6606,0.6314,0.6496,0.6642,0.6661,0.6332,0.6405,0.6423,0.6916,0.7354,0.7354,0.6314,0.6615
24,0.6642,0.635,0.6533,0.6661,0.6661,0.635,0.6405,0.6496,0.6916,0.7409,0.7409,0.635,0.6642
25,0.6661,0.6387,0.6533,0.6661,0.6715,0.635,0.6405,0.6496,0.7153,0.7427,0.7427,0.635,0.6679
26,0.6661,0.6387,0.6533,0.6661,0.6734,0.635,0.6442,0.6515,0.7208,0.7445,0.7445,0.635,0.6694
27,0.6679,0.6387,0.6533,0.6661,0.6825,0.6369,0.6442,0.6569,0.7208,0.7464,0.7464,0.6369,0.6714
28,0.6679,0.6405,0.6588,0.6697,0.6825,0.6405,0.6478,0.6606,0.7226,0.7555,0.7555,0.6405,0.6746
29,0.6697,0.6405,0.6606,0.6734,0.6843,0.6405,0.6478,0.6624,0.7245,0.7555,0.7555,0.6405,0.6759
